,ts_code,name,enname,list_status,list_date,delist_date
72,000401.SZ,冀东水泥,"Tangshan Jidong Cement Co.,Ltd.",L,19960614,
73,000402.SZ,金融街,"Financial Street Holdings Co., Ltd.",L,19960626,
74,000403.SZ,双林生物,"Southern Shuanglin Bio-pharmacy Co., LTD",L,19960628,
75,000404.SZ,长虹华意,"Changhong Huayi Compressor Co., Ltd.",L,19960619,
76,000407.SZ,胜利股份,"Shandong Shengli Co.,Ltd.",L,19960703,
77,000408.SZ,*ST藏格,ZANGGE HOLDING COMPANY LIMITED,L,19960628,
78,000409.SZ,ST地矿,"Shandong Geo-Mineral Co.,Ltd",L,19960627,
79,000410.SZ,*ST沈机,"Shenyang Machine Tool Co.,Ltd",L,19960718,
80,000411.SZ,英特集团,"Zhejiang Int'l Group Co.,Ltd",L,19960716,
81,000413.SZ,东旭光电,"Tunghsu Optoelectronic Technology Co., Ltd.",L,19960925,
82,000415.SZ,渤海租赁,"Bohai Leasing Co.,Ltd.",L,19960716,
83,000416.SZ,民生控股,"Minsheng Holdings Co.,Ltd",L,19960719,
84,000417.SZ,合肥百货,"Hefei Department Store Group Co.,Ltd",L,19960812,
85,000419.SZ,通程控股,"Changsha Tongcheng Holdings Co.,Ltd",L,19960816,
86,000420.SZ,吉林化纤,"Jilin Chemical Fibre Stock Co., Ltd.",L,19960802,
87,000421.SZ,南京公用,"NanJing Public Utilities Development Co.,Ltd.",L,19960806,
88,000422.SZ,ST宜化,"Hubei Yihua Chemical Industry Co.,Ltd",L,19960815,
89,000423.SZ,东阿阿胶,"Dong-E-E-Jiao Co., Ltd.",L,19960729,
90,000425.SZ,徐工机械,"XCMG Construction Machinery Co., Ltd.",L,19960828,
91,000426.SZ,兴业矿业,"Inner Mongolia Xingye Mining Co.,Ltd",L,19960828,
92,000428.SZ,华天酒店,"Huatian Hotel Group Co.,Ltd.",L,19960808,
93,000429.SZ,粤高速A,"Guangdong Provincial Expressway Development Co.,Ltd.",L,19980220,
94,000430.SZ,张家界,"Zhang Jia Jie Tourism Group Co., Ltd",L,19960829,
95,000488.SZ,晨鸣纸业,Shandong Chenming Paper Holdings Limited,L,20001120,
96,000498.SZ,山东路桥,"Shandong Hi-Speed Road&Bridge Co.,Ltd.",L,19970609,
97,000501.SZ,鄂武商A,"Wuhan Department Store Group Co., Ltd.",L,19921120,
98,000502.SZ,绿景控股,"Lvjing Holding Co., Ltd",L,19921123,
99,000503.SZ,国新健康,"China Reform Health Management and Services Group Co., Ltd.",L,19921130,
100,000504.SZ,ST生物,"Nanhua Bio-medicine Co.,Ltd.",L,19921208,
101,000505.SZ,京粮控股,"Hainan Jingliang Holdings Co., Ltd.",L,19921221,
102,000506.SZ,中润资源,Zhongrun Resources Investment Corporation,L,19930312,
103,000507.SZ,珠海港,"Zhuhai Port Co., Ltd",L,19930326,
104,000509.SZ,*ST华塑,"Huasu Holdings Co.,Ltd",L,19930507,
105,000510.SZ,新金路,"SICHUAN XINJINLU GROUP CO.,LTD",L,19930507,
106,000513.SZ,丽珠集团,Livzon Pharmaceutical Group Inc.,L,19931028,
107,000514.SZ,渝开发,"Chongqing Yukaifa Co.,Ltd",L,19930712,
108,000516.SZ,国际医学,Xi'An International Medical Investment Company Limited,L,19930809,
109,000517.SZ,荣安地产,"Rongan Property Co., Ltd.",L,19930806,
110,000518.SZ,四环生物,"Jiangsu Sihuan Bioengineering Co.,Ltd",L,19930908,
111,000519.SZ,中兵红箭,"NORTH INDUSTRIES GROUP RED ARROW CO., LTD",L,19931008,
112,000520.SZ,长航凤凰,"Chang Jiang Shipping Group Phoenix Co.,Ltd",L,19931025,
113,000521.SZ,长虹美菱,"CHANGHONG MEILING CO.,LTD.",L,19931018,
114,000523.SZ,广州浪奇,"Lonkey Industrial Co.,Ltd.Guangzhou",L,19931108,
115,000524.SZ,岭南控股,Guangzhou Lingnan Group Holdings Company Limited,L,19931118,
116,000525.SZ,红太阳,"Nanjing Red Sun Co.,Ltd.",L,19931028,
117,000526.SZ,紫光学大,"Xiamen Unigroup Xue Co.,Ltd.",L,19931101,
118,000528.SZ,柳工,"Guangxi Liugong Machinery Co.,Ltd.",L,19931118,
119,000529.SZ,广弘控股,"Guangdong Guanghong Holdings Co.,Ltd.",L,19931118,
120,000530.SZ,冰山冷热,"Bingshan Refrigeration & Heat Transfer Technologies Co.,Ltd.",L,19931208,
121,000531.SZ,穗恒运A,Guangzhou Hengyun Enterprises Holding Ltd,L,19940106,
122,000532.SZ,华金资本,"Zhuhai Huajin Capital Co.,Ltd.",L,19940103,
123,000533.SZ,顺钠股份,"Guangdong Shunna Electric Co.,Ltd.",L,19940103,
124,000534.SZ,万泽股份,"Wedge Industrial Co.,Ltd.",L,19940110,
125,000536.SZ,*ST华映,"CPT Technology (Group) Co., Ltd",L,19931126,
126,000537.SZ,广宇发展,"Tianjin Guangyu Development Co., Ltd.",L,19931210,
127,000538.SZ,云南白药,"Yunnan Baiyao Group Co., Ltd.",L,19931215,
128,000539.SZ,粤电力A,"Guangdong Electric Power Development Co.,Ltd",L,19931126,
129,000540.SZ,中天金融,Zhongtian Financial Group Company Limited,L,19940202,
130,000541.SZ,佛山照明,"Foshan Electrical and Lighting Co.,Ltd.",L,19931123,
131,000543.SZ,皖能电力,An Hui Wenergy Company Limited,L,19931220,
132,000544.SZ,中原环保,"Central Plains Environment Protection Co.,Ltd",L,19931208,
133,000545.SZ,金浦钛业,"GPRO TITANIUM INDUSTRY CO.,LTD",L,19931215,
134,000546.SZ,金圆股份,"Jinyuan Ep Co.,Ltd",L,19931215,
135,000547.SZ,航天发展,"Addsino Co.,Ltd.",L,19931130,
136,000548.SZ,湖南投资,"Hunan Investment Group Co.,Ltd.",L,19931220,
137,000550.SZ,江铃汽车,"Jiangling Motors Corporation, Ltd.",L,19931201,
138,000551.SZ,创元科技,"Create Technology & Science Co., Ltd.",L,19940106,
139,000552.SZ,靖远煤电,"Gansu Jingyuan Coal Industry and Electricity Power Co.,Ltd",L,19940106,
140,000553.SZ,安道麦A,ADAMA Ltd.,L,19931203,
141,000554.SZ,泰山石油,"SINOPEC Shandong Taishan Petroleum CO.,LTD",L,19931215,
142,000555.SZ,神州信息,Digital China Information Service Company Ltd.,L,19940408,
143,000557.SZ,西部创业,"Ningxia Western Venture Industrial Co., Ltd.",L,19940617,
144,000558.SZ,莱茵体育,"Lander Sports Development Co.,Ltd.",L,19940509,
145,000559.SZ,万向钱潮,"Wanxiang Qianchao Co.,Ltd.",L,19940110,
146,000560.SZ,我爱我家,"5I5J Holding Group Co., Ltd.",L,19940202,
147,000561.SZ,烽火电子,"Shaanxi Fenghuo Electronics Co., Ltd.",L,19940509,
148,000563.SZ,陕国投A,"Shaanxi International Trust Co.,Ltd",L,19940110,
149,000564.SZ,供销大集,"Ccoop Group Co., Ltd",L,19940110,
150,000565.SZ,渝三峡A,"Chongqing Sanxia Paints Co.,Ltd.",L,19940408,
151,000566.SZ,海南海药,"Hainan Haiyao Co.,Ltd.",L,19940525,
152,000567.SZ,海德股份,"HAINAN HAIDE CAPITAL MANAGEMENT CO.,LTD.",L,19940525,
153,000568.SZ,泸州老窖,"Luzhou Laojiao Co.,Ltd",L,19940509,
154,000570.SZ,苏常柴A,"Changchai Company,Limited",L,19940701,
