code,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m
000001.XSHE,0.006811130109105945,0.0026677168499987555,-0.0043434485547802805,0.0016676694581294733,-0.0012585653629443578,-0.0011954491800822942,-0.00018112641019099685,1.4688586089849456e-05
000002.XSHE,-0.0015303524851588415,0.005238628120232389,0.0009188003299146107,0.00014575053270001658,-0.0005996458080471341,0.00010963414278272947,5.609137570332783e-05,1.040352174696908e-05
000005.XSHE,-0.01610115171947333,0.01962921562616589,0.005636210423176269,0.024678291835255047,-0.0023114188384226633,0.0018012885295303634,0.0008584909125206749,0.0009738580584047826
000006.XSHE,-0.01938183151805733,0.03932363091399827,0.01558772730762099,0.013875139175748258,-0.009204193634764152,-0.0020620996025443148,-0.0010317263860631814,-0.0002642084167944214
000009.XSHE,0.04102316773341876,0.023105941585536808,0.0131978577177644,0.012560578723079306,-0.004464209440433891,-0.0005303088181286575,-0.00021114270544023075,5.9321968895290926e-05
000012.XSHE,0.06167412994344292,0.06342492278746746,0.029165838386201973,0.024749837805599265,0.010379109033856086,0.006482601484836765,0.0031144539299366035,0.0018386067179859845
000016.XSHE,0.0024803809843951716,0.011862432178042774,0.0022956909803407803,0.028122555519637573,0.002083382914648083,0.0013382183450821271,0.0007248422266397688,0.0009551587384831855
000021.XSHE,0.026257028520741115,0.019718106250613394,0.013711723984356612,0.010799626897833233,0.0021362738657736005,0.0011938363680840782,0.0007441094272597047,0.0005083991270019323
000024.XSHE,-0.023636425123843625,0.0075827272013052425,-0.002689507120588124,-0.000587094587769382,-0.005793259952266103,-0.001388626269298216,-0.0005587896371000322,-0.0002719162409641987
000027.XSHE,-0.003236324624823798,0.0037676060722319185,7.212690890962572e-05,0.002813030198331169,-0.001298057951635328,5.903475572469269e-05,-6.215489778852219e-06,3.567236310751095e-05
000028.XSHE,0.015767780197629755,0.0064362791795932435,0.004284698678917352,0.006135448597784798,-0.00045959410141010413,5.5194576736301675e-05,1.9441913301704777e-05,7.702716243024586e-05
000029.XSHE,-0.006217436487570715,0.007540147104963021,0.0034960346610086366,0.014233876665532733,-0.0015582266493325875,0.00012819222965374446,0.00012399348835634972,0.0002173533907426691
