code,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m
000001.XSHE,-0.015354150203555805,-0.004199401014958737,0.001928288183853833,0.002113505249117442,-0.005039404359940413,-0.0013964932814066857,-0.00046745276784831464,-0.00018577392859102823
000002.XSHE,-0.00813436033825328,0.0011005410535254922,0.004535795678051601,0.004002518905453468,-0.0014984566528082825,-3.573760114404147e-06,0.00013620920159233978,0.00011779907065579548
000008.XSHE,-0.0017846724249407642,-0.0006900360097979904,0.0018002903922201582,0.0012979760486248756,1.4086022130801752e-05,-4.3160702499957934e-07,4.191754516887743e-05,4.728223174460425e-05
000009.XSHE,-0.011898613758085742,-0.006768161156984736,-0.002688579992248277,0.001638818186477906,-0.0011942551910776628,-0.0008055802078146127,-0.00046145098500013416,-5.8488103340040314e-05
000012.XSHE,-0.007794289278036513,-5.6843682742702995e-05,0.0065225413100859116,0.004243305283138043,-0.0029143042796334158,-0.0007356315685338235,3.407969628220818e-05,8.932696647196321e-05
000021.XSHE,-0.027506247116796556,-0.004067123183290377,0.0028531986431488314,0.0009751072847230274,-0.0020011145206524517,-0.0008341589782782462,-0.0002512765877801033,-0.00011292209052422993
000025.XSHE,-0.005464660035230934,-0.002058086770489295,0.000927258299727891,0.014205338429003986,0.00021534592180772713,4.1163253600477964e-05,5.490807644745766e-05,0.00048246751430686553
000027.XSHE,-0.001073607877556289,-0.000332189383115193,-0.00019355284289837023,0.0005353410452553375,-0.00022609923560621624,-7.27843802820532e-05,-4.069223131334925e-05,-1.4480685828549036e-05
000028.XSHE,-0.0038544523841320885,-0.0007851110115926028,-0.0016736086488527918,-0.0005192113356994205,-0.0003584407796586818,-1.0398723623207092e-05,-3.999688027263805e-05,-1.6930581128685506e-05
000039.XSHE,-0.02246042301356791,-0.0017112773363035954,0.0013637199107388467,0.00387709369416552,-0.005098304913045194,-0.0015404416102843602,-0.000659341944177625,-0.0002226074474021183
000049.XSHE,-0.009534019455990425,-0.01794725849154576,-0.008180658204367431,-0.000997270576430146,0.0009732506153686144,-0.0003067127471731687,-0.00013070136734944513,-2.015210589936656e-05
000050.XSHE,-0.01740692207336352,-0.018267426307770816,-0.002870607010062667,0.0031864106793264174,-0.0007811341727467966,-0.0005525047501982037,-0.00010318433994318132,0.00015018436202240187
000060.XSHE,-0.025258678516043815,-0.004277535094791826,-0.004055256205476367,0.0021274572555023646,-0.014860532772949967,-0.004826854672755231,-0.002504825335681252,-0.001035853772566359
000061.XSHE,-0.002684610113782746,-0.00037325933858697614,-0.0006352236060772967,-0.0006871568635061496,-0.0006722642404073619,-0.00017352375749075065,-0.00013367030771591307,-7.612492961433209e-05
000062.XSHE,-0.004625481791551055,-0.0008496050238519539,-0.00016769302170792429,0.0011978545095969889,-0.0009691127657817239,-0.00033029141649776095,-0.0001834112581790385,-8.385945663532196e-05
000063.XSHE,-0.06098818553589064,-0.021854263840402528,0.006013675145886272,0.01105419047146233,9.906604970721239e-06,0.0005662300235144346,0.000977459198899494,0.0006249847936561445
000066.XSHE,-0.0078007021878833014,0.0034529153740382726,0.0007753545144551437,-0.0004226188604111441,-0.001674740270681518,-0.000143113131521149,-0.00016585168472578842,-0.00010286258014820159
000069.XSHE,-0.01702686195627859,0.0009675923455432737,0.0013557699482778405,0.0019056031960868072,-0.005549598677003926,-0.0009006929601245606,-0.0003804948821397273,-0.0001794971902145574
000078.XSHE,-0.004798144382608329,-0.00038227721396875047,0.005147825037668676,0.003066252056018451,-0.0007119255381424839,-0.00017786607510894434,-3.05035582658027e-05,1.4021196087481728e-05
000089.XSHE,-4.204177271419822e-05,3.0546132687079974e-05,0.000496343934972386,0.0009171249576397032,-0.001309507099047381,-0.00038566724538733585,-0.0001564567309057765,-7.47164733125962e-05
000090.XSHE,-0.011852408617234852,0.0018941062465384945,0.0002006440123460827,0.008308016812916815,-0.002701435356175708,-0.00014282796580899386,-0.00013638621303570806,9.14032694093043e-05
000099.XSHE,-0.007761372001581909,-0.003110538262858681,-0.006023070351646355,-0.0038544466279448178,-0.0013099064509901528,-0.0004095281450186687,-0.0005243037739543762,-0.000334099055821678
000100.XSHE,-0.01410905715748493,-0.013950329311050585,0.009381361447538192,0.00845486539060562,-0.000559707539906643,-0.0003298569846185501,0.0005052796392174965,0.0004477229823514875
000157.XSHE,-0.0040088958753418695,0.00024443953956316243,0.00015073323065528262,0.0004942081016480917,-0.0009339220910193973,-0.0001716789456610817,-9.045155018676344e-05,-2.7571320808006815e-05
000158.XSHE,-0.011420027491837396,-0.0021042172279848925,-0.00110739679493977,0.016860749645807346,-0.001231665168173771,-0.00036960701387432333,-0.000244241840420269,0.00018286468113057862
000166.XSHE,-0.002386431368776725,-0.0003744514129792051,0.0007123652553749864,0.0004916140204913095,-0.001112372788533009,-0.0002626323631400166,-0.00011289789879861603,-4.325034477931229e-05
000333.XSHE,-0.004255624621756549,-0.0011259162356246717,0.0014005695179162999,0.0018319871699302543,-0.0003431159903921783,-7.00553483588153e-05,5.293824382322481e-05,5.075021444998143e-05
000338.XSHE,-0.014130605919405148,-0.0016749450482790719,0.0063543130312730635,0.007159544228188441,-0.004059677812826573,-0.0005422955616919046,-3.215894620555456e-05,0.00013285045639861454
000400.XSHE,-0.004519489353007779,-0.00397304273228482,-0.002135200021913913,-0.0002971326891569448,3.388455700704465e-05,-0.0002639007824915,-0.00014373500969700107,-6.658238639456383e-05
000401.XSHE,-0.02609657157981235,-0.02344004495774473,-0.012513747317962837,-0.012550469638604227,-0.004727003721850117,-0.004545897151788961,-0.0014665775126477295,-0.0002942048685314956
000402.XSHE,-0.011268951567011704,0.0012607299490927334,0.0012501249665485762,0.0037288107985207933,-0.002931609314434982,-0.00035231905922812644,-0.00018165827318539207,-3.6520215644021685e-05
000413.XSHE,-0.014810153970240186,-0.0070961493225130175,-0.0005931436808139877,0.009128639147134231,-0.001084954432706387,-0.0005315972282268486,-0.0002810740907764003,0.00011695514513486704
000418.XSHE,-0.0003809093801696693,0.004282494321675157,0.004589909211167173,0.003662239295829586,0.0006243999339311501,0.0005234520595183793,0.00036087982166534886,0.00020271536198686817
000423.XSHE,-1.3553002341831299e-05,0.0004626840719373652,-0.000989829373471802,0.0009883669617712294,-7.240235188382042e-06,0.00015276213056419558,-8.568351473971928e-06,-8.203703473193793e-06
