code,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m
000001.XSHE,0.0019050665753239306,0.0022458424193101513,0.001463505481196706,0.0008526319088205891,0.0011239882449108345,0.0002778852966919579,0.00015745165082325195,8.810382517092297e-05
000002.XSHE,0.0024819320347583976,0.0024845795250352048,0.002794245800613122,0.0014962835933514372,0.0006139735600009099,0.00019629465565318484,0.00014680605633098927,6.288493888747383e-05
000006.XSHE,0.0627659740799152,0.024889614705396315,0.014140198282682285,0.008075670142704638,0.012141507701566755,0.004025669566849542,0.00213321132303572,0.001075228565633233
000009.XSHE,0.02596599434175702,-0.011117262744309473,0.005030117522095412,0.00322348566088621,0.0037027406011571457,-0.000888696671873154,0.00017868671397306633,3.860728079290354e-05
000012.XSHE,-0.0051184579245194305,0.00367273250270621,0.00732738634797424,0.005444614267553337,0.0030015660477923423,0.00036433306829300964,0.0007147841980694134,0.0002997271622268484
000021.XSHE,0.0011685342279105877,0.004021163718245702,0.004946647786389181,0.0020427480543740383,0.001329680297351175,0.0006423900093499498,0.00035559576290773097,0.00016297801255157096
000024.XSHE,0.009090232472198775,0.005805620398798716,0.005660060347657568,0.003972308819558115,0.0010781324927139294,0.00030776261104252024,0.0002452889700642535,0.00011365412873901509
000027.XSHE,0.0002641684798568881,0.0003704302345998686,0.00037926612014945474,0.00029129564461174946,0.0002640578642947246,8.03776816211874e-05,4.430876160061678e-05,2.2150833108841208e-05
000028.XSHE,0.0005208442328923761,0.007008884766682303,0.0032359350952766907,0.0021269757282565993,0.003649921438083831,0.001986099309391238,0.0009900559962434463,0.0004974822169157369
000029.XSHE,0.024230026795683767,0.012547446322079533,0.0072358295041410016,0.005943667896038597,0.0033913296277970593,0.0011818009283971103,0.0006055479527927649,0.00030956983531471214
000031.XSHE,0.003690095519295685,0.0072079854692286855,0.0036371562955063532,0.0016519448603566154,0.0013620990686092791,0.0005810750856690608,0.0002931540082679121,0.0001503178808155876
