code,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m
000001.XSHE,0.002160194681939141,0.0005744505498361362,0.0007381662902733642,0.0004584712412856495,0.001056438634853492,0.0003604079188579909,0.0001994907538959301,0.00011001288228459242
000002.XSHE,0.020193835789366017,0.013934192496725959,0.0178906096714095,0.023163113558289424,-0.0006599146659110056,-7.379645993568357e-05,0.0005669760390305877,0.0005675315883658408
000006.XSHE,0.0003739640020690051,0.034178928166449414,0.026956290374184344,0.015905975884609114,0.00045988892646406864,0.001240599063860836,0.001047476043504172,0.0005863366163881541
000008.XSHE,0.006826462911548753,0.002123982774308042,-0.005137398607305104,0.0019837029489382656,0.0025636907389877165,0.0006513370298943276,8.803157688926278e-05,0.0001835411624500569
000009.XSHE,0.002815970620051462,-0.004365028872093431,0.01928157599045518,0.010077072325989747,-0.0003285243640951158,-0.0002159337531376427,0.0009202409613485835,0.0005563911274388526
000012.XSHE,0.1512902811827009,0.0498195094655758,0.034548810355699566,0.0181787584923855,0.019067145047052803,0.0063817809332545,0.0036306652365646398,0.0018803020346132599
000021.XSHE,0.0028148430717562416,0.0014443175943450381,0.015146328321458466,0.006257583540519197,0.0013246595475075846,0.00043860278595842715,0.0005011776589648051,0.00027383310570079406
000027.XSHE,0.0015792814681537697,0.0005041231438089182,0.0011046736247392944,-0.0014066192137317038,0.0006533580797113982,0.0002221130307977944,0.00013924210702974556,4.957908012390026e-05
000028.XSHE,-0.0006518113876565056,0.0009770626430302676,0.001758707300530959,0.0004684862798465161,-0.000561387378169639,-0.00015476126316157164,-4.419766072482158e-05,-3.674613405580901e-05
000030.XSHE,-0.0007925136063971185,0.00890890718522272,0.00555527736601291,0.0031289390148187468,-0.00022837724736056775,0.00012013285759548518,8.305690396122659e-05,4.782796212877347e-05
000031.XSHE,0.004040977035335554,-0.00036118007657119633,0.006559498238141031,0.00654480789998599,0.0011897673965861426,0.00036380529103850604,0.0003892087451452892,0.00025410793115505275
000039.XSHE,0.0370517396283948,0.012747477857929667,0.00700523700120904,0.005828623527691072,0.0023550668662608966,0.0007959014414927287,0.0004461136774327963,0.0002756351566422802
000046.XSHE,0.00019164627252039136,2.2463165870936572e-05,0.0008784865052946824,0.0008996501120893587,0.00016980655992858692,5.644120794699784e-05,6.607083705611925e-05,4.2750603608638626e-05
000049.XSHE,0.0007851707243566109,0.02975914205733143,0.019710967676599616,0.014541598154175437,-0.0024659741040917406,0.0004832345743843918,0.00032739351263774816,0.0004444509430710246
000060.XSHE,0.10503428754213942,0.03721630312251257,0.02434417787809356,0.01638240455466773,0.03615611525496046,0.012307360884053107,0.0061996310979290144,0.0031730905192882152
000061.XSHE,0.006820501942087666,0.002365843940919003,0.0018021722346172149,0.004466728260869632,0.0041499132238309346,0.0013983009888888448,0.0007330665344174596,0.00039497896588229264
000062.XSHE,0.0481824786849975,0.012167668408533451,0.006791369406727626,0.0047286694144167895,0.008286326992017395,0.001995979767916835,0.0009063787879787195,0.0005117647946733937
000063.XSHE,0.011970964469201054,0.005376831024417461,0.004686465480938941,0.0018401934190926512,0.002368451595225319,0.0009422511745241218,0.0005093243448453262,0.00025528361645106844
000066.XSHE,0.16475417086182084,0.016682044369960028,0.01606396557581075,0.009124840851070999,0.11995969435481396,0.010907889260527813,0.00497044979353252,0.0031347312318621887
000069.XSHE,0.0061937627755790006,0.002077203868890268,0.002392202147946322,0.0033789814487377836,0.003541140045543234,0.001183873275700629,0.0006490314360202618,0.000351373702043936
000078.XSHE,0.00046903917416338313,0.002677809419944821,0.002666565855335611,0.013075277299402988,9.021237602884484e-05,-2.188261082569518e-05,4.574397992007767e-05,0.000358545469244633
000088.XSHE,0.01032531860229737,0.004317175267563245,0.0041987663680140095,0.0022619804334787167,0.004406924074667079,0.0015311991465749482,0.0008233628266296129,0.00041840770464945324
000090.XSHE,0.001925971692285211,0.015486146088171483,0.013175671857735485,0.00997529427236758,0.0015914363599455743,0.0007594932597938494,0.0005979517187777411,0.0003922833528732337
000099.XSHE,0.0039572686616150925,-7.686061714207667e-05,0.0055380720301002545,0.009423076813004059,0.0018841217328857186,0.0006088871554399477,0.0004254415120286304,0.0005697834331536033
000156.XSHE,-0.00024313175004116893,0.0012090117994437656,0.001082870147539465,-0.000609227110806434,7.4617862447430655e-06,0.00014262196383233014,0.00011484894014279363,5.8621025598811435e-05
000157.XSHE,0.008553051880528814,0.007386913647625259,0.004709038332641995,0.002018830218099869,0.0016236462643309459,0.0006860447208552457,0.0003827654182960888,0.00019207576979302465
000158.XSHE,0.027735801072164203,0.008811416388066784,0.0036895868105714233,0.0035576971613945,0.012815250789491809,0.004154643887120849,0.0020812216457423067,0.0012052300448295644
000166.XSHE,0.010127906838239943,0.0037326157997843883,0.003120677288395658,0.0035097143904135584,0.0013736961336829844,0.0005252664144684441,0.00031750545097281805,0.00024222426578730818
000333.XSHE,0.005927958132412169,0.001253539748061827,0.007777765172131918,0.00637722541718214,0.004169558453660635,0.0014184024114967558,0.0008574048343600557,0.0005101667475125417
000338.XSHE,0.008770450293856957,0.007231351314693806,0.0071014325454312735,0.004376011130285318,0.00133208187373331,0.0008785504706513904,0.0005498352753746258,0.00030538906993949526
000400.XSHE,-0.0014063274803289912,0.01378722922748268,0.00989421490690137,0.005838236539041096,-0.0016068048461585645,0.0008604431180366956,0.000429763963847129,0.00027828177032590383
000401.XSHE,0.023633299468047365,0.010460833313407488,0.004861348420101921,0.0056456422714526175,0.012212795911326839,0.004380602366957375,0.0028328642269035416,0.0015982961265630859
000402.XSHE,0.010355047061782486,0.004924527814266163,0.009931573514487245,0.006073302327266558,0.0046359164618212136,0.0015956902573922458,0.00113319739699241,0.000651090500354851
000413.XSHE,0.04198054529869082,0.05386232367644353,0.08888815607120895,0.04653827044222035,5.49301209129124e-06,-0.0007760847491612185,0.001323926193124262,0.0007947037062005033
