code,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m
000001.XSHE,0.0016084882778688227,-3.6657201362539386e-05,-9.127933586478351e-05,0.0003234434772042902,0.0013576773192224825,0.00042784046645928827,0.00021921439254637807,0.00012657409910274553
000002.XSHE,0.003018167475863365,0.0017811835575088676,0.0002985528339388099,0.008287606168386507,0.002533416357356484,0.000810214516941874,0.00041039366954868223,0.0004955395217382217
000006.XSHE,0.01698011111293141,0.011566756289320416,0.00891898666324646,0.017937638518715417,0.006115363202346689,0.0023226402718673606,0.001182586462306167,0.0009661195594021956
000008.XSHE,-0.0033574887522621714,-0.00029689131505133173,-0.0012526808047763267,-0.00311058931902922,0.00017784517653954832,2.6309173341110957e-05,-6.66660372120292e-07,-1.5128240501444268e-05
000009.XSHE,-0.00706618230443527,-0.0044654201194203515,-0.0018038124266517676,0.008738881781901716,-0.0015932542497684166,-0.0008643973326554167,-0.0004409139919323307,-5.501519358051463e-05
000012.XSHE,-0.0057218762670231856,-0.0032903495037311286,-0.00807938262655804,0.013234713864570757,-0.0008475495536458277,-0.0005058550641851592,-0.0002659527607235405,0.000839425094589618
000021.XSHE,0.0032974543448727215,-0.003928213387189524,-0.0027522858291682693,0.006234466045623397,0.001649748646630253,-4.7894371886469955e-05,-2.109780508881559e-05,9.13032023928316e-05
000025.XSHE,-0.007164880946417848,-0.002030585456617635,-0.007314048736067233,0.008021195900919261,-0.002941627378660925,-0.0011529772077501503,-0.0006465529853340337,-0.00013786388944736445
000027.XSHE,0.001880728080942022,0.00261567829346344,0.0014304663781998393,0.0012675700014695666,0.00019072971098433358,0.00016484067797026077,8.766359605575585e-05,5.980510983031468e-05
000028.XSHE,-0.0003998325423237999,0.0012562191337868072,0.0011024787469003565,0.0014236118688897997,7.58846966844828e-06,7.006739244925994e-05,6.821706056406342e-05,4.72424815581375e-05
000031.XSHE,-0.00827503021684365,0.0005559483856894981,0.0010061756504858566,0.003782836944313444,5.5109920697827064e-05,0.00033077655894983755,0.00021452241337352248,0.0001656565700644488
000039.XSHE,0.010438537027858666,0.004366983830893145,0.004370663998440874,0.00568795049982496,0.0023334019123228806,0.000808100723489109,0.000497052101449435,0.00046568794227973005
000049.XSHE,-0.022770032704896786,0.010081896076474266,0.006775233706608887,0.013243100691604254,-0.024280588313839536,-0.007054135861326555,-0.0034210178012828514,-0.001435704041858212
000050.XSHE,0.002505872166044529,-0.0031574419783254246,-0.0031574419783254246,-0.0021738322915857253,-0.004760151525783239,-0.0016239221324093256,-0.0016239221324093256,-0.000643542392890591
000060.XSHE,-0.000996418740111199,-0.0018298058446518438,-0.004777695214508756,0.009783241331792385,0.0006593664981174192,6.321123980075053e-05,-1.970686480922455e-05,0.0006523794110047018
000061.XSHE,-0.0006966633278498857,-0.0011798550681299685,-0.0013196806952029687,0.00024124576970712284,0.00022902988020916665,-5.426811735125153e-05,-3.425826312109383e-05,3.4057071106754446e-05
000062.XSHE,0.03261740140417273,0.011770862993858978,0.005643562229612139,0.006212341678986333,-0.003681383398570476,-0.0012026428643811815,-0.0006432273054358943,-0.00012983542858285523
000063.XSHE,0.013054902760472619,0.030062960213648814,0.012791218805528306,0.008580957338209155,0.0034992325443839603,0.0021087928779180746,0.0009825807430189548,0.0005695913262165018
000066.XSHE,-0.008518553171693843,-0.0043469132103533615,-0.005175138068518685,0.00442610056521928,-0.004719253523645236,-0.0016220820935381587,-0.0006708197250374456,-7.714394920323252e-05
000069.XSHE,0.004352517532485628,0.00402052828674738,0.0021622344346599017,0.002277218291303112,0.0017579173574002974,0.00074721327888229,0.000391633878112687,0.00024740018131584585
000078.XSHE,0.002317420826863961,-0.0005947678326708866,0.0010168037095684777,0.0018416847824520453,0.000981573878138594,0.0002504871776147909,0.00023410665473014105,0.00014196049414995465
000089.XSHE,-0.0003591635660477382,0.002644479816752906,0.0010350883112792292,0.0012201029929693223,0.0007439135896955716,0.00038818906123660123,0.00020508908159003775,0.00012097974209392774
000090.XSHE,0.004491342108935405,0.021803857596974063,0.011263654351794784,0.012219663104765133,0.003101559018701431,0.0024873019932223775,0.0012573638525067731,0.0007997562265136552
000156.XSHE,-0.002171464584743644,-0.0012942048202764407,-0.0009023997919071927,9.023517781613608e-05,-0.0002079730551827471,-0.00010811970784511217,-5.170598157260334e-05,-4.171935931438383e-06
000157.XSHE,-0.0006166207830617997,-3.993919850136535e-05,0.0004671259677497323,0.0025880821501958625,0.000804336563850517,0.00020529707761270777,0.00015373670781570616,0.00016818250492188524
000158.XSHE,0.13562864118800655,0.06459692485098409,0.02852388431142349,0.01610673556099746,0.018773659469234306,0.00801896359360818,0.003962271567896814,0.0021448618883230255
000166.XSHE,-0.00037263291455782684,-0.0006955467315414333,-0.0015024369706465154,0.0010779058716095813,0.0008828336826647862,0.00023825027446854809,0.0001508854068274704,0.00014780988745681194
000333.XSHE,0.0035148401116654425,0.0021736701930178876,0.002110372688933391,0.004944068930532656,0.00017986812010082178,0.00010954610540392404,8.53575210302268e-05,0.00011825848161535441
000338.XSHE,-0.00027652960271905356,0.0006405849173503528,0.0039452662323962075,0.005510088185917802,0.0016272712147438763,0.0004737985713888261,0.0002901936339689287,0.0002646638061282221
000400.XSHE,-0.0012154094548739308,0.002133820863439932,0.0023198913046609173,0.006107053105781138,-0.00011202431774819718,8.104309750670411e-06,7.3538794846326e-07,0.0001622627079398272
000401.XSHE,-0.01651560409215607,-0.05235590023884985,-0.02186064146256385,-0.010225708068675878,-0.0060104252247600905,-0.007221552080682072,-0.0034142288065279196,-0.0017415089339624609
000402.XSHE,0.004398052279024475,0.010832589958651695,0.0038709782045571483,0.0069012758595221975,0.0015921879064293566,0.0005954436464042653,0.0002987450437357476,0.0002910392743762447
000413.XSHE,0.0011522050885741735,0.017225918773887235,-0.0009687839545852996,0.05231322068382536,0.0011262323116432856,0.0008569086966510335,0.00027815133939689413,0.0011421219053354733
000415.XSHE,-0.0016613493671336897,0.0008559893621204323,-0.0007342766080937884,0.006846116274223546,0.0008459823641039973,0.00024234012650361015,0.00013417259909811148,0.00024348515088698882
000417.XSHE,-0.0035803764977102685,-0.0002281721209658151,0.0001684119715297997,0.00270876898892109,-0.0003465664716043109,-1.3993111413364893e-06,4.243456932415674e-05,0.0001049223411201218
000418.XSHE,0.001456269349725069,0.0051936739139247035,0.003272148241692799,0.0038138494816798416,0.0008022397293251958,0.0004950771620445738,0.00028525646312856144,0.00017989411026301982
000423.XSHE,-0.0031737237736508715,0.006352421356789432,0.0035081766306225117,0.005698926606907092,-0.0004432462729156762,0.0002454592214405952,0.0001607416396881645,0.00015033320720232913
000425.XSHE,-0.00469398933480483,-0.0014881738128360415,0.004408650557605299,0.004034902156806153,-0.00018034383089189247,-0.00022647510236628376,0.00020549231529644563,0.00020684855736967668
000426.XSHE,0.006416955971571525,-0.00399388418036468,-0.0018009797033028561,0.03377639109366136,0.001434281204129822,5.943306385174738e-05,0.0002238898099487628,0.0007484004943142534
000488.XSHE,-0.0002066127961273703,-0.0030118341173006385,0.005692888869548242,0.014366393762300289,0.003022957388960344,0.0007347249445008563,0.0006106601097423074,0.0009018625665417391
