code,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m
000001.XSHE,-0.0008462763777597699,0.00019261422578163988,0.0012379911267364966,0.0011055947513213108,0.0012610164958066084,0.0003930370868169025,0.00020409312506956573,0.00010029873044024659
000002.XSHE,0.0016111056219766148,0.0022025731679053305,0.002405769992336622,0.0017169846212668235,-7.362550680025561e-05,5.875755358904093e-05,5.327513022445127e-05,4.7701564482381705e-05
000006.XSHE,0.0040627934472364366,0.025081419879123698,0.016052429074975852,0.008470434292344512,0.00013405988237671543,0.00046015507983481905,0.00028222239176032,0.00014095204566367278
000009.XSHE,0.0024267797035118547,0.008903662304278944,0.000819246757193541,0.004227651589584261,0.00028883234964796,0.0002596639977054359,-0.0003875651689320856,-0.00015577609538423433
000012.XSHE,0.017093127937987337,0.003342765402280087,0.0129390524965484,0.006387566587220317,0.001453825145154424,0.0004281606890793915,0.00026660651368390565,-8.012173241821386e-06
000021.XSHE,-0.000554571068698628,0.00036189385483618725,0.0021678456970697854,0.0024660174659860085,0.00010629652411061374,4.02531443879831e-05,9.910344919178443e-05,8.763806655525166e-05
000024.XSHE,8.525626373349533e-05,0.006438819028897359,0.005484881433731749,0.003983001938389477,-0.003554176647080217,-0.0008152345535888757,-0.0003663930771131611,-0.00014107262199047159
000027.XSHE,0.0029850845677161517,0.0013219536218302306,0.0008615604388048038,0.000506793392697276,0.0009232863080355961,0.00032964909992361284,0.00016596497662693096,8.308309719444449e-05
000028.XSHE,0.0008953533423191023,0.008034434194938229,0.006749557307958265,0.004259554485826068,0.00032379011381360336,0.0006395349852178088,0.0005243615578062377,0.00027422240485274103
000029.XSHE,0.0004735687707347693,0.009009963810912385,0.006989128028475989,0.003907115657735635,-7.741816019402319e-05,0.00017963195942604857,0.0001638222951371876,9.018223529546195e-05
000031.XSHE,0.00511690773399809,0.0037894795713596923,0.004967845597798693,0.002493694954523889,0.0007302018274119679,0.00031303814357561767,0.0002525158626068437,0.0001228130640081126
000039.XSHE,-0.00048703083453590935,0.0015405882892469967,0.00559106620395134,0.004451024298353177,0.00025860216167256913,0.00016153806469222504,0.00016741192231686005,4.599148113661008e-05
000042.XSHE,0.003752070949830628,0.0060959216876428695,0.005232363822163311,0.005469054519141305,0.00038335737837596665,0.00023712277413066578,0.0002129908809061864,0.00013946222371803447
000050.XSHE,0.0030361974152356397,0.004887100124344092,0.01715207521757861,0.009466977250474897,0.00116018674591557,0.00033466500667055196,0.0004091601921726112,0.00018823302230585088
000059.XSHE,-0.0013387429517117515,-0.0010923565636176437,0.0027236241243794555,0.0018163508059410585,2.3767262394118828e-05,-7.439886026593023e-05,7.812661059391866e-05,3.6745280709189164e-05
000060.XSHE,0.0001268436544160433,0.001142305067467332,0.003628576192670177,0.0014403829860190102,0.00022115797938861194,0.0001160853878701739,8.031357217650049e-05,2.235353028320576e-05
000061.XSHE,-0.052628332012034595,0.006218620751947581,0.0045054592631910955,0.003087513768659277,-0.042389823081457556,-0.001526827057447267,-0.0005146262610979872,-0.00023115920847672009
000063.XSHE,-0.0018828739077670679,-0.000979405616956894,0.0003539338789395304,-0.0014581409866558559,0.0005873167006306936,0.00010151175233015493,0.00010422763157278726,1.6736802884334954e-05
000066.XSHE,-0.0017980754357218441,-0.002496492433293651,-0.00048207881356339497,0.0031175184019873823,1.692379654809011e-05,-5.3442364367302526e-05,-4.9779635266878895e-05,0.00012647112681427565
000069.XSHE,0.01816176814914094,0.00854960000583796,0.006340972577252735,0.004666459843936447,0.001565895744529315,0.0006768670309795711,0.0003877345270890946,0.0002626443851101801
000078.XSHE,0.014160457610801872,0.00661292436294668,0.00582742711533017,0.0032972081790998064,0.0035105141019987616,0.0013277587868519433,0.0006877036797149169,0.00034037763327499044
000088.XSHE,-0.0004992761169641299,0.008478692784192129,0.006963957801639489,0.002327590136640008,-9.874726636296491e-06,0.0004943555876101839,0.0003983368760887212,0.0001239514094091956
000089.XSHE,-0.0003902615651410848,0.00026275444982866946,0.00023084934130508363,0.00011641016326001266,1.1245248518921792e-05,1.4103883707551343e-05,5.3433161477459366e-06,-7.203461561581467e-06
000090.XSHE,0.016604352374894243,0.011317791111532678,0.009175855484371692,0.003447864897606116,0.001062351505146276,0.00021832339022405254,0.0001522931655738486,2.6086852779535583e-05
000099.XSHE,-0.005704980603195487,0.018631587907419266,0.01085016699835069,0.006717056169813493,-0.00020159972343197115,0.0001835602565507821,9.991498026045783e-05,2.984477020400035e-05
000100.XSHE,-0.0014507820763506392,0.005892531628658747,0.015580897321140342,0.00753246115471689,-0.000310771918522453,0.0002492744782650338,0.00036161128706687745,0.00013861939780362634
000157.XSHE,0.007220221713298105,0.006600132833977956,0.005908407157587037,0.002509918439432998,-0.0009809902773905642,4.8526126762645874e-05,5.52326761621408e-05,3.28960292535794e-07
000158.XSHE,-0.011625968807157615,0.007570867158974328,0.004057996611210702,0.001963947550526574,-0.0002627974172614478,0.001659392091332512,0.0008193559139754925,0.00039423356785932463
000159.XSHE,-0.0010299285866595456,6.492084393984331e-05,0.007489289034757122,0.002459039132007685,-8.231286071296829e-05,-0.00010169532224366573,0.0001385251811550842,1.3719683075173724e-05
000301.XSHE,-3.74056911257134e-05,0.002771743736269303,0.002192825659960052,0.00261492890632752,0.00013554236931033258,0.00011643219246744747,7.007465466079197e-05,7.777768026124756e-05
000338.XSHE,0.0016313392861332272,0.001495799253764974,0.0023021782784312496,0.0010387605337592424,-0.0002510202837774786,-5.8517438771462986e-05,-4.6449538205434526e-05,-4.6046679646831963e-05
000401.XSHE,-0.003546778224885385,0.0010246205868515554,0.0029845630360993743,-5.773865803717441e-05,-0.0014190282029480535,-0.0004032412338638056,-0.0001822403765139652,-0.00011477462259410123
000402.XSHE,0.0017535177919662352,0.003395096960938757,0.003533985235763225,0.0022506297747981073,-0.000296744768023046,5.7467540117227504e-05,6.853800143570816e-05,5.76035268644295e-05
000407.XSHE,-0.00302570894122521,0.026581838996490366,0.023732080564350964,0.013327749269274585,-0.0010152279880970424,0.0019949493573263467,0.0016809752376774159,0.0008237379571991969
000410.XSHE,0.0006556378891509373,0.007759894441396557,0.00684282575319774,0.002981248341586224,0.0003266534164531218,0.0003186959608195738,0.00023573663685840047,5.2478662567286166e-05
000417.XSHE,0.005238415091897885,-0.0007857548828867776,0.0022219754333803487,0.0022869745042772053,0.0018880748731394414,0.000510989135859114,0.0004119328609774159,0.00017210335538028824
000418.XSHE,-0.0053457836642415895,0.02556956674605254,0.025022165055339336,0.01104671972773577,-0.0005388053090276476,0.0037827800170199734,0.002236471949649236,0.0010098295905904215
000422.XSHE,-0.00688341420039561,-0.0009170202739705436,0.0053692344259445015,0.00525086959451955,-0.0004104839934517326,-4.764677638802304e-06,0.00014094429847753202,6.6216044033114e-05
000423.XSHE,0.0008544678497504533,-0.003267420049441146,-0.001670264250942025,0.0008765719522674547,-0.0026466942679821033,-0.0009486246389879328,-0.00043518301859686657,-0.00019375080787389164
000425.XSHE,0.010155024623208664,0.005016784013571529,0.006973519359479791,0.0032454955646051705,-0.001299590406765146,-0.0003313938773895386,-0.0001706463751356775,-0.00015198002606028687
000426.XSHE,-0.003786317313307484,0.02614171554949948,0.02366412586024947,0.01879502877750618,0.0058516291135304556,0.0040639948722480685,0.002260096827479765,0.0011447286257388343
000428.XSHE,-0.0014014625312122725,0.004649691657056579,0.005056913477028527,0.0031430187643079525,-0.00022100663785530275,0.0005869716107127292,0.00042124336963915383,0.00019341188284268185
000488.XSHE,-0.00035997738561649586,-0.0007625214621001236,0.002023079103030561,0.00097700039207836,8.581187723682155e-05,-1.5370456464232105e-05,2.8058946155178258e-05,-2.0219303301860977e-05
000503.XSHE,0.0152904371518766,0.0038557089493353658,0.0027336096972963293,0.004430262949538398,0.013699378218990324,0.004307724344070524,0.002138273117408185,0.0010822243744983795
000506.XSHE,-0.004437798690769132,-0.00038199024114268185,0.017853302383487438,0.014695244105715871,-0.0005720642426624279,-0.0002238231106774205,7.282367464359314e-05,0.00013029467500585417
000510.XSHE,-0.0003597132606671169,-0.006626240889029765,0.015063465697454557,0.009442468231493738,-0.000741551836804928,-0.00035879031656967835,0.00025503008526153584,7.881782186452074e-05
000511.XSHE,0.015348325435573332,0.014746439163103487,0.010385212448436027,0.0073894968772273105,0.001367726517679318,0.0009227644677316153,0.0005471232551066029,0.00028934291357576267
000513.XSHE,0.009679619813129125,0.00885029475307376,0.004868240613951628,0.00520344939840037,0.0010593776671019807,0.0008376943758081369,0.0004550329014386179,0.0003138864702430182
