code,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m
000001.XSHE,-0.0013585315669946496,-0.00013426606060827067,0.00013394939805698268,0.00029380127468651176,-0.0003993104148791041,-0.0001103666237662661,-5.6317051482460605e-05,-2.3604005374883985e-05
000002.XSHE,0.0031472673338584015,0.0022976011258052996,0.003811230144594516,0.009903216168173565,0.0002424239145200326,0.00010691833472463716,5.096444866800196e-05,0.000453417495339907
000006.XSHE,-0.0005390394063681562,-0.003217234092921063,0.011690619583227226,0.0147215837940862,-0.00040419433081720227,-0.00019341647012466727,0.00029372039199704705,0.0006321403459108237
000008.XSHE,8.018293382205417e-05,-0.00046734637386611195,-0.00042844572724230664,-0.002214279031805168,0.00024596268698329714,7.563322737563312e-05,1.6090557741994144e-05,-7.155329393579053e-05
000009.XSHE,-0.0001660230172464869,-0.0038442642944846233,0.0010731130267017718,0.011172723052509662,-2.4518607281433756e-06,-2.7039403470981536e-05,0.0001464303880657764,0.00041690284934450665
000012.XSHE,-0.0019309218396595309,0.004476774937117691,0.018922194451248465,0.01493568366589339,-0.00023760835669616996,-7.935012421537847e-05,0.0002047187719100548,0.00027183470463486563
000021.XSHE,-0.00020420827677458095,0.0006998896806605834,0.00036755326305123987,0.007265038438565449,-0.0005789695216229857,-0.0001540842359222972,-0.00012115802033713227,0.00010408389223894255
000025.XSHE,0.0005551916251820933,-0.0012902867019811736,-0.0038437252460456466,0.007457348349610143,-6.598879360284946e-05,-3.867550399083281e-05,-0.0002453687554911373,0.00012398102386411845
000027.XSHE,-5.976530849135394e-05,0.0002964174512478165,0.00045031389188296357,0.0005282853399502102,-2.8858011941143038e-05,3.421155062862044e-06,7.662078014889418e-06,1.3988547593598384e-05
000028.XSHE,0.00306406187933596,0.0024397981301828393,0.0011097690888358038,0.00224239292158697,0.0008105158766936674,0.00039212944540186563,0.0001818303986970888,0.00012932923948476315
000031.XSHE,-0.0007802989664500363,0.0001711911341482136,0.0013698368047248082,0.00291176325708784,-5.165611062791845e-05,0.00018429785612676628,0.0001348936342160732,0.00013582651388291213
000039.XSHE,-0.0025796893585789534,0.00424529568687106,0.008198223460562818,0.004624694944311413,0.0002927860540517001,0.0003228465124858621,0.0002939263572403975,0.00016283727402196786
000049.XSHE,0.034754698973353024,0.015998841802060328,0.01601778750324403,0.019551930084655424,0.0022831712743474177,0.0010586713400949483,0.0005860442888924264,0.0005886881583137333
000050.XSHE,0.01882555622206153,0.01882555622206153,0.01882555622206153,0.01820540581496268,-0.0052813082882822975,-0.0052813082882822975,-0.0052813082882822975,6.878953016374348e-06
000060.XSHE,-0.00039225231874667635,0.0018478838113775574,0.01482190014677406,0.010148953604376308,-0.0006083900911187443,-0.00038655950327056847,3.908654498698451e-05,5.6673542081292666e-05
000061.XSHE,-0.0006445032048765944,-0.0005101370841407179,0.00039304068658446695,0.0005787677956093442,-0.000139782486595847,-4.534634242182766e-05,-9.398073127946077e-06,8.598384349935455e-06
000062.XSHE,-0.0006899578662602183,-0.0001348509972202603,0.005663357343021414,0.0028960807062213853,-0.00010095427580391215,-4.265764013441288e-05,9.773730614145727e-05,3.6372204762611e-05
000063.XSHE,0.08584579615619223,0.02172982497621887,0.01248817606880439,0.006543778124246866,0.014610499050413376,0.0039096444881623815,0.001878903534128175,0.000941207012892115
000066.XSHE,0.004429615072378305,-0.003560106804096344,0.004715497939283514,0.005488849542539508,3.580160772882063e-06,0.0010685060878481987,0.0008383593903321547,0.0004725198547110319
000069.XSHE,-7.920289613710466e-05,0.0005051668058618708,0.0012291814089595355,0.0012627158771694766,-0.00035598515596216567,-4.132347010941731e-05,3.243787201584059e-06,2.572339995997104e-05
000078.XSHE,-0.0016083233222259773,0.003169699175000287,0.001162228491338713,0.008597263939306578,-0.00048792953023452394,0.00021592687124766125,8.453744357053248e-05,0.0001525001217819983
000089.XSHE,0.0025800488691937124,0.001317982688239508,0.0004534985194432541,0.0008653425957908269,0.00011443839735339385,9.53023374863064e-05,3.328077656158965e-05,3.285109939911922e-05
000090.XSHE,-0.0002447433759921128,-0.0012678012841079295,0.002623733891432035,0.006099072693043063,-0.00019147565206315887,-7.283559395570186e-06,0.00010227066398354849,0.00032720208020141497
000099.XSHE,0.00048393065166748607,0.0035628508036365902,0.0016714234138217202,0.005168605089516409,-0.0011441973161242815,-0.00014402396724163665,-9.857692861597743e-05,1.4668371183448418e-05
000100.XSHE,0.000747916027247068,0.002280790236511573,0.003594467330284064,0.0025299003310713867,0.000878760572128466,0.0003980339365253875,0.00045599130064939236,0.0002262585108210878
000156.XSHE,-0.0006579865305140739,-0.0002741185141531163,0.0007258536676195478,-0.00062321416963922,-0.0003356274272063936,-7.940551949605706e-05,-4.5358044799344154e-05,-3.216358228524889e-05
000157.XSHE,0.0007992529938759211,0.0026606660028466265,0.002426553489324648,0.0025018837481978334,0.00017987317173533707,0.00022141773999940584,0.00011745676504232011,0.00013771114028001408
000158.XSHE,0.010598791703335188,0.0024878130062856983,0.0022147300705613825,0.0036071252500625953,-9.885830572872525e-05,-7.970164242679549e-05,-5.075939449657456e-05,6.282440295095388e-06
000166.XSHE,-0.00025145454750617,0.0006083745236948089,0.00157036640509775,0.0016643602234434143,6.417381091207612e-05,6.53226306466432e-05,1.9180135950135e-05,3.199038722742812e-05
000333.XSHE,0.002578366364047337,0.002323202621969949,0.0026126096315687215,0.005498958902502262,-0.00014645341107289426,1.8200957249462228e-05,5.3974215828008035e-05,0.00011399708506749733
000338.XSHE,0.0006120819615891594,0.003477529130999386,0.007173959003864193,0.005650377024333436,-0.0004557421927718356,-0.00011403335222214789,5.21694113833659e-05,8.838101559716608e-05
000400.XSHE,0.004786464556240969,0.001607622600143319,0.009761478318116381,0.007180912506424856,0.004704162002151067,0.001501159234198173,0.0008949030925190464,0.00044776484552263315
000401.XSHE,0.0063899692840233,0.010105380891100472,0.01013756299360092,0.0060418676184185935,0.0017944922512394105,0.0008068152973823551,0.0005093020667269163,0.0003204218160692929
000402.XSHE,0.0007735903363522705,0.0007878135254442789,-0.00010398921739868178,0.005372616126597145,3.1488251201855663e-05,6.265643926429454e-05,-1.1058258500989138e-06,0.0002047191112989052
000413.XSHE,0.015240789473684183,-0.010991638165647273,-0.004628853605600384,0.05001125008786052,0.015240789473684183,0.0004772280133651721,-0.00010409707913007588,0.0019906118025301207
000415.XSHE,0.0005079523613590115,-0.0002750407027411973,-0.0018544572243445387,0.009374859061928942,-3.614471618649819e-05,2.299160248368048e-05,-0.00010733628679256404,0.00038469886513109317
000417.XSHE,0.0010104805226487227,0.0016755863007350508,0.0024878058840746868,0.0025229753968590207,-0.0007069929915787558,-5.238277293356684e-05,-2.291021266882166e-05,4.2511152854352785e-05
000418.XSHE,0.007900979254708954,0.0041177739346049584,0.002598062508632218,0.004417980871882738,0.0008875146181436614,0.00042300123266089657,0.00021481581254571323,0.00016082052302492488
000423.XSHE,0.015034174106393608,0.007077250926592808,0.0038255342975507057,0.004385457309284273,0.002120864455716026,0.0008498983921139437,0.0003942616201159223,0.00028062069160356135
000425.XSHE,0.002430020181905203,0.012423190034923972,0.008935781223345674,0.004649005354545398,0.0011291191768295142,0.0013417678958904686,0.000741117463369654,0.00037319082621345315
000426.XSHE,-0.011216805550620785,0.003574738978699881,0.008496983604136579,0.0363922565084826,-0.000528829675728629,0.0007521411263765645,0.0003930963133240891,0.0009612499728887201
000488.XSHE,-0.005637951873979352,0.011080533428685852,0.02062694841529654,0.015248092289974565,0.0008077267216487204,0.0008053516094500924,0.0008762414844429061,0.0005927804627499984
000501.XSHE,-0.006544094460740281,0.008306043445619799,0.006504314331583087,0.00463115698237267,-0.0013190026757181937,0.00021640447119441805,0.00016162784956484118,0.0001259740016505173
000503.XSHE,-0.04054921835970983,-0.01189994503168182,-0.009012100982981882,0.005682823220170054,-0.011369576491865147,-0.00375125132935491,-0.0022795089760906614,-0.0009848882501412224
000513.XSHE,0.0025279911821827665,-0.0006009126246583903,0.0011035060910079377,0.004119135949758376,0.0006205094148145149,-0.00014574116225459833,-7.370704690964437e-05,6.35852418620765e-05
000517.XSHE,-0.0017731032780020247,0.001850942274063029,0.003320696754338858,0.0018296165625195384,-0.0006203635778387051,8.972002547624134e-05,0.000140094920802892,8.528034579296014e-05
000519.XSHE,0.004593589185661368,0.03546103638840144,0.0384080841739571,0.031051622754485,0.01062389682415385,0.007060055366335015,0.004502529495435897,0.002621164120453018
000528.XSHE,0.007044087176485646,0.014286235789572527,0.011229369368738558,0.008232631773990652,0.0028644063403745978,0.0018870704694019043,0.0010009068985156586,0.0006018461536822752
000538.XSHE,0.0053952323094812096,0.001556054274792109,0.001556054274792109,0.001986842665847785,0.0013642800551532147,0.0004981973923922471,0.0004981973923922471,0.00024786173523286406
000540.XSHE,0.008023499824870774,0.0023905306932951757,0.0020957488268871743,0.003242237386347379,0.0004756893393113717,0.00018108049366093772,0.00012360049257156223,0.00014768704037728777
000541.XSHE,0.006970969623274183,0.003912065526796373,0.0016134954867026805,0.005409159769576984,0.0007983752979027018,0.00041276152846615087,0.00018057014451400776,0.00015497125599785454
000543.XSHE,-0.0026409983089788524,-0.001183507399143407,-0.0010156004653496754,0.00195618062285834,-0.0007060567254922789,-0.00023590968621964233,-0.00016965543410855387,-6.59868252456825e-05
000547.XSHE,-0.0014427126528201372,0.006417425960331641,0.006417425960331641,0.0081615030142086,-0.0006847059734458788,-7.607985668018477e-05,-7.607985668018477e-05,-4.28221917087319e-05
000552.XSHE,0.001447264878700328,0.0051456681386870635,0.009526430393600831,0.00722611559826593,-0.0006656147236876399,0.00011634415098733979,0.00010885113938315642,0.00011359144254430069
000555.XSHE,0.001435442883217401,0.002303438679787732,0.0036612999781818,0.013983681173605824,-0.00028504118412668936,7.550099573597243e-05,4.3461605685565365e-05,8.651677014383667e-05
