code,leverage,sharpe_ratio_20,ROC20,VOL20,liquidity,BIAS20,residual_volatility,MFI14,earnings_yield,momentum,ATR,MTM,MACD,RSI,PSY,CYR
000001.XSHE,1.664419,4.149348,1.694915,0.2535,-0.390703,1.31142,-1.034992,77.653135,0.723684,-0.089862,0.3864285714285715,1.2199999999999989,0.19521368211153678,84.27590062593286,66.66666666666666,1.721265736061306
000002.XSHE,0.541928,-0.045201,1.90577,0.32,0.534454,-0.71178,2.328343,55.522227,1.468588,-0.046023,0.6378571428571433,-1.3499999999999996,-0.541608040631618,11.048773600657936,8.333333333333332,-0.44554267623529986
000006.XSHE,0.72479,-2.484935,-11.050328,1.9755,0.595086,-7.513793,0.607539,39.887798,-0.002084,0.038003,0.5650000000000007,-2.759999999999998,0.07548749242606778,24.51662971297366,58.333333333333336,-0.9590970250644926
000008.XSHE,-1.505294,-2.924146,-6.63765,0.4645,-0.376928,-4.925481,-0.179884,47.120892,-1.329328,-0.087528,0.23571428571428563,-0.14000000000000057,0.020384796055253396,42.077032242815605,41.66666666666667,-0.250211895455299
000009.XSHE,0.087199,-3.505936,-12.732342,1.6155,1.070509,-6.687866,-0.67398,30.485467,-0.82784,-0.045698,0.2892857142857143,-0.2400000000000002,0.10288967911103764,54.42766205509627,41.66666666666667,-0.07609982866478848
000012.XSHE,-0.528367,-0.470455,-0.826446,2.5355,1.477097,-1.124125,0.191804,56.215469,-0.156777,-0.03389,0.14357142857142838,-0.1299999999999999,-0.014882172835060298,46.94307147255451,41.66666666666667,-0.09875388056308498
000021.XSHE,-0.639111,-0.524686,-0.744681,0.715,-0.334959,-1.264617,-0.55802,68.089717,-0.949168,-0.144321,0.3464285714285718,-0.9299999999999997,-0.04909456398347867,38.07138375140116,50.0,-0.18176464066931297
000025.XSHE,-1.412447,-2.622316,-9.329759,1.3935,0.90397,-5.961517,0.655471,48.71153,-1.167034,0.033476,0.14500000000000007,-0.27000000000000046,-0.03452490971964858,38.09225267948469,41.66666666666667,-0.15693204915880887
000027.XSHE,1.224416,-1.450551,-1.793722,0.279,-1.546701,-1.403167,-1.21642,59.94176,0.706595,-0.116075,0.39785714285714324,-1.0700000000000003,0.02764609796085149,44.60200387004082,41.66666666666667,-0.2406883015067529
000028.XSHE,-0.780791,1.751795,2.263809,0.4095,-0.98356,0.403778,-0.256874,61.401536,-0.686137,-0.057611,0.32928571428571435,-1.9800000000000004,-0.1343712199287379,38.05848437689553,25.0,-0.4420263115078926
000031.XSHE,1.716118,-3.744503,-11.258278,0.639,-0.289993,-5.915394,-0.689752,24.096105,1.427056,-0.215152,1.8985714285714275,0.39000000000000057,0.060003006331922126,47.23740052970823,41.66666666666667,-0.04067449070803697
000039.XSHE,1.716118,2.699468,5.853994,0.715,0.210374,2.737208,-0.116599,45.134122,-1.063956,-0.16253,0.5492857142857142,0.4800000000000004,0.09109714753748616,54.83106619617566,50.0,0.008527326311580374
000049.XSHE,-0.60321,0.230343,0.899149,1.369,0.317865,3.87401,-0.320108,61.16057,-0.776324,-0.095651,0.155,-0.4300000000000006,-0.061670362792606515,29.525129528840584,41.66666666666667,-0.3726275655128952
000060.XSHE,-0.770835,1.172981,2.367688,1.288,0.99096,1.365329,0.255474,55.665402,-1.379135,-0.057433,0.08857142857142859,-0.04999999999999982,-0.019067372340855003,48.7734387942894,41.66666666666667,-0.028996580778328784
000061.XSHE,-0.21888,-2.284392,-5.72363,0.3825,-1.04683,-3.932678,-0.806607,32.78137,-2.09585,-0.136348,0.10785714285714297,0.34999999999999964,0.09212009810462606,86.12749385304997,50.0,0.0953093131281113
000062.XSHE,-1.031791,-1.271893,-4.584222,0.4075,-0.567721,-3.248473,-0.071442,55.03302,-1.458291,-0.013629,0.4557142857142854,0.03999999999999915,0.139749046994323,71.88023825837114,50.0,0.2930035236464734
000063.XSHE,-0.234797,-2.386139,-5.335844,0.6815,0.296386,-1.662863,-0.379395,33.496333,0.917716,-0.058439,0.5242857142857142,0.9500000000000011,-0.10701914612437169,49.44825526989044,50.0,-0.011725594463607436
000066.XSHE,0.800703,-1.93137,-27.98419,1.6335,0.556245,-21.899781,2.457279,31.619541,-0.69205,-0.142056,0.8849999999999992,1.3300000000000018,-0.037776702987230903,41.34639489816112,41.66666666666667,-0.13240307269998253
000069.XSHE,0.813818,-2.422697,-2.095808,0.288,-0.797926,-0.274474,-0.769143,56.714638,1.468588,-0.081323,0.07642857142857132,-0.1200000000000001,0.018492113947418412,52.00120881622078,41.66666666666667,-0.006682504505017839
000078.XSHE,-0.671218,-2.282902,-4.928458,0.653,-0.051453,-2.874777,-0.974263,42.883029,-0.900393,-0.128157,0.23071428571428562,-0.34000000000000075,-0.029429539078191708,42.83518305882538,58.333333333333336,-0.17408812037010835
000089.XSHE,-1.549386,0.35646,0.884956,0.3855,-1.436562,0.611486,-0.827858,47.117987,-0.409434,-0.074257,0.3178571428571428,0.46000000000000085,0.13194960300989736,60.64837008635012,50.0,0.05854387742001421
000090.XSHE,0.244119,-2.881927,-8.236808,0.8455,-0.27608,-5.13571,-0.259917,38.816492,-0.558931,-0.123094,0.15428571428571436,-0.20999999999999996,-0.03918803736187647,46.877056464493826,41.66666666666667,-0.17163961405614048
000099.XSHE,-0.434211,0.114631,0.58873,0.909,-0.385921,-0.246049,-1.139375,61.887794,-1.28879,-0.216643,1.5692857142857142,-0.9600000000000009,-0.5798582962294714,43.619417497860326,58.333333333333336,-0.01816392582993931
000100.XSHE,1.58341,0.76271,1.572327,0.7645,-0.455537,2.719033,-0.494096,67.883726,1.232259,-0.145436,0.7364285714285718,-0.15000000000000036,-0.2571010994642905,48.91310728433788,33.33333333333333,-0.1653127604335225
000156.XSHE,-1.346722,-2.920092,-4.271071,0.3125,-0.697699,-2.013931,-1.064749,45.839699,-1.052032,-0.310978,0.30357142857142844,-0.7300000000000004,-0.013337418586870542,41.22263054476713,41.66666666666667,-0.11056765206222119
000157.XSHE,0.994372,2.061007,2.415459,0.41,-0.616724,0.940364,-0.742848,66.109487,-1.610193,-0.127895,0.19714285714285693,-0.08000000000000007,0.0030587108213542824,51.44748950189657,41.66666666666667,-0.23506263703115815
000158.XSHE,-0.719443,-2.010542,-7.127193,0.6125,-0.39945,-5.66353,-0.387923,22.083893,-1.416913,-0.235209,0.7842857142857136,0.11999999999999744,0.4025536002362582,49.174145916376375,58.333333333333336,0.028638655286905568
000333.XSHE,-0.581221,1.692601,2.789141,0.4115,0.388923,0.966192,0.49333,38.610056,1.468588,0.196295,0.22785714285714256,-0.3200000000000003,-0.00285715650803664,35.744142788356854,58.333333333333336,-0.16949015589248217
000338.XSHE,1.649985,11.228244,10.940919,0.9605,0.534051,6.647034,0.191952,80.7458,0.094563,0.033856,0.49714285714285705,-0.9700000000000006,-0.21516168065490987,31.751040353842146,50.0,-0.21907970789841746
000400.XSHE,-0.840293,-0.010166,0.282326,1.3895,0.314995,-2.232253,-0.273608,49.336945,0.176033,0.001891,0.23142857142857146,0.5800000000000001,0.06359799839279168,73.18807067016677,33.33333333333333,0.46056841056152376
000401.XSHE,1.540766,18.840573,16.810345,0.8155,-0.341302,10.351006,0.335288,86.611758,-1.037594,0.018911,0.162857142857143,-0.33999999999999986,-0.004863419313938466,58.666583579609544,50.0,-0.07521344597496427
000402.XSHE,1.716118,-2.214961,-3.417085,0.325,-0.45708,-0.373212,0.237955,45.057518,1.468588,-0.039417,0.21499999999999966,0.16999999999999993,0.033534765840715436,71.21651911659136,41.66666666666667,1.0998157564444
000413.XSHE,-0.416453,-2.538264,-10.695187,2.3435,2.252823,-6.179775,1.278483,36.059421,-0.651213,0.057234,0.4964285714285714,-0.9600000000000009,0.058630704955761725,49.973132586747106,50.0,0.0507472494817085
000415.XSHE,1.716118,-3.063437,-7.588076,0.6155,-0.995344,-1.35956,0.487699,28.000712,1.150588,0.0192,0.12714285714285722,0.47999999999999954,0.06743550786678376,79.01889869834979,58.333333333333336,0.8905480270770649
000417.XSHE,-0.772102,-1.70597,-4.235294,1.2365,-0.262693,-1.915893,-0.903646,58.160128,-0.36441,0.030549,0.47000000000000003,0.5800000000000001,-0.042089759834921026,59.08717050930353,66.66666666666666,0.06810467237101658
