code,leverage,sharpe_ratio_20,ROC20,VOL20,liquidity,BIAS20,residual_volatility,MFI14,earnings_yield,momentum,ATR,MTM,MACD,RSI,PSY,CYR
000002.XSHE,0.946881,1.879902,5.159332,0.9445,0.072445,4.753987,0.499324,66.687132,0.653144,-0.64193,0.2842857142857144,0.25,-0.03263701272398811,40.472106492911735,41.66666666666667,-0.15082868125678717
000005.XSHE,-0.783792,-1.623094,-1.028278,0.95,-0.674653,-0.939148,-0.555713,52.668131,-1.969157,-0.75245,0.5471428571428572,0.15000000000000036,0.1385466708918985,39.815910175178175,50.0,-0.1352098073944319
000006.XSHE,1.540992,0.693431,3.641457,4.586,0.926244,-0.751073,2.344841,54.978339,0.619623,-0.140669,0.16,-0.6599999999999993,-0.060404732738414124,30.339494526300363,41.66666666666667,-0.37877018369771864
000009.XSHE,0.570891,-1.218244,-7.429719,2.728,1.15163,2.036299,0.746173,59.408249,-1.610292,1.306736,0.35857142857142843,-2.4000000000000004,-0.17374968058209458,23.62798400870909,41.66666666666667,-0.5808953315495802
000012.XSHE,-0.621789,-1.730274,-8.68984,2.769,1.739337,-3.802817,1.179239,41.209321,-1.207263,1.726905,0.22642857142857142,-0.27999999999999936,-0.05310026680362337,36.7912960539495,58.333333333333336,-0.11634835413957267
000016.XSHE,-0.468337,-3.143454,-9.056604,1.754,0.842019,-3.677058,-0.032972,36.281333,-1.259634,-0.394819,1.075,-0.7300000000000004,0.0027392183828241767,37.661839754756336,58.333333333333336,-0.22848878184758004
000021.XSHE,-0.892024,-1.742417,-5.482815,0.8145,-0.137046,-3.649635,0.889078,50.497452,-1.277021,0.637631,0.1764285714285716,-0.10000000000000053,0.033686584007321885,44.14409751026914,33.33333333333333,-0.09934511427538428
000024.XSHE,1.008322,0.447029,1.614435,2.4395,1.296203,4.994603,0.829503,64.793625,0.856295,-0.978296,0.9078571428571431,1.009999999999998,0.1206554119352658,40.781824693273954,41.66666666666667,-0.19985968349801597
000027.XSHE,0.378908,-0.894242,-1.574803,1.287,0.178963,-1.613538,-1.447034,50.783746,0.825641,-0.519508,0.3421428571428571,-0.02999999999999936,0.1851766894195701,61.84837942707452,75.0,0.5569792494957593
000028.XSHE,-0.46348,-2.676285,-16.116717,1.0545,-1.055989,-6.084939,0.587602,51.092659,-1.223376,0.608093,0.2407142857142859,-0.4399999999999995,0.03832589597933472,41.80194292494097,41.66666666666667,-0.22089431414165084
000029.XSHE,0.59927,-1.041225,-3.162055,0.566,-1.455554,-0.2443,-0.276275,55.649984,-1.838925,-0.648922,0.21785714285714292,0.5099999999999998,0.1708587970829299,69.74435258963855,58.333333333333336,0.4643982489964893
000039.XSHE,-0.129478,18.078758,21.039755,1.7435,0.413209,5.911001,0.21346,71.786587,-0.765202,0.734503,0.3321428571428574,-0.05999999999999872,-0.06054393360816848,33.75895430609306,41.66666666666667,-0.3904797181243591
000040.XSHE,-0.122361,1.57176,5.070994,1.625,-0.435184,2.961638,-0.160559,67.791726,-0.550458,-0.798319,0.47142857142857125,-0.3299999999999983,-0.08690758745633981,34.164497829176504,58.333333333333336,-0.31158687656580586
000042.XSHE,1.279835,2.404117,6.505102,1.1035,-0.806722,5.48923,1.029063,67.728356,1.199648,-0.110125,0.35999999999999993,-0.3000000000000007,-0.03451874639182689,40.58311486184058,50.0,-0.18046749582195654
000046.XSHE,1.521062,-0.378927,-0.980392,1.0555,0.129584,2.825146,0.653021,65.670553,-1.878152,-0.755169,0.13071428571428584,-0.16000000000000014,-0.004217329197794328,34.04431288054785,33.33333333333333,-0.27341031985527176
000050.XSHE,1.961948,-1.659597,-13.753582,6.6195,2.170287,-7.450112,2.793354,48.940438,-1.955859,2.164055,0.1678571428571429,0.40000000000000036,0.02752702582802828,48.330946436767945,33.33333333333333,-0.02680998689297276
