code,leverage,sharpe_ratio_20,ROC20,VOL20,liquidity,BIAS20,residual_volatility,MFI14,earnings_yield,momentum,ATR,MTM,MACD,RSI,PSY,CYR
000001.XSHE,1.443406,-1.997416,-8.504801,1.536,1.362248,-0.447761,-0.452616,56.231398,1.536083,0.59665,0.12857142857142836,-0.1200000000000001,-0.018281714160107584,49.78947007247325,66.66666666666666,-0.1385609784983033
000002.XSHE,0.302753,-2.703444,-10.167464,0.9135,0.559895,-2.003001,-0.417881,43.205905,1.498076,-0.054814,0.42214285714285726,0.7699999999999996,0.09071373183405751,71.70224121483483,50.0,0.739863797190421
000006.XSHE,0.295567,2.885027,5.594406,1.251,-0.088312,4.776223,-0.256364,61.306066,1.536083,0.303409,0.5807142857142855,1.709999999999999,-0.21841825722526242,63.6442409890718,50.0,0.37469568266135234
000009.XSHE,-0.178481,1.417974,2.848101,1.929,0.946579,2.774923,0.125369,66.014474,-1.723276,0.077551,0.26928571428571424,-0.11000000000000032,-0.18544700076613463,47.4079012420351,50.0,-0.04622521959922743
000012.XSHE,-0.402146,5.001033,9.951846,2.87,1.409839,11.973846,0.070203,78.425038,-0.961573,-0.171556,0.19142857142857148,-0.8200000000000003,-0.03927654562132016,45.75083226674991,50.0,-0.42355596089224123
000021.XSHE,-0.695016,1.949586,3.146853,1.0205,-0.18588,1.505376,0.104947,56.589678,-0.92909,0.239906,0.4050000000000002,0.5499999999999998,-0.1762439775817749,48.99354882932257,66.66666666666666,-0.2991360339772875
000024.XSHE,0.542506,-1.892376,-17.069155,2.4615,1.19692,-5.093901,0.129123,37.716834,1.220222,0.374301,0.08500000000000009,-0.1299999999999999,-0.007087815589676239,50.704332997229585,66.66666666666666,-0.1675546433814734
000027.XSHE,-0.501914,-0.759121,-0.890208,0.7045,-0.468626,1.751714,-0.852314,56.173326,0.428127,-0.500974,0.2514285714285714,0.54,0.11041064165156195,76.89920114721667,75.0,1.0091780241376025
000028.XSHE,-0.345636,1.811914,3.421053,0.5715,-0.428472,-0.940186,1.06147,53.904217,-0.857065,0.914499,0.1821428571428572,-0.4800000000000004,0.01212544938781479,42.27918234318568,66.66666666666666,-0.3825591215021018
000031.XSHE,1.618427,-2.226589,-6.650246,0.6505,-0.910129,-1.647853,-0.617116,46.593639,1.380209,-0.341844,0.2249999999999999,-0.16999999999999993,-0.05632309589026244,46.831450818493344,41.66666666666667,-0.334195869649101
000039.XSHE,0.267252,-0.14156,-0.319234,1.5255,0.583426,-2.353217,0.118099,52.839453,-0.591996,0.261277,0.5349999999999998,1.3200000000000003,-0.1762709460570817,58.49600336681421,41.66666666666667,-0.09970188042557337
000042.XSHE,-0.009741,-1.519835,-2.369668,0.152,-2.16849,-0.076802,-0.011748,50.278804,0.435741,0.715952,0.23642857142857152,0.4299999999999997,-0.029713083317313038,58.670443511145955,58.333333333333336,0.06969799681755262
000046.XSHE,1.899928,-1.482209,-4.449153,0.1845,-1.777326,0.568625,-0.342361,56.096632,-0.444737,0.363782,1.4535714285714287,4.82,0.1691825794089583,67.91318591644621,58.333333333333336,0.3475026574470519
000059.XSHE,1.899928,-1.530477,-2.868852,0.8465,-0.624448,1.249599,-0.459453,53.368657,-2.528585,-1.624939,0.08714285714285706,0.04999999999999982,0.04968020950936866,79.86644646003893,50.0,0.37296751193660604
000060.XSHE,-0.693331,-3.625178,-9.445585,0.462,-0.834829,-2.799207,-0.740389,48.004299,-1.144274,-0.934145,0.5385714285714287,1.8899999999999997,-0.09338420982113382,56.44672400311512,66.66666666666666,0.16722314941812755
000061.XSHE,-0.702438,78.155924,37.243402,3.0365,1.053718,19.008264,1.473759,86.220205,-2.120811,0.145552,0.14571428571428577,-0.08000000000000007,-0.0002621808601333403,61.913524363574325,66.66666666666666,0.4567670011596858
000063.XSHE,0.643805,4.129693,8.929946,1.194,0.718457,2.75216,0.924923,59.468453,-1.425327,0.662939,0.07642857142857139,-0.2999999999999998,-0.023248361340731064,26.264971714298753,41.66666666666667,-0.49824422303474947
000066.XSHE,0.841512,0.13552,-0.902935,3.3095,1.207939,2.678049,1.547902,66.050222,-1.819821,0.495878,0.3164285714285714,0.16999999999999993,0.10665423579237637,71.79567386882448,58.333333333333336,1.984285116676543
000069.XSHE,0.73646,-1.234191,-3.806228,1.257,0.711175,0.688156,-0.608153,64.169685,1.454299,-0.082478,0.1585714285714286,0.09999999999999964,0.025140306666514844,70.34714537135865,75.0,0.2733167001889303
000078.XSHE,-0.566484,7.106364,13.16726,2.936,0.74856,6.265664,0.695407,62.996588,-2.209753,-0.509779,0.591428571428572,-1.5700000000000003,-0.2942257584379555,37.45992645162971,50.0,-0.5864711942479395
000088.XSHE,-1.578885,6.745931,15.315315,2.6315,0.19812,6.967513,1.923282,56.655595,-1.34437,0.57723,0.17928571428571421,-0.1999999999999993,0.0007780010777405852,50.733924278637524,50.0,-0.0901085671933588
000090.XSHE,-0.426827,-1.171093,-1.682692,1.346,0.191507,-2.234971,-0.236016,50.13348,0.04664,0.161197,0.3507142857142857,0.8300000000000001,0.03375988026926385,65.2152391453528,58.333333333333336,0.3424722456918383
000099.XSHE,-0.226782,-0.723704,-1.876676,0.989,-0.451843,-1.764745,-0.758179,49.249442,-0.955677,-0.491139,1.3485714285714292,4.599999999999998,0.3417607241844274,60.98783021255705,50.0,0.25754202113654756
000100.XSHE,1.899928,-0.580965,-0.483092,2.091,1.055258,2.462074,-0.57499,57.204243,1.536083,-0.107142,0.8014285714285716,0.8399999999999999,-0.030358847766564834,53.93407360817296,58.333333333333336,0.15127895773112687
000156.XSHE,0.120997,1.271394,4.824041,13.3515,2.888961,-4.213037,3.203776,54.346246,-2.082157,2.782835,0.49499999999999994,1.4800000000000004,0.0027265582802246113,61.047395405698765,58.333333333333336,0.3153002977760888
000157.XSHE,-0.097188,-2.08091,-7.129456,0.7685,0.198113,-0.171423,-0.140399,52.760978,1.536083,-1.165665,1.6578571428571434,1.1999999999999993,-0.7030000255953673,41.19250569067588,33.33333333333333,-0.40158922443183087
000159.XSHE,-1.19661,43.994215,32.389937,5.6685,0.96489,6.005288,1.971955,56.499983,-0.805564,-0.611709,0.17214285714285715,-0.15000000000000036,0.012722374519526613,56.75340275428944,58.333333333333336,-0.04755801807443394
000338.XSHE,0.120872,-0.317097,-0.447427,0.721,0.205118,3.260239,-0.87204,61.023008,0.685881,-0.663995,0.1571428571428571,-0.14999999999999947,-0.027678634616108477,44.21305157737036,50.0,-0.42636601291941023
000400.XSHE,-0.638289,10.709041,6.765233,1.566,0.943799,8.006436,1.373699,74.638107,-1.172244,1.925438,0.2085714285714285,-0.7199999999999998,-0.09248791056049724,47.590220765260895,50.0,-0.9389009368681367
000401.XSHE,1.899928,8.983721,12.577065,1.1445,-0.020516,14.018108,0.268422,80.943631,-0.896662,-2.172799,0.507142857142857,0.6099999999999994,0.22850161663641197,59.783579631519665,58.333333333333336,0.12351161546031442
