code,leverage,sharpe_ratio_20,ROC20,VOL20,liquidity,BIAS20,residual_volatility,MFI14,earnings_yield,momentum,ATR,MTM,MACD,RSI,PSY,CYR
000001.XSHE,0.752169,7.569073,10.650888,0.798,-0.498406,4.571508,0.170206,73.210688,-0.223285,-0.016389,0.22500000000000014,0.07000000000000028,-0.018575552578318465,38.51211833114574,50.0,-0.4432917498945699
000002.XSHE,0.352736,2.409817,5.924171,1.3215,0.458169,-0.117312,-0.020153,68.950158,0.018962,-0.376248,0.3821428571428571,-0.5800000000000001,-0.05990128175882897,32.35747288394123,50.0,-0.46717298909826344
000005.XSHE,-0.960514,0.792171,2.941176,2.9495,0.377485,1.573836,0.198565,78.488081,-2.240345,-0.126717,0.33285714285714263,0.33999999999999986,-0.031196530634880537,48.57178312848164,58.333333333333336,-0.10264410791719358
000006.XSHE,1.315063,5.292318,11.042945,1.694,-0.323423,2.884752,0.226636,82.097049,0.215122,-0.19173,0.2335714285714284,1.0599999999999996,-0.030109895860355063,65.1733101798388,58.333333333333336,0.4870211456949436
000009.XSHE,0.484477,22.311894,20.994475,2.0705,0.499176,8.810865,0.807096,90.513253,-0.34968,0.718703,0.505714285714286,1.6600000000000001,0.0742680762968766,69.00090941593999,58.333333333333336,0.9314694922971878
000012.XSHE,-0.516654,2.987941,6.181818,1.8675,0.744092,0.741763,0.403382,58.779243,-0.363891,-0.184459,0.4028571428571432,1.1499999999999995,0.20113885287669597,54.31587417521347,58.333333333333336,0.06846818030592505
000016.XSHE,-0.681313,38.459464,25.925926,4.184,0.833626,17.978746,-0.32863,86.10529,-0.144663,-0.267873,0.13928571428571426,0.3700000000000001,0.014691985655732737,45.00036316925078,50.0,-0.12382262423176194
000021.XSHE,-1.144533,6.479245,3.453039,0.6955,-1.197844,2.280486,0.993217,70.670444,-0.817172,0.899252,0.1950000000000001,-0.22999999999999954,-0.051714309714211565,37.16424573085113,50.0,-0.21790821286162831
000024.XSHE,-0.039784,9.135879,15.0,1.9305,0.605971,1.368592,1.118675,67.129839,-0.304695,-0.593491,0.17357142857142863,0.2999999999999998,-0.015301333759172121,56.78167951319537,33.33333333333333,0.031925683861588894
000027.XSHE,0.139846,8.533458,11.730769,2.2325,0.486553,5.396825,-0.670952,71.933395,0.413003,-0.349862,0.40571428571428575,0.9300000000000006,-0.033399265633803354,44.39662034925213,58.333333333333336,-0.05888716351031276
000028.XSHE,-0.452026,-0.902836,-1.906874,0.6995,-1.952926,0.027132,0.761083,64.617727,-0.806856,0.86213,0.3935714285714281,-0.08000000000000007,-0.2339004583251032,29.86252468590262,41.66666666666667,-0.27405315479498427
000031.XSHE,-0.278509,2.095157,6.968641,1.802,0.636419,3.694321,0.72285,67.523545,-2.480293,0.846865,1.482857142857142,9.0,0.39428930217009883,84.89472996902518,75.0,0.9843335603572534
