code,leverage,sharpe_ratio_20,ROC20,VOL20,liquidity,BIAS20,residual_volatility,MFI14,earnings_yield,momentum,ATR,MTM,MACD,RSI,PSY,CYR
000001.XSHE,1.55901,-2.6705,-10.935024,0.965,0.977403,-4.73769,-0.274714,37.143219,1.464599,-0.066261,0.10214285714285724,-0.34000000000000075,0.010058192905064267,59.302770412473905,66.66666666666666,0.04617189708486791
000002.XSHE,0.853508,1.355667,4.545455,1.3595,0.820569,6.326513,-0.000576,72.213052,1.464599,-0.735812,0.292857142857143,-1.3499999999999996,0.04679366917016403,59.61235818668281,50.0,-0.027933438933513965
000006.XSHE,0.30828,-0.626707,-2.020202,1.141,-0.091053,-1.347572,-0.165602,55.435857,1.284151,-0.150273,0.5949999999999999,-1.6799999999999997,-0.27213341634499155,42.689075022947016,41.66666666666667,-0.7565592281966738
000009.XSHE,-0.250503,-0.133625,-0.2886,3.1535,1.281286,3.621504,-0.436819,63.268202,-1.062616,0.181279,0.8450000000000004,-0.6699999999999982,-0.3095226910245959,47.63898087570284,41.66666666666667,-0.3110675310755595
000012.XSHE,-0.342157,-2.832097,-9.717314,1.233,0.733522,-2.303795,-1.046234,75.316432,-0.21256,-0.266548,0.19999999999999998,-0.11000000000000032,0.046880474481835466,80.04141728320397,50.0,4.512151968853928
000021.XSHE,-0.662094,-2.069886,-8.978328,0.6785,-0.266174,-2.106052,-0.060133,43.262156,-0.963961,0.435127,0.34428571428571436,-0.1299999999999999,-0.12060544357997371,51.404894692849666,41.66666666666667,-0.10347682094237198
000024.XSHE,1.067922,-1.037801,-5.481874,3.069,1.447762,2.517382,0.546007,74.251542,1.464599,-0.846949,0.4228571428571431,-0.2699999999999996,-0.18102543998404963,54.39161092382854,58.333333333333336,-0.17906423062766796
000028.XSHE,-0.308585,-1.918897,-10.081154,0.653,-0.244789,2.954841,1.740399,37.037582,-1.179176,1.051178,0.07428571428571422,-0.18000000000000016,-0.0175648070087025,46.36049666931682,41.66666666666667,-0.15421178730637974
000030.XSHE,-0.927419,-0.172512,-0.44843,5.2735,1.547133,-3.204709,0.29879,54.634883,-0.931544,-0.314382,0.6292857142857141,1.0700000000000003,-0.005229041987670491,68.31208350208577,66.66666666666666,1.1079529890456907
000031.XSHE,1.955483,-1.84312,-7.100592,0.3505,-1.389154,-1.366421,-0.913014,55.698175,1.321802,-0.449626,0.20642857142857127,-0.7999999999999998,-0.0071972457341560325,43.944534227165825,50.0,-0.25234231559795317
000039.XSHE,0.236929,-1.847977,-8.594816,0.766,0.370814,-1.506799,-0.245354,53.119765,-1.052581,0.389935,0.482857142857143,-0.5599999999999987,-0.30583720752653576,44.61110596755729,50.0,-0.28701971108648916
000042.XSHE,-0.210321,-2.095966,-13.603604,0.307,-1.852439,-7.342995,0.034577,31.996732,0.664378,-0.094855,0.2607142857142856,-0.7199999999999998,-0.1685828795973877,35.95523564411075,66.66666666666666,-0.43414334924214426
000046.XSHE,1.955483,-1.768638,-4.796163,0.0955,-1.81578,0.353893,-0.42999,68.575877,-0.250205,-0.248495,0.20928571428571432,-0.009999999999999787,-0.12661895030497278,44.43542050788346,50.0,-0.4073997626884762
000049.XSHE,-0.21872,-2.50485,-18.884306,2.5885,0.785039,-2.735483,1.181061,54.721115,-1.41397,0.689558,0.29285714285714276,-1.37,-0.12521498530178926,35.43193227372587,50.0,-0.5530118707027798
000050.XSHE,0.215235,-1.583616,-11.33429,1.7425,0.79334,-1.830745,-0.511463,48.207136,-0.836927,0.559736,0.9099999999999999,0.6999999999999993,-0.39386835643592333,50.45234315308416,58.333333333333336,-0.27378022248653044
000060.XSHE,-0.602098,-0.767848,-2.459016,0.4965,-0.866543,-2.498976,-0.246186,59.895927,-1.055133,-0.83537,0.0857142857142857,-0.03999999999999959,0.003057279310110933,63.81803323825284,33.33333333333333,0.2629402646816992
000061.XSHE,-0.583381,-2.220597,-8.80579,0.677,0.05179,-1.427733,-0.113667,68.595134,-1.977013,0.308494,0.27642857142857163,-1.2999999999999998,-0.0979888998493108,54.140613010425454,50.0,-0.18382221466012316
