code,leverage,sharpe_ratio_20,ROC20,VOL20,liquidity,BIAS20,residual_volatility,MFI14,earnings_yield,momentum,ATR,MTM,MACD,RSI,PSY,CYR
600018.XSHG,-0.578832,-0.346285,-0.626959,0.06,-1.134479,4.259168,-0.442537,72.870886,-0.658225,-0.536054,0.2285714285714287,0.5599999999999996,0.20339477835155476,87.0591011825227,66.66666666666666,0.8062225201703521
600019.XSHG,0.07661,2.053322,3.44086,0.1935,-1.035458,3.474239,-0.464209,71.524352,1.382666,-0.423476,0.22000000000000006,0.28000000000000025,0.21849666001914686,84.59748777130737,66.66666666666666,1.2692967808326294
600020.XSHG,2.335084,1.735031,3.225806,0.465,-1.170303,4.310033,-1.471883,76.261226,0.452495,-0.125695,0.24642857142857125,0.2499999999999991,0.12989060455121307,66.59782678056673,66.66666666666666,0.3163214026440153
600022.XSHG,1.957212,-0.557423,-1.672241,0.367,-1.542169,3.484688,0.249782,60.148892,-0.846976,-0.583329,0.6928571428571431,1.1699999999999982,0.6709848143526438,74.0180015850998,75.0,1.0485509623673117
600026.XSHG,0.219667,2.166147,4.779874,0.44,-1.133082,7.241712,-0.570806,83.366318,-0.083222,-1.045356,0.19999999999999998,0.11000000000000032,0.1508673783413356,65.58212924141294,66.66666666666666,0.2990747248734271
600027.XSHG,2.335084,0.282856,0.974026,0.1555,-1.599184,3.270795,-0.729512,73.194787,-0.077786,-0.642942,0.8664285714285709,0.7100000000000009,0.3101820677328775,68.88286180509962,50.0,0.45050471153167404
600028.XSHG,-0.009171,2.251686,4.118993,0.0465,-0.276998,6.246351,-0.580199,85.228146,1.378138,-0.647199,0.11642857142857145,0.10000000000000009,0.09367065927454303,72.99689768365448,58.333333333333336,0.37873458701831453
600029.XSHG,2.335084,1.369883,0.633914,3.2755,2.2758,10.243056,0.590574,78.67664,-0.452848,0.575435,0.24285714285714274,0.2599999999999998,0.2522627499860385,81.48511347713863,75.0,1.3087296900467837
600030.XSHG,0.031197,-1.025119,-3.441683,0.6465,0.280703,4.820715,0.385825,81.180281,1.382666,-0.700087,0.7278571428571429,1.1899999999999995,0.2549925626466185,66.81988982624557,58.333333333333336,0.49641911917086556
600031.XSHG,-0.553215,17.838905,17.350746,0.8255,-0.375037,10.070872,-0.242427,75.090528,0.833253,0.067887,0.20071428571428568,0.27000000000000046,0.10654381429229287,63.94182240387122,75.0,0.22985985401671183
600033.XSHG,-0.453557,-1.588111,-5.448718,1.321,0.614323,2.697998,-0.949903,73.093899,0.863432,-0.036186,0.32,-0.75,0.22672878781731964,60.25431193428389,66.66666666666666,0.2692434113255704
600035.XSHG,-0.680483,1.292429,3.164557,0.4955,-0.948503,4.654896,0.270642,77.633288,0.671748,0.168699,0.13214285714285726,0.20000000000000018,0.08814885888588797,69.29081139770636,66.66666666666666,0.28062210691259803
600036.XSHG,0.658306,5.252238,7.195767,0.3945,-0.35592,5.432973,-0.698302,73.402074,0.784584,-0.196434,0.19214285714285703,0.07000000000000028,0.13816874987537786,66.29439017459194,66.66666666666666,0.18245885293755038
600037.XSHG,-0.956905,-1.158749,-4.555315,1.363,0.514687,4.517202,0.770492,70.663103,-1.59077,0.476163,0.2664285714285714,0.040000000000000036,0.2102088101222932,75.57059692407381,66.66666666666666,0.5857103345764392
600038.XSHG,-0.89539,3.935339,8.499525,1.113,0.16839,8.819888,1.107861,77.561622,-2.152245,0.482071,0.2721428571428571,-0.33000000000000007,0.2806415630846021,67.79383250732303,58.333333333333336,0.4086096870978384
600048.XSHG,2.203851,4.050122,9.022556,0.8575,0.028883,10.47619,0.916685,77.419878,0.294757,-0.550745,0.27785714285714286,0.2999999999999998,0.19339969066908785,66.65801771712975,75.0,0.23771208309335545
600050.XSHG,-0.555681,0.44427,1.202405,0.3485,-0.711172,2.872275,-0.280799,75.179854,-0.573444,-0.396837,0.14214285714285715,0.04999999999999982,0.0953952519934106,67.2007691288153,66.66666666666666,0.30932681318278643
600051.XSHG,-0.080131,0.875222,1.545779,1.183,-0.502491,6.716651,-0.164354,78.180693,1.382666,0.026568,0.3221428571428574,0.34999999999999964,0.4198198939960247,80.30393742932314,75.0,1.0946048469377523
600052.XSHG,0.888335,0.458319,-0.972763,0.8515,-0.345117,5.219638,0.50922,68.369592,0.829926,-0.771314,0.22,0.34999999999999964,0.25779145470024356,75.341420807604,66.66666666666666,0.4057382875129134
600054.XSHG,-0.963444,-1.232494,-4.066986,1.507,0.822361,2.540061,0.254334,65.570631,-1.590772,0.434729,0.17499999999999996,0.040000000000000036,0.08522459758458177,59.09239797479707,58.333333333333336,0.12418191368066545
