code,leverage,sharpe_ratio_20,ROC20,VOL20,liquidity,BIAS20,residual_volatility,MFI14,earnings_yield,momentum,ATR,MTM,MACD,RSI,PSY,CYR
000001.XSHE,1.743922,-1.904125,-12.064826,0.57064,-0.186672,-6.050598,-0.467372,43.509938,0.983997,0.419671,0.43714285714285733,-0.6899999999999995,0.026642172563094924,57.10898064878411,58.333333333333336,0.5210671601198147
000002.XSHE,1.423365,-1.185396,-5.460859,0.804405,0.172187,1.448048,-0.285576,54.720612,1.560033,0.132331,4.433571428571431,1.5700000000000074,-0.041420814091533975,46.41721978158192,41.66666666666667,0.03293030019817511
000006.XSHE,0.293265,-2.093901,-13.543599,0.740315,-0.520748,-7.069498,-0.830727,37.173842,1.812862,-0.582442,1.7685714285714276,1.9399999999999977,-0.1001697433818508,52.14749195082182,50.0,0.28287302388139146
000008.XSHE,-1.110547,-2.129452,-16.397849,1.014945,-0.045427,-8.096927,-0.383897,41.997714,-0.367217,-0.783448,1.058571428571429,2.240000000000002,0.23844703335005346,74.96412234353963,75.0,1.0363388179368993
000009.XSHE,0.780143,-0.136138,-0.421941,4.87892,1.299514,5.948373,0.810697,61.231803,-1.192444,1.033288,2.0021428571428577,2.6999999999999993,-0.340954131081594,61.87354691778032,66.66666666666666,1.02495790916175
000012.XSHE,-0.679587,0.548684,2.459016,1.494185,0.081622,7.135205,-0.402142,74.904406,-0.527477,-0.102618,0.29499999999999993,-0.33000000000000007,0.017597261715696158,48.386539219442525,41.66666666666667,-0.08921320954957679
000021.XSHE,-0.643121,8.120331,16.502116,5.415965,1.686195,14.068704,1.447168,83.8545,-1.170336,1.320933,1.4600000000000004,0.5399999999999991,-0.09022651219465039,56.904778264851515,41.66666666666667,0.5995740408243133
000025.XSHE,-1.110237,-1.74906,-10.376011,1.24665,0.156858,-5.23879,-0.240413,49.457798,-0.633782,-0.428549,0.6592857142857141,1.6900000000000013,0.22129629451144717,64.37477472166276,66.66666666666666,1.0065309978637416
000027.XSHE,1.925941,-2.08506,-10.586319,0.2383,-1.623855,-5.475207,-0.930769,40.48039,0.268927,-0.201752,0.32571428571428573,-1.4499999999999993,-0.11358449408664906,37.772440680465415,33.33333333333333,-0.250146763496073
000028.XSHE,-0.550788,-0.765616,-2.857143,0.849365,-0.323814,-4.361992,0.254385,51.252683,-0.06424,-0.239754,0.33142857142857146,-0.79,-0.07832856744063654,40.139250477752405,50.0,-0.2570386839054195
000031.XSHE,1.925941,-1.919059,-17.428571,0.904845,-0.113702,-8.027687,-0.158759,41.461231,1.423975,-0.139489,5.878571428571431,0.5799999999999983,0.17510392525907503,65.88559765932989,58.333333333333336,0.6356136494808595
000039.XSHE,1.763366,-2.115988,-13.477366,0.4591,-0.714092,-6.994747,-0.691098,35.280126,-0.063632,-0.662717,1.1042857142857134,-4.890000000000001,-0.5666496706715614,32.52861831976146,50.0,-0.28949199769640055
000050.XSHE,0.416193,-1.025187,-4.929577,1.59211,0.900003,0.027785,-0.194666,56.581531,-0.570946,0.076542,0.14499999999999996,-0.7199999999999998,-0.05786198217865701,17.85487022012909,41.66666666666667,-0.5661767138453788
000060.XSHE,-0.646655,-1.938309,-11.136891,0.762515,-0.310611,-5.092306,-0.918158,50.543761,-0.37818,-0.587169,0.8914285714285717,1.7100000000000009,-0.005786789409957582,43.73432869570094,33.33333333333333,-0.17584027876501596
000061.XSHE,0.117062,0.659526,3.539823,0.91257,-0.568107,7.804294,0.23851,74.899998,-1.213309,-0.339935,0.10999999999999988,-0.4800000000000004,-0.037066911500097305,31.83089856071377,50.0,-0.10022843927747216
