code,leverage,sharpe_ratio_20,ROC20,VOL20,liquidity,BIAS20,residual_volatility,MFI14,earnings_yield,momentum,ATR,MTM,MACD,RSI,PSY,CYR
000002.XSHE,0.521442,3.416738,6.220096,1.0355,0.159488,1.18505,0.356387,60.329831,-0.129351,-0.468839,0.16142857142857153,0.54,0.047091036450206014,67.22286271287102,58.333333333333336,0.5265194120063654
000005.XSHE,-0.912444,11.958232,17.123288,3.208,0.488232,9.265176,0.410836,72.902916,-1.6392,-0.194313,0.5964285714285712,2.5500000000000007,0.19031766555583296,70.56372452366534,58.333333333333336,1.3794052567816184
000006.XSHE,2.151461,3.327649,8.695652,7.2645,1.211886,-4.019196,1.115718,54.432596,0.688449,0.269725,0.14071428571428557,0.15999999999999925,-0.005811667617879171,49.90281848377114,58.333333333333336,-0.13762981959103415
000009.XSHE,0.742272,12.382675,13.81323,1.8695,0.347468,9.356015,-0.049133,77.002909,-1.28968,0.096966,0.34000000000000014,0.9900000000000002,0.09148157387604217,68.78432737593906,66.66666666666666,0.8200382548437357
000012.XSHE,-0.65554,15.028313,19.016818,4.5795,1.633086,10.537066,0.919716,71.872404,-0.449341,0.568773,0.3342857142857142,0.5299999999999994,-0.14448692088868553,31.25466767935429,41.66666666666667,-0.35293945345067357
000016.XSHE,-0.636968,2.269695,4.761905,3.815,1.101265,1.636189,0.350986,57.884091,-1.299881,-0.253362,0.7,2.469999999999999,0.32662301033353025,59.08716655989987,66.66666666666666,0.09348557938868574
000021.XSHE,-1.064942,4.070483,7.933579,2.043,0.338011,1.823245,1.616254,66.084472,-1.183745,1.576392,0.18214285714285725,0.03000000000000025,-0.011053718374614649,42.300566476055714,50.0,-0.155972240191804
000024.XSHE,0.404654,2.839223,6.655143,3.404,1.50811,0.738806,1.511436,50.279531,0.232091,-0.499134,0.7028571428571428,0.15000000000000213,-0.05673064969988939,43.53606298334668,58.333333333333336,-0.09772899339532959
000027.XSHE,-0.094236,4.377638,6.952965,1.572,0.184047,4.883185,-1.297588,64.128793,0.474628,-0.308261,0.31500000000000006,0.3699999999999992,-0.0336905637070998,44.82154595100989,58.333333333333336,-0.1060433413603512
000028.XSHE,-0.506082,6.20056,9.799383,0.64,-1.54032,2.645484,0.978577,62.630556,-1.312936,0.366218,0.32642857142857135,0.02999999999999936,-0.10932118618371181,29.81641779883506,33.33333333333333,-0.23065075886570252
000029.XSHE,-0.051199,4.877642,10.181818,1.624,-0.340894,4.590956,1.110525,68.072776,-2.722106,0.025435,0.2607142857142856,-0.019999999999999574,-0.12169842836426215,35.70700073981735,66.66666666666666,-0.2509311629822597
000031.XSHE,-0.172803,-1.803904,-4.199475,0.759,-0.841478,-4.30622,0.422949,38.412985,-1.225149,-0.337044,0.39428571428571424,1.0099999999999998,0.052331461558220604,52.63543413400967,58.333333333333336,-0.03302474875481742
000039.XSHE,0.15982,10.964776,11.971197,0.9685,-0.405079,4.740254,-0.414692,74.668833,-0.593322,0.254635,0.31714285714285734,0.16999999999999993,-0.04959461697271328,48.002906848791824,66.66666666666666,0.0423261104403716
000040.XSHE,-0.269176,12.377686,19.354839,4.7805,0.442743,2.376302,0.900673,61.859691,-1.256198,-0.386747,0.2921428571428569,0.16999999999999993,-0.028679718501632645,48.71113170031079,66.66666666666666,-0.029335030915011995
000042.XSHE,1.140143,3.827376,9.491059,2.0265,-0.36265,4.12715,1.176345,62.439961,1.191312,-0.102782,0.14928571428571427,0.2599999999999998,0.014011342808206859,53.67696618657095,58.333333333333336,0.02230668516451928
000046.XSHE,1.171682,-0.907254,-0.968523,3.03,0.96212,-3.956792,0.795515,57.06007,-1.517102,-0.614573,0.13285714285714295,0.20000000000000018,0.009988343804563982,49.58313958234883,58.333333333333336,-0.06905759664052047
000050.XSHE,2.4607,6.080099,11.042945,5.966,1.519349,5.232558,1.662679,61.350386,-1.657469,1.163353,0.08285714285714293,-0.03000000000000025,-0.030249143721248685,35.05057697860689,50.0,-0.0834565283611921
000059.XSHE,2.367654,22.390473,22.655298,2.2155,0.074865,6.190024,0.21599,62.050606,0.619866,-0.581886,0.2885714285714286,0.45999999999999996,0.03215455008199025,69.66714046985885,58.333333333333336,2.6388650961627125
000060.XSHE,-0.488972,1.16696,3.26087,1.971,0.608565,1.95868,-0.354827,59.176571,-0.280557,0.392603,0.4978571428571425,1.2899999999999991,0.12358839859082538,60.7205434868104,66.66666666666666,0.22063361070223664
000061.XSHE,-0.663406,7.177642,11.229314,1.929,0.52323,1.280809,0.954536,70.520545,-1.576649,0.6718,0.9814285714285715,8.0,0.3144695892542133,81.63094575253362,75.0,0.7292565172826837
