code,leverage,sharpe_ratio_20,ROC20,VOL20,liquidity,BIAS20,residual_volatility,MFI14,earnings_yield,momentum,ATR,MTM,MACD,RSI,PSY,CYR
000001.XSHE,1.542799,2.690541,8.320726,1.5705,-0.14445,1.380531,0.176473,51.511267,1.494861,-0.453537,1.025,-5.890000000000001,0.09703085376014897,46.441380967383296,41.66666666666667,-0.42669273873429114
000002.XSHE,0.356693,13.073282,20.60844,1.7,0.213942,5.843345,0.531235,57.484107,-0.159182,-0.049932,0.7278571428571426,-3.4400000000000013,-0.2756411292394234,36.70354187710746,41.66666666666667,-0.9895780606679061
000006.XSHE,2.296848,0.298456,2.133333,0.922,-1.026886,7.569162,-0.369888,63.667822,0.278032,-0.342377,0.5114285714285715,-0.040000000000000036,0.0034643654111697897,58.850986109842694,58.333333333333336,-0.17932869938792617
000021.XSHE,-1.304736,-1.271766,-22.805139,1.256,0.008893,-6.913692,-1.419331,33.663608,0.10909,-0.171407,0.35642857142857143,-1.75,-0.16528905933372395,36.468234461158744,50.0,-1.7652707569396076
000024.XSHE,0.265097,0.917631,-1.175154,1.5825,-0.354652,-2.119994,0.991576,54.084467,-0.43845,-0.741891,0.37000000000000005,-0.4900000000000002,0.1222759499155549,64.95890601556978,41.66666666666667,1.0024839188267354
000027.XSHE,-0.524565,-1.190135,-19.86755,1.3125,0.232535,-2.024291,-0.461901,56.348095,0.770154,-0.647872,1.2335714285714288,-0.5800000000000001,-0.35317267416451226,48.53170860709328,50.0,-0.6141573147160129
000028.XSHE,-0.144338,-1.360322,-18.544367,0.7925,-0.406888,-6.218613,-0.302756,44.610036,-0.736301,0.819936,1.047857142857143,-0.41999999999999993,0.37831000855486785,66.8570451302959,58.333333333333336,1.774695222605005
000029.XSHE,-0.545618,-1.330714,-18.034993,1.196,0.246563,-7.129241,-0.906528,51.316051,-1.49168,-0.426774,0.3278571428571428,-1.4000000000000004,-0.06375987260593807,34.80516012957811,50.0,-1.5489149304743766
000031.XSHE,-0.895185,-1.302086,-26.328311,1.674,0.173048,-15.541616,0.672865,32.245289,-0.378091,0.562704,0.43357142857142844,-1.4800000000000004,-0.17496750492651292,40.78135558323915,41.66666666666667,-1.3029707588205763
000032.XSHE,-0.738879,-1.211237,-22.363405,0.9315,-0.795051,-7.241536,-0.999662,44.563116,2.177719,0.20556,0.682857142857143,-1.3200000000000003,-0.22499000936902042,42.028463997981405,50.0,-0.8419444658819497
000033.XSHE,-0.626162,-1.039467,-30.359937,5.5,1.714444,-13.734613,0.185938,58.732699,-2.720756,0.308111,0.7892857142857146,-1.5000000000000009,0.05530093717455953,51.254838996012865,50.0,-0.40108457010945564
000036.XSHE,2.583344,-1.243782,-23.834197,0.975,-0.077714,-8.27787,0.518495,41.958954,0.490029,-0.64458,0.48857142857142855,-0.3700000000000001,0.08508571727512604,50.24322652288965,58.333333333333336,-0.16100893849193554
000039.XSHE,-0.094775,-1.310502,-13.360092,1.159,-0.028166,-3.28362,-0.711799,61.406823,0.770118,-0.818666,0.9042857142857141,-4.050000000000001,-0.14281998884065583,37.06124170676259,50.0,-0.9735283861691202
000040.XSHE,0.498521,-1.421258,-26.755448,0.831,-0.37993,-12.584887,-1.358126,37.24878,-2.252013,0.266454,1.288571428571429,-1.129999999999999,0.3042066484578174,55.53829975469976,58.333333333333336,0.031175414828332748
000046.XSHE,-1.005713,-1.24054,-20.615034,1.1025,-0.835939,-8.259296,0.888765,51.754884,2.177719,0.202761,0.5242857142857144,-2.8600000000000003,0.03858311439630557,43.70015745393332,50.0,-0.7589542607337574
000050.XSHE,2.280355,-1.273444,-27.552141,1.93,0.309096,-7.212147,-0.423364,26.864248,-0.629254,0.107804,0.5578571428571429,-1.4399999999999995,-0.21666492512005492,40.88630447222348,41.66666666666667,-0.7181702223842179
000059.XSHE,-0.653483,-1.257106,-29.045307,1.483,0.58385,-8.230001,-0.814223,46.202727,-0.020844,0.361314,0.4321428571428571,-2.5199999999999996,0.00801929531323986,40.87617404177713,58.333333333333336,-1.0737076549135804
000060.XSHE,-0.506668,-1.299059,-22.840909,1.5345,0.35431,-4.143432,-0.59052,50.265149,0.830361,0.215628,0.3499999999999998,-0.9299999999999997,0.09177697647986105,43.427219202335834,41.66666666666667,-0.9046627647363747
000061.XSHE,-0.343775,-1.338619,-19.542857,1.0485,-1.321295,-0.698216,0.284044,55.390789,-0.632948,0.367726,0.6785714285714285,-3.7399999999999993,-0.3277767429452241,20.61853805361015,33.33333333333333,-2.2442861608739317
000062.XSHE,-1.22544,-1.331766,-38.668661,1.6025,0.112129,-18.318558,0.211409,30.811536,0.036225,-0.042352,0.4585714285714285,-0.9300000000000006,0.09128948478335197,55.05713257019526,50.0,-0.21889422717409346
000063.XSHE,0.280485,0.317014,1.63005,0.4955,-1.32521,1.691309,-0.09243,52.209273,-0.93389,-0.06489,0.3307142857142857,-1.9100000000000001,-0.01084187869323916,40.49435962482704,58.333333333333336,-0.9880632039854786
000066.XSHE,-0.991189,-1.383262,-31.589537,1.2785,-0.009771,-14.130572,-1.047044,34.252611,-0.380951,-0.080675,0.2242857142857142,-0.33999999999999986,0.11209523179091924,51.28638238418232,50.0,-0.09364193556065104
000069.XSHE,-0.768984,-0.524882,-7.412399,0.9965,-1.049572,-3.082458,0.636957,54.908603,1.086093,-0.417945,0.4649999999999999,-0.5,0.05749923906678006,39.39862143357756,50.0,-0.5124854899924203
000070.XSHE,-0.97555,-1.190389,-31.10687,1.2655,-0.378075,-13.074886,1.283111,31.511864,0.274231,0.050287,0.25500000000000006,-0.9800000000000004,-0.00384310739896071,42.10162653848018,58.333333333333336,-0.5035657795614212
000078.XSHE,-0.295711,-1.210996,-34.005764,3.465,1.191915,-18.082633,-0.801109,32.87527,-0.225338,0.793091,0.8342857142857145,-3.7699999999999996,-0.12483756719532524,42.03916698940171,50.0,-1.115462796772504
000088.XSHE,-1.635589,-1.41685,-28.314028,1.493,0.196459,-7.979514,-0.815089,37.241371,0.15378,-0.62059,0.6964285714285713,-3.49,-0.2266839112225596,36.98728349953815,58.333333333333336,-1.9655724404503916
000089.XSHE,-1.566106,-1.371398,-26.236125,0.998,-0.076555,-8.125432,-1.13581,48.347367,0.022066,-0.261569,0.6507142857142859,-2.0300000000000002,0.25847356761515705,46.51047342440972,66.66666666666666,-0.5321230672582722
000090.XSHE,-1.05491,-1.473169,-18.761726,0.76,-1.055328,-6.022789,-0.862253,46.036361,1.814606,-0.429592,0.8892857142857143,-4.869999999999999,-0.32940458706058307,39.67488282677386,50.0,-1.6073424301993766
000096.XSHE,-1.491786,-1.278712,-19.84127,0.8465,-0.295619,-7.67297,-0.837384,42.544111,-0.307994,0.24147,0.7564285714285713,-3.049999999999999,0.12839563086019057,62.09403597719375,58.333333333333336,1.4629888206537434
000099.XSHE,-1.074435,-1.151769,-29.850746,1.4425,0.296453,-11.55914,-0.309493,38.949789,-0.049778,0.002774,0.5750000000000003,-1.9899999999999984,-0.09140351602895525,41.32588503589202,50.0,-1.0579646524141784
000151.XSHE,-1.462225,-1.070225,-30.876866,1.8745,0.662946,-12.915736,-0.445614,25.988989,0.502576,0.559688,0.28428571428571425,-1.17,-0.03407514764236341,41.767711875614886,50.0,-1.014977828729191
000158.XSHE,-0.197091,-1.169895,-21.102362,1.707,0.694093,-6.486234,-0.568131,39.366776,-1.521748,0.702141,0.974285714285714,-7.42,-0.41906537878643046,24.63874057517818,33.33333333333333,-2.7984506124858366
000301.XSHE,-1.108495,-1.096419,-33.548983,1.4765,-0.044791,-11.534912,1.061131,45.902494,-1.213815,0.826006,0.39857142857142847,-1.5899999999999999,-0.07986313034879422,45.20808046413192,50.0,-0.8890463248555025
000401.XSHE,0.782631,-1.013072,-19.815891,0.762,-1.051735,-3.473215,-0.714173,48.974851,-0.439344,1.07028,0.25857142857142856,-1.06,0.009862218910181242,43.04951051733809,50.0,-0.44813555263779614
000402.XSHE,0.442444,5.463396,13.323572,1.698,0.127239,6.121889,-0.206311,58.30859,-0.67198,-1.037939,0.3364285714285714,-0.9299999999999997,0.0227265364473771,57.343795659425545,50.0,-0.20839013177199606
000407.XSHE,1.100457,-1.108727,-37.597911,2.1825,0.683129,-15.637134,0.169811,26.603793,-1.329091,0.646756,0.6550000000000001,-2.5599999999999996,-0.042810283419065565,46.84045162443694,50.0,-1.063884373416768
000410.XSHE,-0.428059,-1.253523,-27.442439,1.8305,-0.286751,-10.386965,-0.13771,50.117978,0.077624,-0.73734,0.46071428571428574,-2.2199999999999998,-0.1436587843955598,34.49794855953467,41.66666666666667,-2.73650396535825
000416.XSHE,-1.443007,-1.204478,-35.722412,0.8325,-0.758231,-16.991111,0.155715,27.551936,-1.784647,-0.08418,0.5907142857142859,-0.5199999999999996,0.12778680631976314,56.31608923043273,50.0,-0.04144196244335596
000417.XSHE,-0.734563,-1.447598,-20.858896,0.995,-0.196415,-5.459875,-1.486781,33.026259,-0.387893,0.714073,1.0178571428571428,-1.959999999999999,0.41072604372638777,49.224182626582675,66.66666666666666,-0.34266422000303054
