code,close,pchg
000001.XSHE,6.86,-0.023323615160349864
000002.XSHE,7.98,0.0
000006.XSHE,4.29,0.13519813519813528
000012.XSHE,4.62,0.03463203463203457
000021.XSHE,6.18,0.03721682847896446
000024.XSHE,12.06,-0.0008291873963515162
000027.XSHE,3.16,0.07911392405063289
000028.XSHE,45.93,0.059220553015458366
000030.XSHE,4.48,0.03571428571428559
000031.XSHE,4.87,0.05954825462012314
000039.XSHE,11.21,0.07047279214986601
000049.XSHE,36.18,0.05472636815920384
000050.XSHE,21.38,0.2558465855940133
000060.XSHE,5.1,-0.033333333333333326
000061.XSHE,10.25,-0.02634146341463406
000063.XSHE,11.49,0.011314186248912117
000066.XSHE,5.39,0.18181818181818188
000069.XSHE,4.74,-0.016877637130801704
000078.XSHE,3.36,0.0535714285714286
000088.XSHE,5.16,0.1356589147286822
000090.XSHE,3.13,0.04153354632587858
000099.XSHE,9.38,0.028784648187633266
000156.XSHE,26.06,0.12317728319263233
000157.XSHE,3.99,0.027568922305764243
000333.XSHE,11.99,0.030859049207673017
000338.XSHE,4.48,-0.0044642857142858094
000400.XSHE,20.62,0.03734238603297757
000401.XSHE,8.08,0.030940594059405857
000402.XSHE,5.25,0.0019047619047618536
000409.XSHE,10.35,0.035748792270531515
000413.XSHE,7.53,0.06905710491367878
000415.XSHE,3.98,0.09296482412060292
000417.XSHE,5.15,0.09126213592233001
000418.XSHE,9.66,0.07660455486542439
000422.XSHE,6.04,-0.01490066225165565
000423.XSHE,32.31,0.006499535747446661
000425.XSHE,2.55,0.027450980392156987
000426.XSHE,5.6,0.010714285714285898
000488.XSHE,2.43,0.04526748971193406
000501.XSHE,8.94,0.06263982102908283
000503.XSHE,18.58,0.29063509149623257
000506.XSHE,4.6,0.17391304347826098
000510.XSHE,7.47,0.16867469879518082
000511.XSHE,10.23,-0.017595307917888547
000513.XSHE,15.02,0.06391478029294273
000518.XSHE,3.96,0.03535353535353525
000525.XSHE,13.12,0.0022865853658537993
000528.XSHE,4.47,0.04026845637583909
000538.XSHE,48.96,-0.031862745098039214
000540.XSHE,1.54,0.14935064935064934
000541.XSHE,6.26,0.26517571884984026
000543.XSHE,3.65,0.03013698630136985
000550.XSHE,25.53,-0.02663533098315707
000552.XSHE,4.07,-0.012285012285012442
000559.XSHE,9.11,-0.015367727771679385
000562.XSHE,12.55,-0.03665338645418337
000563.XSHE,3.31,0.0332326283987916
000566.XSHE,7.15,0.0923076923076922
000568.XSHE,15.84,0.02146464646464641
000572.XSHE,4.27,0.08196721311475419
000581.XSHE,20.2,0.060891089108910945
000587.XSHE,5.95,-0.005042016806722782
000596.XSHE,20.87,0.23478677527551506
000598.XSHE,4.56,0.1578947368421053
000603.XSHE,16.36,-0.04095354523227379
000616.XSHE,3.59,0.09470752089136503
000620.XSHE,5.24,0.05343511450381677
000623.XSHE,12.34,0.030794165316045508
000625.XSHE,11.94,-0.02345058626465657
000627.XSHE,2.94,0.017006802721088565
000630.XSHE,2.08,0.03846153846153855
000631.XSHE,2.31,0.025974025974025983
000636.XSHE,7.15,0.17062937062937045
000650.XSHE,3.94,0.08121827411167515
000651.XSHE,11.75,-0.0008510638297871687
000652.XSHE,4.13,0.0871670702179177
000655.XSHE,7.87,0.027954256670902122
000656.XSHE,2.23,0.18834080717488777
000667.XSHE,2.02,0.014851485148514865
000669.XSHE,13.98,0.025035765379112895
000671.XSHE,4.13,0.13801452784503643
000680.XSHE,3.25,0.10153846153846158
000685.XSHE,5.75,0.12521739130434772
000686.XSHE,7.46,0.046916890080428875
000688.XSHE,7.1,-0.04507042253521121
000690.XSHE,3.95,0.04556962025316458
000693.XSHE,23.1,0.06060606060606055
000697.XSHE,14.91,0.28772635814889336
000703.XSHE,3.71,0.12129380053908356
000709.XSHE,1.88,0.06382978723404253
000712.XSHE,16.16,0.06868811881188108
000718.XSHE,2.87,0.11498257839721249
000719.XSHE,8.75,0.14514285714285702
000725.XSHE,2.23,0.004484304932735439
000726.XSHE,7.36,0.02717391304347827
000728.XSHE,7.12,0.1025280898876404
000729.XSHE,6.54,-0.004587155963302836
000732.XSHE,4.72,0.05084745762711873
000735.XSHE,6.42,0.05763239875389403
000750.XSHE,5.71,-0.019264448336252293
000758.XSHE,5.96,-0.03523489932885904
