code,close,pchg
000001.XSHE,5.96,-0.01342281879194629
000002.XSHE,6.45,-0.08062015503875974
000005.XSHE,4.06,-0.049261083743842304
000006.XSHE,3.64,-0.08241758241758246
000009.XSHE,8.2,-0.05365853658536579
000012.XSHE,10.86,-0.16666666666666652
000016.XSHE,2.31,-0.025974025974025983
000021.XSHE,9.44,-0.15889830508474567
000024.XSHE,11.35,-0.048458149779735615
000027.XSHE,4.14,-0.0628019323671497
000028.XSHE,27.46,-0.005462490895848604
000029.XSHE,5.08,0.1279527559055118
000031.XSHE,6.07,-0.08896210873146626
000039.XSHE,16.37,-0.16554673182651192
000042.XSHE,7.65,0.07450980392156858
000046.XSHE,4.08,-0.05147058823529416
000050.XSHE,10.93,0.0640439158279964
000060.XSHE,9.03,-0.1362126245847176
000061.XSHE,9.64,-0.09024896265560178
000062.XSHE,5.46,-0.06410256410256399
000063.XSHE,18.7,-0.10427807486631013
000069.XSHE,5.17,-0.11218568665377182
000078.XSHE,4.6,-0.12391304347826071
000088.XSHE,4.42,0.002262443438914019
000089.XSHE,5.44,-0.040441176470588314
000090.XSHE,3.69,-0.05691056910569103
000099.XSHE,11.36,-0.11531690140845063
000100.XSHE,2.29,0.0393013100436681
000157.XSHE,8.95,-0.11173184357541888
000158.XSHE,5.47,-0.08409506398537481
000159.XSHE,14.75,-0.15389830508474578
000301.XSHE,4.32,-0.10185185185185197
000338.XSHE,8.87,-0.11273957158962788
000400.XSHE,15.89,-0.07803650094398995
000401.XSHE,24.58,-0.1261187957689177
000402.XSHE,5.36,-0.05597014925373145
000407.XSHE,6.37,-0.13186813186813184
000410.XSHE,11.92,-0.07466442953020136
000416.XSHE,8.67,-0.1418685121107266
000417.XSHE,10.76,-0.09107806691449816
000422.XSHE,14.86,-0.14064602960969042
000423.XSHE,39.64,-0.05827447023208887
000425.XSHE,7.87,-0.12579415501905977
000426.XSHE,9.38,-0.2249466950959489
000428.XSHE,7.19,-0.15716272600834502
000488.XSHE,3.9,-0.13846153846153852
000503.XSHE,11.39,-0.13520632133450405
000510.XSHE,7.9,-0.069620253164557
000511.XSHE,3.64,-0.03571428571428581
000513.XSHE,10.23,-0.1485826001955034
000514.XSHE,6.72,-0.06845238095238093
000517.XSHE,2.77,-0.054151624548736454
000520.XSHE,5.5,-0.08909090909090911
000522.XSHE,16.3,-0.08466257668711663
000525.XSHE,13.27,0.02110022607385087
000527.XSHE,16.31,0.01594114040465988
000528.XSHE,15.77,-0.11097019657577678
000532.XSHE,10.11,0.1562809099901088
000533.XSHE,8.23,-0.07411907654921024
000536.XSHE,8.44,0.01540284360189581
000537.XSHE,8.58,-0.0757575757575758
000538.XSHE,34.16,-0.0017564402810302804
000540.XSHE,2.88,-0.23263888888888884
000541.XSHE,7.62,-0.019685039370078816
000543.XSHE,5.29,-0.13421550094517953
000548.XSHE,6.58,-0.03191489361702127
000554.XSHE,11.12,0.021582733812949728
000562.XSHE,8.13,-0.07626076260762615
000563.XSHE,2.79,-0.10752688172043001
000568.XSHE,33.56,-0.010727056019070313
000571.XSHE,6.51,0.1321044546850998
