code,close,pchg
000001.XSHE,8.61,0.017421602787456525
000002.XSHE,18.47,0.0021656740660531693
000006.XSHE,8.57,-0.11085180863477251
000008.XSHE,9.14,-0.06673960612691476
000009.XSHE,8.95,-0.12737430167597763
000012.XSHE,7.51,-0.007989347536617841
000021.XSHE,9.27,-0.007551240560949357
000025.XSHE,38.49,-0.09327097947518848
000027.XSHE,5.48,-0.018248175182481896
000028.XSHE,64.78,0.022846557579499827
000031.XSHE,8.92,-0.11322869955156944
000039.XSHE,11.41,0.05872042068361094
000049.XSHE,40.18,0.008710801393728262
000060.XSHE,6.92,0.023121387283236983
000061.XSHE,12.11,-0.056977704376548255
000062.XSHE,18.52,-0.024838012958963374
000063.XSHE,15.93,-0.053358443188951665
000066.XSHE,12.58,-0.2798092209856915
000069.XSHE,6.09,-0.019704433497536922
000078.XSHE,6.26,-0.051118210862619695
000089.XSHE,7.76,0.009020618556700999
000090.XSHE,5.41,-0.08133086876155271
000099.XSHE,11.77,0.005947323704333041
000100.XSHE,3.1,0.019354838709677358
000156.XSHE,16.32,-0.04289215686274517
000157.XSHE,3.98,0.025125628140703515
000158.XSHE,9.12,-0.07127192982456121
000333.XSHE,25.51,0.02783222265778118
000338.XSHE,4.41,0.10884353741496589
000400.XSHE,17.53,0.0028522532800911993
000401.XSHE,11.01,0.16802906448683008
000402.XSHE,9.2,-0.03478260869565197
000413.XSHE,11.06,-0.10669077757685352
000415.XSHE,7.38,-0.07588075880758804
000417.XSHE,8.14,-0.04176904176904184
000418.XSHE,29.75,0.024537815126050466
000423.XSHE,49.4,0.016599190283400844
000425.XSHE,3.26,-0.0030674846625766694
000426.XSHE,8.46,0.04137115839243499
000488.XSHE,6.05,0.13057851239669427
000501.XSHE,14.48,0.10082872928176778
000503.XSHE,41.98,0.07122439256788948
000513.XSHE,23.25,0.020645161290322678
000517.XSHE,5.13,-0.03508771929824561
000519.XSHE,15.3,0.01699346405228752
000528.XSHE,5.24,0.09160305343511443
000541.XSHE,7.81,-0.03713188220230479
000543.XSHE,7.26,-0.05371900826446274
000552.XSHE,3.34,0.0029940119760478723
000555.XSHE,21.27,-0.06911142454160779
000559.XSHE,10.36,-0.07528957528957525
000566.XSHE,12.46,0.058587479935794384
000568.XSHE,30.52,0.05996068152031464
000572.XSHE,5.6,0.0
000581.XSHE,18.24,0.07565789473684226
000587.XSHE,7.23,0.04011065006915615
000592.XSHE,6.75,-0.07851851851851854
000596.XSHE,42.41,0.01862768215043631
000598.XSHE,5.4,-0.029629629629629672
000600.XSHE,8.22,0.007299270072992581
000612.XSHE,10.47,0.11843361986628453
000616.XSHE,5.27,-0.04364326375711569
000620.XSHE,7.88,-0.10025380710659904
000623.XSHE,21.77,-0.027560863573725225
000625.XSHE,13.63,0.03521643433602328
000627.XSHE,7.51,-0.0026631158455392434
000630.XSHE,3.02,0.0596026490066226
000631.XSHE,4.17,-0.0455635491606714
000636.XSHE,9.49,0.07797681770284504
000651.XSHE,22.1,0.02850678733031664
