code,close,pchg
000002.XSHE,6.66,-0.05105105105105101
000005.XSHE,3.85,-0.10389610389610382
000006.XSHE,3.47,-0.03458213256484155
000009.XSHE,7.66,-0.0744125326370757
000012.XSHE,12.11,-0.1428571428571428
000016.XSHE,2.34,-0.11538461538461542
000021.XSHE,11.38,-0.17838312829525493
000024.XSHE,10.7,-0.03364485981308407
000027.XSHE,4.09,-0.10024449877750607
000028.XSHE,30.07,-0.1293648154306618
000029.XSHE,4.9,-0.055102040816326636
000039.XSHE,15.55,0.048231511254019255
000040.XSHE,5.12,-0.095703125
000042.XSHE,8.17,-0.08812729498164007
000046.XSHE,3.94,-0.13197969543147203
000050.XSHE,14.89,-0.22229684351914036
000060.XSHE,10.1,-0.11089108910891077
000061.XSHE,9.48,-0.12552742616033763
000062.XSHE,5.64,-0.150709219858156
000063.XSHE,18.32,-0.15120087336244536
000066.XSHE,9.89,-0.2335692618806876
000069.XSHE,4.57,-0.045951859956236296
000078.XSHE,4.84,-0.13842975206611574
000088.XSHE,3.6,-0.02777777777777779
000089.XSHE,5.14,-0.021400778210116655
000090.XSHE,3.85,-0.19740259740259747
000099.XSHE,12.06,-0.23134328358208966
000100.XSHE,1.42,0.09154929577464799
000155.XSHE,7.34,-0.1416893732970027
000157.XSHE,8.25,-0.09090909090909094
000158.XSHE,5.56,-0.19064748201438841
000159.XSHE,14.35,-0.1533101045296167
000301.XSHE,4.53,-0.13024282560706413
000338.XSHE,9.48,-0.1223628691983123
000400.XSHE,16.87,-0.1659751037344399
000401.XSHE,20.76,-0.05924855491329484
000402.XSHE,4.94,-0.03238866396761131
000407.XSHE,6.49,-0.11248073959938376
000410.XSHE,12.9,-0.13875968992248067
000416.XSHE,6.93,-0.028860028860028808
000417.XSHE,10.4,-0.0971153846153846
000422.XSHE,13.25,-0.07169811320754715
000423.XSHE,43.19,0.01875434128270448
000425.XSHE,8.02,-0.049875311720698146
000426.XSHE,6.95,-0.07338129496402879
000428.XSHE,7.51,0.007989347536617952
000429.XSHE,3.65,-0.06849315068493156
000488.XSHE,3.29,-0.006079027355623157
000501.XSHE,12.89,-0.11481768813033366
000503.XSHE,10.86,-0.17679558011049723
000510.XSHE,9.03,-0.12513842746400872
000511.XSHE,3.47,-0.0691642651296831
000513.XSHE,12.22,-0.14811783960720137
000514.XSHE,7.32,-0.08743169398907114
000520.XSHE,5.19,-0.019267822736030893
000522.XSHE,17.48,-0.14588100686498862
000525.XSHE,14.5,-0.15172413793103445
000527.XSHE,15.51,-0.06769825918762085
000528.XSHE,15.89,-0.14789175582127134
000532.XSHE,8.84,-0.12104072398190047
000537.XSHE,8.35,-0.1568862275449101
000538.XSHE,35.72,-0.06886898096304594
000540.XSHE,2.27,-0.12334801762114533
000541.XSHE,9.17,-0.17775354416575795
000543.XSHE,3.57,-0.09803921568627438
000548.XSHE,6.97,-0.16068866571018658
000550.XSHE,18.55,-0.09164420485175195
000554.XSHE,9.02,-0.053215077605321515
000559.XSHE,5.35,-0.1065420560747663
000562.XSHE,8.54,-0.11007025761124112
000563.XSHE,2.28,-0.05263157894736825
