code,close,pchg
000001.XSHE,4.94,-0.01619433198380571
000002.XSHE,6.92,0.054913294797687806
000006.XSHE,3.57,-0.0028011204481792618
000009.XSHE,4.79,-0.16701461377870563
000012.XSHE,5.55,-0.048648648648648596
000021.XSHE,5.3,-0.0811320754716981
000024.XSHE,15.41,0.025308241401687193
000027.XSHE,3.28,-0.08841463414634132
000028.XSHE,26.15,0.08030592734225617
000029.XSHE,3.93,-0.10687022900763365
000031.XSHE,4.44,-0.06306306306306309
000039.XSHE,10.2,-0.07941176470588218
000042.XSHE,9.12,-0.0953947368421052
000050.XSHE,6.63,-0.1432880844645551
000059.XSHE,7.46,-0.1487935656836461
000060.XSHE,5.58,-0.037634408602150504
000061.XSHE,6.13,-0.15008156606851553
000063.XSHE,11.86,-0.24367622259696453
000066.XSHE,4.34,-0.1820276497695853
000069.XSHE,5.37,-0.003724394785847407
000078.XSHE,2.94,-0.14965986394557818
000088.XSHE,3.97,-0.02267002518891692
000089.XSHE,3.92,-0.04846938775510201
000090.XSHE,2.56,-0.10546875
000099.XSHE,8.12,-0.01970443349753681
000100.XSHE,1.75,-0.10285714285714287
000157.XSHE,8.02,-0.03366583541147128
000158.XSHE,3.0,-0.13
000159.XSHE,8.23,-0.07411907654921024
000301.XSHE,2.77,-0.0577617328519856
000338.XSHE,5.38,-0.16356877323420072
000401.XSHE,14.84,-0.19878706199460916
000402.XSHE,5.06,0.027667984189723382
000407.XSHE,6.62,-0.2628398791540786
000410.XSHE,8.15,-0.16073619631901848
000417.XSHE,7.59,-0.006587615283267456
000418.XSHE,8.06,-0.16873449131513651
000422.XSHE,12.96,-0.033179012345679104
000423.XSHE,35.7,-0.04117647058823548
000425.XSHE,4.37,-0.06636155606407323
000426.XSHE,6.47,-0.021638330757341562
000428.XSHE,5.1,-0.11764705882352933
000488.XSHE,2.22,-0.07657657657657668
000503.XSHE,6.19,-0.06946688206785145
000506.XSHE,7.45,-0.10201342281879189
000510.XSHE,5.65,-0.11681415929203542
000511.XSHE,3.81,-0.01049868766404205
000513.XSHE,7.95,0.07672955974842766
000514.XSHE,4.75,-0.1010526315789475
000517.XSHE,2.36,-0.22457627118644063
000518.XSHE,4.74,-0.14978902953586493
000522.XSHE,20.6,0.149514563106796
000525.XSHE,11.58,0.10362694300518127
000527.XSHE,11.16,-0.13440860215053763
000528.XSHE,8.3,-0.11686746987951813
000533.XSHE,4.24,-0.13443396226415105
000537.XSHE,7.1,-0.1732394366197183
000538.XSHE,34.94,0.010875787063537645
000539.XSHE,4.22,0.06161137440758302
000540.XSHE,1.78,-0.1629213483146068
000541.XSHE,5.16,-0.2441860465116279
000543.XSHE,3.47,0.023054755043227626
000554.XSHE,6.18,-0.1763754045307443
000559.XSHE,2.7,-0.1629629629629631
000562.XSHE,8.66,0.06235565819861422
000563.XSHE,3.33,-0.08108108108108103
000568.XSHE,30.96,0.03229974160206717
000571.XSHE,5.38,-0.0817843866171003
000572.XSHE,3.33,-0.09609609609609615
000581.XSHE,16.28,-0.16216216216216217
000594.XSHE,2.68,-0.07835820895522383
000597.XSHE,3.53,-0.15580736543909346
000598.XSHE,3.57,-0.04201680672268904
000601.XSHE,3.22,0.024844720496894235
000608.XSHE,4.95,-0.022222222222222254
000612.XSHE,6.47,-0.10664605873261201
000616.XSHE,3.13,-0.07987220447284349
000617.XSHE,7.29,-0.13305898491083668
000620.XSHE,5.33,-0.1575984990619137
000623.XSHE,13.22,-0.07186081694402424
000625.XSHE,4.37,-0.006864988558352492
000627.XSHE,3.08,-0.019480519480519543
000629.XSHE,4.8,-0.13124999999999998
000630.XSHE,3.93,-0.07124681933842247
000631.XSHE,2.08,-0.14423076923076927
000636.XSHE,7.53,-0.1872509960159363
000650.XSHE,6.51,-0.09677419354838712
000651.XSHE,7.6,0.03684210526315801
000652.XSHE,4.04,-0.1410891089108911
000655.XSHE,12.19,-0.16817063166529933
000659.XSHE,3.36,-0.11607142857142849
000667.XSHE,2.18,-0.0825688073394496
000680.XSHE,6.73,-0.22882615156017827
000682.XSHE,3.45,-0.09855072463768122
000683.XSHE,3.38,-0.08875739644970404
000685.XSHE,5.61,-0.048128342245989386
000686.XSHE,8.04,-0.1455223880597014
000687.XSHE,5.11,-0.11937377690802353
000690.XSHE,3.35,0.05970149253731338
000698.XSHE,5.13,-0.1500974658869395
000708.XSHE,4.67,-0.13918629550321204
000709.XSHE,2.59,-0.09266409266409259
000712.XSHE,6.07,0.046128500823723106
000713.XSHE,8.49,-0.043580683156654976
000717.XSHE,2.54,-0.12992125984251968
000718.XSHE,4.84,-0.10123966942148765
000726.XSHE,5.69,-0.08084358523725832
000728.XSHE,6.96,-0.048850574712643646
000729.XSHE,6.91,-0.0752532561505066
000735.XSHE,4.82,0.07676348547717837
000738.XSHE,9.9,-0.11414141414141421
000755.XSHE,7.83,-0.12388250319284799
000758.XSHE,9.22,-0.10629067245119306
000759.XSHE,6.97,-0.11621233859397417
000762.XSHE,15.66,-0.09450830140485311
000768.XSHE,7.76,-0.03865979381443296
000776.XSHE,13.43,0.008190618019359608
000777.XSHE,12.33,-0.13787510137875092
000778.XSHE,4.16,-0.050480769230769273
000780.XSHE,10.13,-0.062191510365251834
000783.XSHE,4.13,-0.0847457627118644
000786.XSHE,6.27,-0.09409888357256779
000792.XSHE,20.1,0.08606965174129333
000793.XSHE,6.33,-0.10110584518167454
000799.XSHE,43.77,0.18048891935115363
000800.XSHE,11.38,-0.187170474516696
000807.XSHE,6.25,-0.128
000816.XSHE,5.76,-0.06249999999999989
000822.XSHE,4.73,-0.2177589852008457
000823.XSHE,12.97,-0.01927525057825752
000825.XSHE,3.21,-0.04049844236760125
000826.XSHE,10.95,0.0
000830.XSHE,4.18,-0.007177033492822837
000839.XSHE,2.6,0.007692307692307665
000848.XSHE,4.8,-0.008333333333333304
000850.XSHE,6.07,-0.0823723228995058
000852.XSHE,9.7,0.07628865979381438
000858.XSHE,27.38,0.11468224981738495
000860.XSHE,12.18,-0.064039408866995
000861.XSHE,4.31,-0.16473317865429227
000869.XSHE,62.4,-0.12275641025641015
000875.XSHE,3.22,-0.14285714285714302
000876.XSHE,6.48,0.08487654320987659
000877.XSHE,9.58,-0.22338204592901878
000878.XSHE,18.85,-0.052519893899204306
000886.XSHE,3.28,0.10365853658536595
000887.XSHE,4.92,-0.10772357723577242
000893.XSHE,8.7,-0.09999999999999987
000895.XSHE,14.64,0.001366120218579292
000897.XSHE,2.96,-0.108108108108108
000898.XSHE,2.72,-0.07720588235294135
000900.XSHE,3.24,-0.1141975308641976
000903.XSHE,2.08,-0.03846153846153855
000905.XSHE,5.78,0.01903114186851207
000910.XSHE,5.06,-0.09090909090909094
000911.XSHE,10.73,-0.11463187325256297
000912.XSHE,7.57,-0.23910171730515195
000917.XSHE,12.19,-0.13043478260869568
000919.XSHE,8.7,-0.08045977011494243
000925.XSHE,7.04,-0.16619318181818177
000926.XSHE,8.15,-0.14723926380368102
000927.XSHE,7.73,-0.14877102199223802
000930.XSHE,5.4,-0.1444444444444445
000931.XSHE,6.23,0.04173354735152479
000933.XSHE,9.4,-0.06702127659574475
000936.XSHE,4.55,-0.13186813186813184
000937.XSHE,11.34,-0.07142857142857151
000939.XSHE,4.69,-0.19829424307036259
000949.XSHE,3.11,-0.180064308681672
000950.XSHE,5.65,-0.031858407079646156
000951.XSHE,6.78,-0.10471976401179939
000960.XSHE,21.01,-0.1170871013802951
000961.XSHE,4.63,-0.08639308855291561
000962.XSHE,14.92,-0.11595174262734587
000963.XSHE,7.57,0.07265521796565366
000968.XSHE,16.31,-0.11587982832618016
000969.XSHE,14.38,-0.15438108484005564
000970.XSHE,19.34,0.09669079627714594
000973.XSHE,4.97,-0.21529175050301808
000975.XSHE,5.74,0.10975609756097549
000979.XSHE,1.77,-0.12994350282485878
000983.XSHE,11.37,-0.02902374670184693
000987.XSHE,8.01,-0.13358302122347054
000988.XSHE,7.07,-0.08769448373408772
000989.XSHE,11.24,0.11298932384341631
000996.XSHE,10.8,-0.125925925925926
