code,code,MC,CMC,TR,PE,PB,PR,ROE,DER,NPTTR,GPM,ETTR,OETTR,GETTR,OPTP,APTP,GSASTR,ITRYOY,IRYOY,IOPYOY,INPYOY,INPA,INPTSA,PS,GP,OP,OR,NP,EV,TOE,TOR,EBIT,TOC,NOCF/MC,OTR,GPOA,OPM,NPM,ROA,INC,EPS,AP,VCP,OPTTR,FETTR,IPTP,OTOP,ITRA,IRA,IOPA,INPTSYOY,ROIC,OPTT,TP/TOR,OP/TOR,NP/TOR,TA,FCFF/TNCL,NOCF/TL,TCA/TCL,TOR/TA,TOR/FA,TOR/TCA,LTL/OC,TL/TA,TL/TOE
000039.XSHE,000039.XSHE,279.8178,129.4351,1.2508,15.3999,1.5195,-23.3192,2.99,2.41589107,3.98,16.18,94.37,2.55,6.36,99.16,0.93789377,83.4,-22.7,-22.7,-59.17,-60.02,45.64,48.79,0.5087,242902560577.6172,845870976.0,15012518912.0,597459968.0,25664766359.8178,20741916672.0,15012518912.0,985336976.0,14166647808.0,-9409401.12228263,-17.54,3.72368638,0.05450924,3.98,0.93,3.0,0.2097,560353984.0,-27550000.0,5.45,0.88,-3.23,-311.27,21.54,21.54,31.82,-61.47,0.02219962,0.95935031,0.05681891,0.05450924,0.03979745,65231745024.0,-0.14234831,-0.05918022,1.43179342,0.2301413,1.38937199,0.36264907,0.65847576,0.68202729,2.14492378
000042.XSHE,000042.XSHE,42.5047,42.4927,0.1954,11.1491,1.5727,-5.8572,0.78,1.60803026,8.07,53.41,86.7,5.51,10.56,109.32,0.98758591,196.88,36.69,36.69,123.54,17.7,-89.84,-89.84,1.9155,14110102436.6486,35136808.0,264184656.0,21326576.0,,2703658240.0,264184656.0,55751177.0,229047856.0,5982031.39305884,96.25,2.00157692,0.12102419,8.07,0.3,0.77,0.0891,21061826.0,-3164075.25,12.1,8.94,-9.84,723.64,-71.25,-71.25,-88.6,17.7,,0.99471363,0.12166737,0.12102419,0.08072602,7049492992.0,0.13097418,0.05850762,2.44280639,0.037475699999999994,3.09866546,0.04436663,15.20229488,0.61647476,1.60739047
000046.XSHE,000046.XSHE,165.4304,165.0241,0.1018,51.4319,2.1325,-11.8961,0.6,2.20316273,10.86,60.2,85.03,5.62,11.43,98.03,0.99901159,169.79,45.47,45.47,334.05,1722.21,355.41,379.55,7.3524,25415991470.9073,63216532.0,422192544.0,45859592.0,,8226341376.0,422192544.0,87127104.0,358976000.0,1160881.64319683,45.49,1.00389013,0.14973389,10.86,0.19,0.58,0.0103,45814264.0,,14.97,5.36,,303.79,100.97,100.97,529.29,1805.9,,0.98025677,0.15274966,0.14973389,0.10862246,25317502976.0,0.02447654,0.01123652,2.7121828,0.01667592,4.14852998,0.01687469,27.82373159,0.67507298,2.07761401
000050.XSHE,000050.XSHE,48.5805,48.5791,1.68,64.6379,3.6551,-12.6649,1.37,3.81376528,4.07,15.71,97.09,1.99,6.7,77.64,0.18923555,75.12,14.79,14.79,12.89,-9.06,495.09,350.12,1.0242,19700460700.6366,36541000.0,1254007680.0,51040136.0,,2956330240.0,1254007680.0,87427408.0,1217466624.0,-1864204.05509534,-7.22,2.4548214,0.02011095,4.07,0.64,0.73,0.0315,9658608.0,-11321709.0,2.01,3.22,-24.06,-247.84,27.53,27.53,164.03,-37.61,,0.53583229,0.03753218,0.02011095,0.04070161,8025211392.0,0.01068177,-0.01786666,0.99475126,0.15625852,0.27218057,0.50493179,2.02319886,0.63161967,1.71458565
000059.XSHE,000059.XSHE,75.6319,75.6319,0.7449,25.5288,1.0373,-38.4305,-3.33,2.98727557,-2.77,7.84,102.0,0.58,3.7,99.2,0.99616519,117.7,-1.72,-1.72,-302.92,-511.44,-245.03,-245.03,0.1974,70488883916.5469,-179981328.0,8990928896.0,-249107440.0,,7356083200.0,8990928896.0,55563096.0,9170910208.0,-16601117.60060622,-13.96,2.41925776,-0.020018099999999997,-2.77,-0.85,-3.32,-0.2075,-248152160.0,,-2.0,2.64,,697.61,-7.64,-7.64,-182.05,-511.44,,0.9919786,-0.02017997,-0.020018099999999997,-0.02770653,29136574464.0,-0.19248516,-0.05764673,0.55748038,0.30857879,0.53377216,0.99793144,0.64774443,0.74753092,2.96088144
000060.XSHE,000060.XSHE,178.4444,178.2987,2.4819999999999998,22.0616,3.2498,-30.4649,2.17,1.30024655,2.53,10.12,97.38,1.64,3.61,84.64,1.1497733,50.96,76.2,76.31,-61.03,-65.29,-5.69,30.81,0.8156,46966576846.1636,121825256.0,4640966144.0,117793920.0,,6885714944.0,4650791936.0,213407024.0,4528966656.0,1628123.25255872,6.26,3.3487154,0.04463865,2.54,0.82,2.48,0.0573,135436304.0,85341216.0,4.45,1.49,59.29,238.48,34.24,34.3,-9.51,-50.79,,1.439319,0.03094821,0.04454434,0.02532771,14025251840.0,0.12742544,0.04069304,1.02984899,0.33160131,1.17893178,0.93265744,0.21521954,0.50904871,1.03686203
000061.XSHE,000061.XSHE,83.6905,82.8723,1.6888,58.4925,2.5859,-12.982999999999999,1.47,1.81590004,18.16,40.39,97.73,4.4,21.12,10.68,0.30794532,87.04,2.62,2.62,-49.6,-51.79,0.85,9.52,4.3816,17111395787.501999,9597693.0,423654272.0,76933776.0,,4360177152.0,423654272.0,125960787.0,414056608.0,1768614.25029826,34.94,1.67150812,0.08094813,18.16,0.78,0.73,0.0345,23691396.0,24696326.0,8.09,8.53,27.49,1542.21,-2.99,-2.99,-42.09,-65.41,,0.3817259,0.21205825,0.08094813,0.18159566,10237100032.0,0.57694915,0.025186,0.68528493,0.04138421,0.15689502,0.1258809,1.89035268,0.57408083,1.34786333
000063.XSHE,000063.XSHE,363.6162,295.2377,0.6537,23.6765,1.4839,6.4063,0.38,3.2794806000000003,0.75,25.39,102.5,11.81,2.33,-156.93,-0.827567,102.66,9.04,9.04,-199.29,-73.34,-15.54,-37.7,0.3957,610092751296.1875,-599862976.0,24028860416.0,179490000.0,,26685997056.0,24028860416.0,1114035008.0,24628723712.0,7491132.14995851,11.34,5.69940299,-0.02549334,0.75,0.17,-0.61,0.0273,-148540000.0,-12713000.0,-2.55,3.05,-3.33,-454.09,29.1,29.1,-144.28,-85.36,,-1.60256169,0.01590787,-0.02549334,0.00746977,107045027840.0,0.18432608,0.03389659,1.34783655,0.22447433,3.27889864,0.28676679,0.40433756,0.75070307,3.01128081
000066.XSHE,000066.XSHE,48.973,21.2439,1.1752,1045.2003,1.5769,2.4086,-0.02,9.00924254,0.26,7.97,105.09,4.87,5.11,-955.52,-2.64152378,91.34,1.89,1.89,-318.06,-63.23,-19.61,-113.09,0.0666,149347306783.3477,-953698432.0,18738683904.0,47793932.0,3123003120.973,10436969472.0,18738683904.0,605543244.0,19692384256.0,54196857.0264308,14.16,3.88753812,-0.01836929,0.26,0.14,-4.03,-0.0004,-126248808.0,609482176.0,-1.84,2.7,610.65,-278.3,19.94,19.94,-740.08,-101.06,0.03821693,-3.44873672,0.00532638,-0.01836929,0.00255055,38416936960.0,0.76901422,0.09486010000000002,1.26138906,0.48777142,5.17957809,0.61803542,0.06415942,0.72832377,2.68085181
000069.XSHE,000069.XSHE,426.837,180.7113,0.5758,13.6328,2.51,35.9715,4.49,2.84103284,20.72,56.66,75.44,6.25,8.89,91.16,0.87553541,125.65,14.08,14.08,1.15,1.61,212.94,158.97,2.3536,234565872136.3037,1016555840.0,4139884800.0,857976640.0,29752020105.337,18826383360.0,4139884800.0,1227550688.0,3123329024.0,567415.46963789,5.85,3.49367026,0.26859665,20.72,1.3,4.47,0.1037,751188928.0,95403320.0,26.86,2.71,8.56,23.82,62.95,62.95,194.71,-9.18,0.02539994,0.99713412,0.26936862,0.26859665,0.20724650000000003,67140243456.0,0.04123741,0.00501293,1.53358504,0.06166026,0.33000465,0.09789749,10.98269748,0.71959614,2.56628473
