code,code,MC,CMC,TR,PE,PB,PR,ROE,DER,NPTTR,GPM,ETTR,OETTR,GETTR,OPTP,APTP,GSASTR,ITRYOY,IRYOY,IOPYOY,INPYOY,INPA,INPTSA,PS,GP,OP,OR,NP,EV,TOE,TOR,EBIT,TOC,NOCF/MC,OTR,GPOA,OPM,NPM,ROA,INC,EPS,AP,VCP,OPTTR,FETTR,IPTP,OTOP,ITRA,IRA,IOPA,INPTSYOY,ROIC,OPTT,TP/TOR,OP/TOR,NP/TOR,TA,FCFF/TNCL,NOCF/TL,TCA/TCL,TOR/TA,TOR/FA,TOR/TCA,LTL/OC,TL/TA,TL/TOE
000001.XSHE,000001.XSHE,1620.8868,1381.1833,0.42200000000000004,7.181,0.9438,-0.9292,3.27,13.61128416,22.79,,70.11,,28.25,86.81,1.0020947,,5.15,5.15,4.12,4.2,1.97,1.97,1.5532,,7053000192.0,27236999168.0,6206000128.0,,191699992576.0,27236999168.0,,19094999040.0,-57046551.08508623,-339.49,,0.29893161,22.79,0.23,3.28,0.3614,6218999808.0,1088999936.0,29.89,,13.4,-1311.02,-1.07,-1.07,1.6,4.2,,1.0020923000000002,0.29830747,0.29893161,0.22785183,2800982949888.0,,-0.03543732,,0.00972409,5.12937825,,,0.93155978,13.61128416
000002.XSHE,000002.XSHE,2598.6165,2285.2886,1.8761,13.9527,2.6663,9.576,4.56,5.89091306,9.71,24.98,87.87,2.19,1.72,88.03,0.77517185,132.65,45.47,45.47,9.39,-0.62,367.65,442.23,1.1808,1503395844808.3594,7300582912.0,60183982080.0,5844807168.0,,138174054400.0,60183982080.0,8478383440.0,52883398656.0,14054919.03225171,60.69,2.1106017999999995,0.13721266,9.71,0.85,4.57,0.4093,4530729984.0,957421312.0,13.72,0.31,11.54,500.28,311.9,311.9,401.52,7.67,,0.99577118,0.13779538,0.13721266,0.09711566,712306720768.0,0.83860985,0.06361482,1.24521926,0.08449167,11.62680312,0.09479333,0.81478092,0.80601886,4.15514079
000006.XSHE,000006.XSHE,112.5896,112.1856,2.0565,43.1783,2.5991,13.0152,1.21,2.00494547,11.54,41.21,81.98,3.03,3.06,104.02,0.92786602,220.45,-23.24,-23.24,1.65,-3.05,12.35,9.16,4.5029,20036391227.8286,87612504.0,486202176.0,56099272.0,,4437853696.0,486202176.0,119004500.0,398589696.0,5080553.95866573,117.65,1.52681421,0.16984243,11.54,0.43,1.19,0.0395,52052608.0,-5034741.5,16.98,7.15,-5.98,652.89,27.12,27.12,41.47,-5.64,,0.98044499,0.17322994,0.16984243,0.1153826,13123005440.0,0.13319009,0.06586155,2.44773453,0.03704961,155.5071791,0.04526955,9.77093463,0.66182638,1.95706119
000008.XSHE,000008.XSHE,258.1216,139.9264,0.6493,163.7384,4.5849,34.6583,0.54,0.2166047,7.55,49.3,90.74,8.81,25.18,93.86,1.04040472,74.35,50.55,50.55,32.03,46.33,164.47,161.78,18.2769,19874901081.2271,37335084.0,403142016.0,30449016.0,,5679803904.0,403142016.0,39135867.5625,365806944.0,-301579.55093851,-19.31,2.88073905,0.09433989,7.55,0.44,0.56,0.011000000000000001,31679300.0,697286.1875,9.43,-0.16,1.75,-208.5,89.57,89.57,783.3,124.38,,0.95609026,0.09867257,0.09433989,0.07552925,6899236864.0,-1.25073652,-0.0638364,2.75797171,0.05843284,0.93431323,0.12559412,0.00580446,0.17674894,0.21469629
000009.XSHE,000009.XSHE,251.6883,248.2597,4.2982,32.961999999999996,5.7782,15.6352,0.67,2.68732535,7.75,35.19,89.3,7.18,10.14,117.09,0.51479682,97.73,53.18,52.75,-4.91,1.85,-14.96,-72.39,4.6803,48556292941.5688,148597952.0,1379832192.0,107649104.0,5102910299.6883,6768996352.0,1388897920.0,196721724.0,1240300032.0,334220.32802793,6.1,2.5863565,0.08056504,7.8,0.58,1.24,0.0189,55417416.0,-37431724.0,8.0,5.03,-29.5,56.61,-20.64,-20.43,2.19,-45.77,0.01297555,0.87598798,0.09137016,0.08003917,0.07750685,18774013952.0,0.23512459,0.00700702,1.63823398,0.07397981,0.63408037,0.10958689,1.33827324,0.63944858,1.77352977
000012.XSHE,000012.XSHE,248.4177,156.0974,1.8881,28.0423,3.2193,112.3094,3.32,1.16565327,11.43,28.03,86.72,3.03,8.32,97.37,0.8885023000000001,113.82,27.74,27.74,250.39,99.16,27.16,27.93,2.9801,63873190502.9292,302589184.0,2278743808.0,260465856.0,,7980433920.0,2278743808.0,379104140.0,1976154624.0,2925737.87329105,31.9,3.76273084,0.12128021,11.43,1.62,2.93,0.1263,231424512.0,-26222678.0,12.13,3.0,-8.44,240.2,16.89,16.89,27.12,112.07,,0.88935698,0.13636842,0.12128021,0.11430239,16975221760.0,0.49608788,0.08080292,0.38051282,0.13423941,0.19807338,0.97631681,0.85487805,0.52987746,1.12710504
000021.XSHE,000021.XSHE,160.07299999999998,159.9158,1.7380000000000002,56.9672,3.0448,326.8664,2.87,1.22549672,4.22,5.08,99.05,0.37,3.16,17.85,0.22845771,81.66,-12.28,-12.28,203.32,189.64,274.51,274.51,1.0771,18162546323.0659,33869960.0,3575304448.0,151025008.0,,5332534272.0,3575304448.0,203602374.0,3541434368.0,489688.1357657001,2.19,1.53072188,0.05249731,4.22,1.15,0.66,0.1027,34502828.0,153823904.0,5.25,0.39,81.08,231.43,-13.82,-13.82,624.76,197.92,,0.98932936,0.05306353,0.05249731,0.04224116,11865347072.0,2.10006134,0.01199879,1.24682898,0.30132321,1.7009316000000003,0.44734101,,0.55057916,1.22508595
000027.XSHE,000027.XSHE,272.3606,272.3606,0.32,16.5671,1.301,9.3507,0.95,1.55794956,10.74,25.94,92.43,1.05,5.78,58.15,0.93032138,100.26,-17.87,-17.87,-46.19,-48.53,4.85,1.22,2.5368,52379546542.72,152795344.0,2019257728.0,216809360.0,12495849872.3606,24563193856.0,2019257728.0,476892636.0,1866462336.0,1794660.43073569,24.21,0.90474993,0.12243459,10.74,0.37,0.94,0.0515,201702384.0,94431648.0,12.24,10.6,35.94,319.9,-17.7,-17.7,10.7,-43.95,0.01052707,0.94084497,0.13013259,0.12243459,0.10737082,57893949440.0,0.12728265,0.01466498,0.89245339,0.03487856,0.10385199,0.13259271,4.65395452,0.57572085,1.35693891
000028.XSHE,000028.XSHE,248.0402,159.5511,0.9521,27.0752,4.2136,28.3994,5.95,1.44066516,4.97,7.32,96.33,1.57,1.71,64.19,0.62129204,111.82,7.37,7.37,72.41,76.88,70.43,72.39,0.9096,51497710181.7532,258478512.0,7035206144.0,349374688.0,,6004785152.0,7035206144.0,412900320.0,6776728064.0,2391126.66204622,8.43,3.5551,0.05656736,4.97,2.44,3.76,0.9461,217063712.0,139484528.0,5.66,0.14,34.64,229.46,-0.26,-0.26,55.75,80.3,,0.98822436,0.05724141,0.05656736,0.0496609,14485586944.0,1.61793142,0.06993391,1.53666495,0.48566939,7.18679438,0.55517766,,0.5854648,1.4123405
000030.XSHE,000030.XSHE,98.4164,94.9145,0.368,19.7713,2.1165,36.2499,3.29,0.58289847,12.17,18.09,97.18,5.01,9.95,22.26,0.95439625,87.67,10.33,10.33,-12.5,-8.42,9.93,11.64,2.2104,23348198788.9404,36437728.0,1290668800.0,157053056.0,,5453860864.0,1290668800.0,156866477.0,1254231168.0,406456.04981351,3.1,2.82073114,0.12033630000000001,12.17,1.92,3.15,0.1212,149890848.0,118876576.0,12.03,-0.53,72.61,109.78,9.08,9.08,20.7,-3.36,,0.94869129,0.12684453,0.12033630000000001,0.12168347,8277357056.0,-0.02401985,0.01416752,1.91132675,0.15592765,0.74811623,0.33803348,,0.34111084,0.51770594
