code,code,MC,CMC,TR,PE,PB,PR,ROE,DER,NPTTR,GPM,ETTR,OETTR,GETTR,OPTP,APTP,GSASTR,ITRYOY,IRYOY,IOPYOY,INPYOY,INPA,INPTSA,PS,GP,OP,OR,NP,EV,TOE,TOR,EBIT,TOC,NOCF/MC,OTR,GPOA,OPM,NPM,ROA,INC,EPS,AP,VCP,OPTTR,FETTR,IPTP,OTOP,ITRA,IRA,IOPA,INPTSYOY,ROIC,OPTT,TP/TOR,OP/TOR,NP/TOR,TA,FCFF/TNCL,NOCF/TL,TCA/TCL,TOR/TA,TOR/FA,TOR/TCA,LTL/OC,TL/TA,TL/TOE
000001.XSHE,000001.XSHE,1784.0057,1783.9886,0.4606,7.284,0.8287,4.6138,3.06,13.25006065,24.08,,30.2,,29.23,394.66,0.99110671,,14.21,14.21,7.93,7.35,4.53,4.53,1.5841,,36304998400.0,29422999552.0,7084000256.0,,235231002624.0,29422999552.0,,8887000064.0,-10518464.32531688,-63.78,,0.31308841,24.08,0.21,3.03,0.41,7021000192.0,6433999872.0,31.31,,69.94,-51.69,0.71,0.71,4.47,7.35,,1.00141327,0.31264656,0.31308841,0.24076404,3352056037376.0,,-0.00602055,,0.008777600000000002,3.13878805,,,0.92982486,13.25006065
000002.XSHE,000002.XSHE,2991.6101,2632.8109999999997,0.6634,9.6674,2.1368,8.1808,3.54,8.68798625,11.81,35.25,85.59,2.39,3.56,84.18,0.58606261,133.3,48.12,48.12,71.27,73.72,-29.53,-40.93,0.9912,2469178066944.0,10096301056.0,70047604736.0,8275197440.0,,215891755008.0,70047604736.0,14291649536.0,59951300608.0,-7178770.25843711,-30.66,1.72401904,0.17166873,11.81,0.6,3.53,0.44,4849783808.0,1924288256.0,17.17,3.28,16.04,-212.71,-6.79,-6.79,-27.81,28.31,,1.0025614,0.17123014,0.17166873,0.11813677,1432222040064.0,0.00589437,-0.01765645,1.1611589,0.04890834,6.27364926,0.05777559,2.77096715,0.84926101,5.63398234
000006.XSHE,000006.XSHE,78.8397,78.7412,1.6621,8.13,1.3531,-6.007999999999999,1.51,1.10783661,17.81,38.96,77.17,1.16,5.03,96.37,0.90572381,203.46,19.71,19.71,13.56,6.19,-41.17,-32.74,3.529,20972418097.8857,122917760.0,538306432.0,95888304.0,,6008349696.0,538306432.0,151241384.0,415388640.0,8927266.17159333,130.75,1.68272807,0.23624693,17.81,0.78,1.5,0.0646,86848320.0,4255479.0,23.62,4.4,3.34,572.6,-5.65,-5.65,-40.3,-2.52,,0.99705287,0.23694523,0.23624693,0.17812959,12463343616.0,0.42938029,0.10903542,2.0017758999999997,0.04319117,201.38718384,0.05584629,3.46545405,0.51791831,1.07433726
000008.XSHE,000008.XSHE,115.5515,104.2708,1.9066,13.1996,1.6268,-20.8399,0.88,0.38138626,12.09,45.24,89.01,9.15,10.61,69.55,0.96035349,80.74,36.23,36.23,-5.35,-5.83,24.9,22.27,4.3748,25312338295.9229,61509368.0,559512320.0,67621384.0,,7178918912.0,559512320.0,104798553.0,498002944.0,-61540.32269299,-1.27,2.55991961,0.15367459,12.09,0.69,0.92,0.0221,64940432.0,2711183.25,15.37,2.92,3.07,-11.56,7.4,7.4,25.6,-6.06,,0.97221022,0.15806724,0.15367459,0.12085772,9887942656.0,0.8837832,-0.00262496,2.13165337,0.05658531,2.29665009,0.10978718,0.84688051,0.27397244,0.37735818
000009.XSHE,000009.XSHE,103.5984,102.1738,0.5567,201.8128,2.036,87.9439,-0.32,3.69931969,1.52,34.5,93.16,11.13,7.67,759.79,2.43073193,144.03,19.4,19.52,-96.31,-76.87,-75.7,-120.46,1.1699,79742997504.0,158884320.0,2311391232.0,35251104.0,7348027687.5984,9977625600.0,2323118080.0,122405547.0,2164233728.0,15388941.84581565,68.97,2.76873063,0.00320688,1.53,0.12,1.69,-0.0076,85685984.0,-171130064.0,0.32,4.37,-818.35,1003.42,-0.33,-0.24,-96.95,-116.24,0.00570906,0.35446227,0.00900151,0.0031906999999999994,0.01517405,28801284096.0,0.33399235,0.08469499,1.65117166,0.08066023,0.63812626,0.1185599,1.02552433,0.65357015,1.88658708
000012.XSHE,000012.XSHE,121.6893,73.7723,0.28300000000000003,20.8553,1.3587,10.1526,1.31,1.17798563,4.73,21.93,95.63,3.38,6.29,75.39,0.67491221,114.84,-5.83,-5.83,-55.32,-60.57,-36.61,-39.89,1.0826,58787609360.8027,116445056.0,2680693504.0,126815664.0,,9296581632.0,2680693504.0,242024598.0,2563636736.0,5310754.10202495,24.11,2.96205015,0.05575213,4.73,0.63,0.96,0.04,85589440.0,,5.58,3.27,,554.99,-5.67,-5.67,-35.72,-63.44,,0.96755581,0.05762161,0.05575213,0.04730704,19846932480.0,0.23698862,0.06125502,0.79175151,0.1350684,0.25313011,0.48735819,1.1225808000000002,0.53158597,1.13486347
000021.XSHE,000021.XSHE,91.071,90.9513,0.6722,17.748,1.4736,12.6796,4.46,1.28449079,6.41,4.03,98.99,0.3,1.42,12.5,-0.00207512,106.94,22.82,22.82,69.6,67.66,216.36,211.6,0.5658,17514863222.2522,43705708.0,4346119680.0,278526304.0,,6259709952.0,4346119680.0,332485896.0,4302413824.0,5367498.90290527,11.25,1.23359795,0.08053895,6.41,1.92,-0.01,0.1829,-577974.75,-30512550.0,8.05,-0.4,-8.73,1118.4399,1.98,1.98,194.9,66.53,,1.00104337,0.08045501,0.08053895,0.0640862,14198194176.0,3.37353716,0.06157643,1.12615354,0.30610369,1.73239685,0.49699741,,0.55911929,1.26818723
000025.XSHE,000025.XSHE,83.5956,76.1719,1.2434,134.6175,8.3671,182.0634,0.9,0.49386612,9.69,23.0,96.02,5.08,10.39,34.74,0.75940229,108.37,19.69,19.69,-34.39,-41.52,-21.09,-17.55,20.9278,2130392664.0,3682913.75,92625768.0,8976401.0,,1048659072.0,92625768.0,12494194.125,88942856.0,25010.77170572,2.26,1.38150547,0.11441889,9.69,0.59,0.69,0.03,6816699.5,6915224.5,11.44,2.04,65.23,56.77,-12.5,-12.5,-18.22,-44.28,,0.99971777,0.11445119999999999,0.11441889,0.09691041,1542080512.0,2.45638551,0.00423733,1.32097483,0.06006546,0.16886032,0.15934515,0.48981062,0.31997124,0.47052605
000027.XSHE,000027.XSHE,212.4967,212.4967,0.0842,38.6704,1.0077,11.3312,0.32,2.68780695,2.14,21.42,97.01,1.19,4.72,78.04,0.73958099,171.69,2.91,2.91,-71.04,-79.07,-81.93,-85.97,1.2159,94157620958.7314,131299112.0,4395780608.0,94001096.0,29482098964.4967,24454918144.0,4395780608.0,669407184.0,4264481536.0,16624638.83821728,80.37,1.16053779,0.03765373,2.14,0.12,0.33,0.0169,69521424.0,10227730.0,3.77,11.4,6.08,2690.5601,1.39,1.39,-73.75,-83.31,0.01083306,0.98377381,0.03827478,0.03765373,0.02138439,81132748800.0,0.16081879,0.06232915,0.86438893,0.054180099999999995,0.13222013,0.23326536,6.32473496,0.69858142,2.31764549
000028.XSHE,000028.XSHE,191.7153,137.8079,0.3679,16.2242,1.7403,5.379,2.73,1.33370044,2.92,11.26,97.13,6.21,1.72,79.34,0.87893424,104.86,2.17,2.17,17.54,20.33,-14.67,-18.27,0.4592,123719708319.6484,315189760.0,10987540480.0,321206464.0,,13552382976.0,10987540480.0,417980532.0,10672350208.0,1766335.79754118,3.08,4.38027903,0.03604673,2.92,1.23,2.7,0.6659999999999999,282319360.0,78983288.0,3.6,0.19,19.88,107.44,4.42,4.42,-15.36,15.49,,0.99703058,0.03615409,0.03604673,0.029233699999999998,28244709376.0,1.44076628,0.02304833,1.66554224,0.38901234,19.74250159,0.45771611,0.00324107,0.52017981,1.08411395
000031.XSHE,000031.XSHE,97.0346,97.0342,0.8042,7.3095,1.3165,12.4158,3.92,10.40144038,16.46,35.09,84.8,3.42,4.34,65.14,0.5878886999999999,120.19,-26.45,-26.45,-37.21,-38.51,-11.67,-22.49,0.7234,100948906673.8535,437416800.0,2876856832.0,473519072.0,23988291937.0346,12748880896.0,2876856832.0,811030096.0,2439439872.0,-6787747.92417262,-22.89,1.12897415,0.23429893,16.46,0.54,3.84,0.16,278376512.0,236157520.0,23.43,4.85,35.17,-150.58,2.38,2.38,-10.07,-23.36,0.01697722,1.00378643,0.23341512,0.23429893,0.16459598,89416491008.0,-0.06283772,-0.00859093,1.57579141,0.03217367,5.79420188,0.0371078,10.6847416,0.85742136,6.01367365
000039.XSHE,000039.XSHE,337.0021,143.1012,0.6296,9.5823,1.0426,-59.1444,4.29,3.25576831,6.58,17.0,96.2,3.63,6.7,40.39,0.28344646,110.97,13.46,13.46,106.98,121.19,109.94,160.38,0.3776,396877750272.0,887337984.0,23345750016.0,1537016960.0,49353676081.0021,44451471360.0,23345750016.0,2417564960.0,22458411008.0,2609888.68938796,3.77,2.65127785,0.0909942,6.58,1.07,1.38,0.4528,435662016.0,-193978000.0,9.1,0.94,-8.83,99.12,-3.95,-3.95,96.76,163.75,0.02311164,0.96691462,0.09410779999999999,0.0909942,0.06583712,149693005824.0,0.01929278,0.00835733,1.02598308,0.15595752,1.00558123,0.31832509999999997,1.34456964,0.70304911,2.3675602000000002
000049.XSHE,000049.XSHE,60.0338,60.0338,1.1998,15.440999999999999,3.6910000000000003,-28.1871,9.07,4.50953989,3.46,8.83,95.55,0.58,0.9,99.04,0.74530826,73.33,72.6,72.6,105.79,118.48,153.88,146.3,0.3662,47503109723.3184,239328816.0,5379740672.0,186052928.0,,2092582912.0,5379740672.0,297540372.0,5140411392.0,6132157.46677528,6.84,5.03885123,0.04506025,3.46,2.34,8.91,0.6878,138666784.0,2914293.25,4.51,1.04,1.21,153.82,61.36,61.36,159.44,96.65,,1.00316241,0.0449182,0.04506025,0.034584,9427368960.0,4.54809047,0.05019052,1.13202717,0.57065133,7.94474003,0.66239093,0.03262116,0.77803103,3.50513497
000060.XSHE,000060.XSHE,149.9268,149.8653,0.7157,15.3968,1.4613,35.3465,1.61,0.87659961,3.03,10.23,96.46,1.48,2.38,84.77,0.87767613,105.7,13.58,13.7,-44.05,-46.73,-44.11,-44.94,0.7075,57153187975.6758,198422256.0,5586822144.0,169704896.0,,10682233856.0,5597292544.0,299979544.0,5398870528.0,3972390.05797242,10.66,2.90470185,0.04201669,3.04,0.87,1.47,0.05,148945936.0,29975334.0,4.19,1.18,12.81,300.15,-15.26,-15.29,-42.2,-47.56,,1.00280571,0.04182075,0.04193809,0.030319099999999998,19676094464.0,0.35858390000000007,0.06621937,1.17709478,0.28447173,1.00786325,0.72846942,0.15095726,0.45709582,0.84194568
000061.XSHE,000061.XSHE,84.3391,84.2418,0.3396,144.3295,1.766,12.2631,1.37,2.6154549,14.65,39.73,97.97,5.05,16.84,10.54,-0.27670159,124.72,0.64,0.64,1017.62,18277.0898,1505.61,413.55,3.4534,23796449138.3005,12184222.0,598954176.0,87744440.0,,6375061504.0,598954176.0,191921464.0,586769920.0,5721602.37466768,80.57,1.26136087,0.22794396,14.65,0.47,-0.51,0.0382,-24279026.0,107332536.0,22.79,12.75,92.86,3960.49,5.64,5.64,499.28,968.7,,1.18119389,0.19297759,0.22794396,0.14649608,18865694720.0,0.08762831,0.03863333,0.53983172,0.03174832,0.31582014,0.15316366,6.356772,0.66208181,1.95929611
