code,code,MC,CMC,TR,PE,PB,PR,ROE,DER,NPTTR,GPM,ETTR,OETTR,GETTR,OPTP,APTP,GSASTR,ITRYOY,IRYOY,IOPYOY,INPYOY,INPA,INPTSA,PS,GP,OP,OR,NP,EV,TOE,TOR,EBIT,TOC,NOCF/MC,OTR,GPOA,OPM,NPM,ROA,INC,EPS,AP,VCP,OPTTR,FETTR,IPTP,OTOP,ITRA,IRA,IOPA,INPTSYOY,ROIC,OPTT,TP/TOR,OP/TOR,NP/TOR,TA,FCFF/TNCL,NOCF/TL,TCA/TCL,TOR/TA,TOR/FA,TOR/TCA,LTL/OC,TL/TA,TL/TOE
000002.XSHE,000002.XSHE,833.4369,732.3666,0.9131,10.9734,1.7772,34.213,1.3,4.76913671,9.16,35.06,87.78,7.86,4.3,95.04,0.68410126,265.69,66.0,66.0,33.19,28.43,-58.6,-65.81,1.4459,326742787889.6289,1138978688.0,9319531520.0,853831488.0,,59553751040.0,9319531520.0,1201592971.75,8180552704.0,-6384679.92248893,-57.1,1.15372917,0.12717504,9.16,0.31,1.25,0.055,584107200.0,46233172.0,12.72,0.03,3.86,-467.19,-22.46,-22.46,-57.2,31.89,,0.98900591,0.12858875,0.12717504,0.09161743,283205795840.0,-0.17551589,-0.02379244,1.39645689,0.03290728,7.45665755,0.0342849,3.68869003,0.78971566,3.75546543
000006.XSHE,000006.XSHE,44.0108,43.0692,0.8522,10.2031,1.5726,-5.7576,5.47,1.82410585,22.02,57.89,73.66,4.09,2.37,99.75,1.00019817,115.16,119.23,119.23,308.05,344.55,79.62,83.34,1.7054,37587063331.0684,170994224.0,649284224.0,142991680.0,,2780090112.0,649284224.0,176903132.0,478290016.0,5044285.19787015,34.19,4.89231654,0.26335805,22.02,1.84,5.46,0.145,143020016.0,0.0,26.34,0.84,0.0,129.83,14.13,14.13,45.33,338.98,,0.99745548,0.26402987,0.26335805,0.22022972,7682876416.0,0.43461488,0.04528099,1.53103352,0.08451056,98.11492872,0.09658619,1.67522215,0.63814459,1.76353494
000009.XSHE,000009.XSHE,139.8342,138.3839,6.263,46.1464,5.3236,-43.711000000000006,0.53,2.7646731,8.38,41.19,93.44,14.36,12.93,70.41,0.25388182,133.79,15.84,15.84,-44.36,-37.64,-62.76,-87.75,4.0002,26239178490.9353,41766816.0,637027904.0,53396308.0,,3996971264.0,637027904.0,93523446.5,595261056.0,-2889057.62527163,-63.42,2.33052528,0.08766953,8.38,0.49,0.52,0.01,13556352.0,14081122.0,8.77,5.37,23.74,-967.25,-45.0,-45.0,-70.93,-76.56,,0.94152916,0.09311398,0.08766953,0.08382099,11258911744.0,-0.14633747,-0.05563099999999999,2.14091603,0.05657988,0.71898175,0.07431417,8.56167038,0.64499491,1.81686088
000012.XSHE,000012.XSHE,205.5079,127.6934,5.1717,13.487,3.0294,63.7438,4.1,1.13155063,15.15,30.06,82.56,2.77,7.07,94.32,0.8203212999999999,113.65,-0.28,-0.28,-30.11,-29.32,-33.09,-35.49,2.3429,62156579767.3821,360684064.0,2067750528.0,313180992.0,,7256902656.0,2067750528.0,423028848.0,1707066368.0,1405864.13613494,13.97,4.16234441,0.17404544,15.15,2.16,3.86,0.13,256909040.0,-801520.0,17.4,1.96,-0.21,80.1,-11.76,-11.76,-34.68,-32.83,,0.94110209,0.1849379,0.17404544,0.15145976,14933069824.0,0.29905545,0.03763808,0.65395803,0.13846788,0.2293074,0.76437094,0.87195578,0.51403812,1.05777458
000021.XSHE,000021.XSHE,70.9771,70.9027,0.5336,23.2226,1.7706,-15.7462,1.94,1.19845198,1.45,3.03,98.4,0.32,1.54,86.57,1.04432241,109.27,-18.47,-18.47,-9.23,-12.44,14.28,21.99,0.3759,14526545511.4757,76668496.0,4794239488.0,69387016.0,,4372082176.0,4794239488.0,76054553.0,4717571072.0,-419067.04335045,-0.62,1.58303619,0.0172673,1.45,0.83,1.81,0.0589,72462416.0,6115053.5,1.73,-0.26,6.9,-38.8,7.05,7.05,14.3,-6.54,,0.93472625,0.0184731,0.0172673,0.014473,9176382464.0,3.40558436,-0.00619115,1.3811561,0.52245419,3.48450495,0.72690981,,0.52355057,1.09885864
000024.XSHE,000024.XSHE,316.4985,126.1139,1.5245,11.8581,1.5696,49.7199,3.11,2.37961179,20.97,56.82,70.79,2.88,1.91,100.09,0.67160375,148.28,68.26,68.26,137.07,135.66,-26.95,-32.09,1.8986,248915832805.8125,1279778560.0,4380778496.0,918510464.0,,23690860544.0,4380778496.0,1324088944.0,3100999936.0,895885.02897892,6.47,3.4728299,0.29216027,20.97,1.34,3.11,0.3587,616875072.0,110789.0,29.22,1.04,0.01,22.16,-16.69,-16.69,-21.83,63.51,,1.00101211,0.29186487,0.29216027,0.20966832,71675215872.0,0.03365018,0.00590914,1.84296544,0.06111985,17.12062534,0.06696551,6.50469026,0.66946925,2.02543733
000027.XSHE,000027.XSHE,168.623,168.623,0.1435,16.384,1.1777,43.7146,2.05,1.05292114,7.48,14.19,92.9,0.41,3.13,66.13,0.93607875,112.84,23.8,23.8,-45.79,-40.22,-34.53,-29.06,1.2249,58783117191.627,294022368.0,4142573568.0,310057024.0,,16916432896.0,4142573568.0,544161000.0,3848551168.0,3356540.23657742,13.66,1.83739787,0.06523299,7.48,0.96,2.03,0.11,290237792.0,-23789910.0,6.52,2.4,-5.35,192.5,12.98,12.98,-35.21,-38.43,,0.60778272,0.10732945,0.06523299,0.07484647,31992590336.0,0.27348044,0.03754205,1.08291009,0.12948541,0.30928944,0.43203791,0.94102705,0.47123904,0.89121374
000028.XSHE,000028.XSHE,53.8263,43.5728,1.7224,16.4436,4.2522,-63.92100000000001,6.62,4.72135047,2.06,8.15,97.61,2.3,2.31,87.96,0.95890254,89.37,13.78,13.78,26.76,35.4,2.75,4.14,0.3713,32004982258.7715,94003712.0,3926991872.0,80936784.0,,1347359616.0,3926991872.0,140956556.0,3832988160.0,-5529423.4842962995,-7.58,4.36991912,0.02609213,2.06,1.13,6.33,0.28,77610488.0,8459884.0,2.61,0.87,7.92,-316.61,7.04,7.04,13.55,33.77,,0.95878934,0.02721362,0.02609213,0.02061038,7323930112.0,-1.1492608,-0.049799199999999995,1.07405065,0.53618642,8.26423853,0.63384164,0.02442291,0.81603323,4.43576481
000029.XSHE,000029.XSHE,34.8011,30.6731,0.4026,36.8649,2.2941,-45.2055,1.49,1.25262956,9.27,34.1,87.42,1.05,6.11,99.79,0.99649624,120.94,28.29,28.29,126.32,72.72,-45.55,-45.75,3.1365,8256319456.153001,30467584.0,242120816.0,22446190.0,,1389953024.0,242120816.0,29487037.375,211653232.0,-3055.71437153,-0.04,2.50941679,0.12594,9.27,0.68,1.49,0.0221,22367544.0,25110.8809,12.59,-0.43,0.08,-0.35,-19.82,-19.82,-39.25,73.0,,0.99871898,0.12610154,0.12594,0.09270657,3290134784.0,0.00186793,-5.596e-05,2.78599894,0.07358994,3.92179121,0.09224057,5.93753367,0.57753922,1.36708353
000031.XSHE,000031.XSHE,70.5542,70.5537,0.2612,15.6312,1.6373,19.4177,0.33,3.81174158,8.41,44.94,95.86,3.39,9.89,27.77,-0.6009244,185.61,479.0,479.0,25.26,-4.11,-64.0,-73.4,1.9857,27364461301.3879,25209780.0,608911040.0,51187760.0,,6359989760.0,608911040.0,170758844.0,583701248.0,6103045.49931832,70.72,1.20094027,0.14631989999999997,8.41,0.23,-0.69,0.01,-30759974.0,63886016.0,14.63,13.13,70.38,1708.05,-50.05,-50.05,-55.17,-75.85,,0.98145481,0.14908470000000001,0.14631989999999997,0.08406443,22785863680.0,0.06642295,0.02621446,1.79394226,0.02672319,2.85109538,0.03081315,11.76736236,0.72088004,2.58268882
000039.XSHE,000039.XSHE,377.2615,174.5096,1.9383,9.4355,2.0356,44.4142,2.8,2.42753868,4.04,16.58,94.42,3.35,5.79,95.7,0.80144131,112.86,-14.3,-14.3,-54.94,-60.55,-60.74,-64.55,0.5841,240683033557.4414,809857984.0,14516467712.0,586697984.0,23829716673.2615,21492289536.0,14516467712.0,991021984.0,13706609664.0,2525473.7603811002,6.56,3.62019672,0.05263457,4.04,0.88,2.56,0.193,470204000.0,-45790000.0,5.26,1.0,-5.41,117.65,-25.26,-25.26,-61.88,-63.62,0.02166114,0.90291667,0.05829393,0.05263457,0.04041603,66483412992.0,0.1450165,0.02117671,1.24422604,0.21834721,1.45392988,0.33938478,0.46391199,0.67672704,2.09336113
000042.XSHE,000042.XSHE,34.0038,33.9941,0.4047,9.7227,1.3963,-8.2494,1.38,1.93231455,10.82,52.44,92.14,5.06,9.02,58.62,0.96128679,165.34,19.27,19.27,-76.94,-75.01,84.25,84.25,1.9536,16187274426.65,24266480.0,308681824.0,33384164.0,,2436306944.0,308681824.0,58954621.0,284415360.0,-329096.01823311,-3.63,2.26650969,0.12803366,10.82,0.48,1.32,0.1394,32091756.0,15255185.0,12.8,5.69,36.85,-46.12,59.72,59.72,176.32,-75.01,,0.95466609,0.13411355,0.12803366,0.10815073,7141939200.0,-0.00392598,-0.00237811,2.01724129,0.04322101,3.00198596,0.05079466,11.31646858,0.65887319,1.93146117
000050.XSHE,000050.XSHE,33.88,33.8787,0.7753,67.0777,2.6823,-18.8846,0.98,4.11729009,2.61,10.77,100.98,1.68,6.02,-116.1,-0.0868952,93.71,46.31,46.31,-99.01,-36.79,-42.28,-57.3,0.7572,13384191468.0762,-42588576.0,1242728960.0,32392756.0,,2757882880.0,1242728960.0,83475209.0,1254862208.0,4477657.94620264,12.21,1.68178039,0.00019002,2.61,0.4,-0.22,0.022000000000000002,-2814775.0,42824712.0,0.02,3.77,116.75,-356.21,13.76,13.76,-98.94,-49.09,,0.0064375,0.02951704,0.00019002,0.02606583,7958346752.0,0.06361662,0.02917106,1.20026633,0.15615416,0.2653885,0.50983005,2.45657985,0.65346033,1.88567249
000059.XSHE,000059.XSHE,101.2027,101.2027,0.7318,10.5171,1.4216,-18.5184,0.9,2.874397,0.65,11.35,99.71,0.3,3.51,43.12,0.97850992,112.64,95.59,95.59,138.25,127.46,5.67,5.66,0.2783,110918564086.3359,37844744.0,9772560384.0,63977048.0,,7168947712.0,9772560384.0,316110422.0,9744453632.0,3057751.84721354,3.17,4.014186100000001,0.00884158,0.65,0.23,0.88,0.05,62602176.0,,0.88,2.34,,817.69,6.83,6.83,-2.58,127.46,,0.98446878,0.00898106,0.00884158,0.0065466000000000005,27631644672.0,0.06299492,0.01512277,0.76435144,0.35367277,0.60516595,1.1238971000000002,1.02137745,0.74055304,2.85435176
000060.XSHE,000060.XSHE,192.0598,191.8846,1.0147,18.797,3.6872,-130.2996,7.2,1.43657106,8.43,22.3,87.51,1.42,2.71,109.75,1.16060377,97.16,63.04,63.41,235.54,182.5,6.38,51.86,1.6388,95341363931.7305,534912736.0,4275397632.0,361022848.0,,6274128384.0,4282747904.0,602634392.0,3747835136.0,-72110.6710415,-0.32,6.93041307,0.13071454,8.44,2.52,8.27,0.18,419004480.0,23943926.0,13.05,2.69,4.91,-2.59,62.26,62.42,5.12,263.94,,1.14659515,0.11380669,0.1304902,0.08429701,13756952576.0,0.10703705,-0.00185085,0.95970085,0.31131516,1.04850747,0.83465482,0.26059642,0.54393036,1.19264761
