code,code,MC,CMC,TR,PE,PB,PR,ROE,DER,NPTTR,GPM,ETTR,OETTR,GETTR,OPTP,APTP,GSASTR,ITRYOY,IRYOY,IOPYOY,INPYOY,INPA,INPTSA,PS,GP,OP,OR,NP,EV,TOE,TOR,EBIT,TOC,NOCF/MC,OTR,GPOA,OPM,NPM,ROA,INC,EPS,AP,VCP,OPTTR,FETTR,IPTP,OTOP,ITRA,IRA,IOPA,INPTSYOY,ROIC,OPTT,TP/TOR,OP/TOR,NP/TOR,TA,FCFF/TNCL,NOCF/TL,TCA/TCL,TOR/TA,TOR/FA,TOR/TCA,LTL/OC,TL/TA,TL/TOE
000001.XSHE,000001.XSHE,2848.7888,2848.7644,0.5084,10.1039,1.0434,16.508,1.52,11.58557179,13.07,,84.07,,30.16,57.94,0.99672058,,16.46,16.46,-2.02,4.86,-44.34,-44.34,2.065,,3224000000.0,35000000512.0,4574000128.0,,312982994944.0,35000000512.0,,29424001024.0,-43704537.5514015,-355.73,,0.15931428,13.07,0.12,1.52,0.2357,4559000064.0,2323000064.0,15.93,,41.75,-3861.8201,-0.37,-0.37,-47.77,4.86,,1.00215668,0.15897143,0.15931428,0.13068572,3939070115840.0,,-0.03433591,,0.00888535,3.15542745,,,0.9205439000000001,11.58557179
000002.XSHE,000002.XSHE,3384.9917,2909.6934,0.6109,8.9011,2.0236,-12.5117,3.9,8.33311054,11.0,35.57,82.0,2.51,3.19,107.99,0.69060326,123.37,20.77,20.77,17.3,12.44,-42.13,-40.31,0.9795,3009032734954.3125,15224616960.0,84594679808.0,9304739840.0,,244851900416.0,84594679808.0,15696454656.0,69370060800.0,-2103017.85544791,-8.42,1.83616079,0.1667356,11.0,0.58,3.91,0.5662,6425883648.0,582194752.0,16.67,1.89,4.13,-46.76,-6.98,-6.98,-35.8,31.64,,1.0004351999999999,0.16666307,0.1667356,0.10999202,1638763200512.0,-0.01470093,-0.005107,1.12965616,0.05162105,6.81541294,0.06228511,2.1915529,0.85058736,5.69287502
000006.XSHE,000006.XSHE,64.3948,64.3143,0.8525,7.9845,0.9553,3.9205,3.97,1.37484584,24.68,41.82,68.41,1.24,3.01,96.15,1.00090766,93.23,87.61,87.61,164.37,159.89,157.51,168.49,1.7276,42235242181.394,319046560.0,1009929280.0,249203520.0,,6708966912.0,1009929280.0,352810634.0,690882752.0,-3129588.93243898,-19.95,2.72677461,0.33289903,24.68,1.6,3.98,0.184,249429712.0,11107236.0,33.29,2.08,3.35,-63.17,87.02,87.02,163.69,184.66,,1.01317522,0.32857005,0.33289903,0.24675344,15489084416.0,-0.12545055,-0.02295291,2.16102376,0.06520265,79.86573393,0.08254753,3.77490284,0.56685843,1.30871386
000008.XSHE,000008.XSHE,97.0498,93.0189,2.5779,27.7349,1.3468,-240.6132,1.14,0.45774778,13.94,51.53,88.34,10.47,15.05,65.06,0.81849578,89.8,12.13,12.13,25.68,29.38,46.87,50.93,3.4228,32329311118.9453,73137160.0,627388160.0,87487728.0,,7301288960.0,627388160.0,145109496.0,554251008.0,388499.77169376,6.01,3.04997493,0.17223733,13.94,0.83,0.99,0.0296,71608336.0,267715.75,17.22,5.21,0.24,51.55,0.56,0.56,56.09,32.22,,0.96121442,0.17918721,0.17223733,0.13944753,10599861248.0,1.08209697,0.01143035,1.85594145,0.05918834,1.55976442,0.11260632,0.82379508,0.31119009,0.45177938
000009.XSHE,000009.XSHE,180.0291,177.5598,3.5667,56.9966,3.3407,25.5125,1.17,3.68892704,6.72,36.03,90.54,10.78,6.45,85.67,0.20357075,114.81,23.9,23.9,4244.52,449.03,-0.7,-13.02,1.2977,103187057163.2031,272419968.0,2863920640.0,193538096.0,7367716724.0291,10608352256.0,2878326016.0,420398192.0,2605905920.0,3753051.95431884,23.59,3.38452967,0.11244427,6.76,0.64,0.73,0.0243,39398696.0,29591396.0,11.19,3.56,9.31,248.02,-21.46,-21.58,10.99,484.11,0.01844123,1.0127237,0.11047585,0.11188151,0.06723981,30487857152.0,0.20386585,0.033987699999999996,1.57808059,0.09440893,0.68101925,0.14220841,1.15748926,0.65204661,1.87394832
000012.XSHE,000012.XSHE,158.2072,99.6393,1.6381,29.9543,1.6572,-12.1894,1.77,0.89160351,6.32,26.81,88.86,3.37,5.39,146.49,0.77519209,113.97,3.46,3.46,40.0,38.25,-30.09,-31.89,1.5633,74355334669.875,308895680.0,2773417984.0,175328352.0,,9910859776.0,2773417984.0,283330132.0,2464522240.0,4679985.26127462,26.7,4.03603965,0.07544126,6.32,0.95,1.44,0.0537,135913152.0,,7.54,2.61,,239.69,4.05,4.05,-30.5,43.59,,0.99227774,0.07602838,0.07544126,0.06321743,18422845440.0,0.50713151,0.0869841,0.70258548,0.15054232,0.277256,0.59015293,0.53221823,0.46203423,0.85885436
000021.XSHE,000021.XSHE,252.9095,252.5773,2.9771,69.9303,3.9139999999999997,-41.4102,1.92,1.60986635,4.36,9.34,94.41,0.56,2.65,102.6,0.49591593,100.82,-16.72,-16.72,-43.92,-43.31,123.01,168.2,1.8684,33806972497.2656,202361632.0,3619590144.0,157887712.0,,6620598784.0,3619590144.0,114065932.0,3417228544.0,-5091070.75605516,-35.57,1.98596458,0.05423505,4.36,0.98,1.23,0.0835,78299032.0,-36975388.0,5.42,-2.3,-18.75,-636.28,28.1,28.1,136.19,-54.36,,0.99529604,0.05449138,0.05423505,0.04362033,17022948352.0,-5.95296495,-0.12377783,1.1094947,0.21263004,1.44934883,0.31921482,,0.61107799,1.5712097
000025.XSHE,000025.XSHE,82.0304,74.7457,1.1613,71.2535,7.3619,147.334,1.74,0.55492509,13.86,23.44,87.66,3.32,6.21,73.97,0.87610625,105.8,59.1,59.1,132.23,127.58,-27.18,-28.03,14.9337,3454324375.6634,18181226.0,147368784.0,20428634.0,,1184693376.0,147368784.0,25537377.25,129187560.0,372232.30451429996,20.72,1.91585577,0.16700985,13.86,1.16,1.62,0.0447,17897654.0,5855399.0,16.7,0.65,23.82,167.94,-7.2,-7.2,-26.1,115.93,,1.00134139,0.16678612,0.16700985,0.13862253,1803019008.0,2.34558822,0.04938233,1.39774732,0.08173446,1.36447201,0.17222557,,0.34293909,0.52192889
000027.XSHE,000027.XSHE,216.8577,216.8577,0.2243,12.0501,0.9051,26.0396,2.41,2.00402397,14.52,31.26,85.02,1.05,3.72,90.34,0.83631751,108.53,22.71,22.71,430.85,732.96,4.2,2.46,0.9888,168613332240.0059,804680448.0,5393900544.0,782991424.0,31712068568.8577,33571393536.0,5393900544.0,1451618656.0,4586030080.0,8155087.26815802,32.79,1.80119941,0.16289773,14.52,0.85,2.32,0.1717,654829440.0,52369792.0,16.29,10.4,5.88,219.78,-16.0,-16.0,-3.96,918.44,0.01962384,0.98648302,0.16512978,0.16289773,0.14516238,93611696128.0,0.09759159,0.029455099999999998,1.12406226,0.05761994,0.15065478,0.22790048,5.63359075,0.64137612,1.78843653
000028.XSHE,000028.XSHE,178.1008,152.9772,0.782,14.2948,1.4303,22.6097,2.53,1.59809778,2.63,10.22,97.49,5.59,1.53,77.85,0.84434112,101.04,24.21,24.21,10.43,11.86,-15.16,-11.23,0.3546,139480449657.7939,342477984.0,13647793152.0,359292320.0,,14917877760.0,13647793152.0,483674944.0,13305315328.0,-509797.95836982,-0.67,4.0061029,0.03204627,2.63,1.05,2.47,0.7271,303365280.0,86069936.0,3.2,0.32,19.56,-26.51,2.24,2.24,-18.03,9.14,,0.99417274,0.0322341,0.03204627,0.02632604,34816991232.0,-0.04273758,-0.00456279,1.5274929,0.39198658,23.369700899999998,0.48279011,,0.57153461,1.33391062
