code,code,MC,CMC,TR,PE,PB,PR,ROE,DER,NPTTR,GPM,ETTR,OETTR,GETTR,OPTP,APTP,GSASTR,ITRYOY,IRYOY,IOPYOY,INPYOY,INPA,INPTSA,PS,GP,OP,OR,NP,EV,TOE,TOR,EBIT,TOC,NOCF/MC,OTR,GPOA,OPM,NPM,ROA,INC,EPS,AP,VCP,OPTTR,FETTR,IPTP,OTOP,ITRA,IRA,IOPA,INPTSYOY,ROIC,OPTT,TP/TOR,OP/TOR,NP/TOR,TA,FCFF/TNCL,NOCF/TL,TCA/TCL,TOR/TA,TOR/FA,TOR/TCA,LTL/OC,TL/TA,TL/TOE
000001.XSHE,000001.XSHE,1552.2052,1322.6587,0.3004,6.8767,0.9038,-0.8898,3.27,13.61128416,22.79,,70.11,,28.25,86.81,1.0020947,,5.15,5.15,4.12,4.2,1.97,1.97,1.4874,,7053000192.0,27236999168.0,6206000128.0,,191699992576.0,27236999168.0,,19094999040.0,-59570734.56290772,-339.49,,0.29893161,22.79,0.23,3.28,0.3614,6218999808.0,1088999936.0,29.89,,13.4,-1311.02,-1.07,-1.07,1.6,4.2,,1.0020923000000002,0.29830747,0.29893161,0.22785183,2800982949888.0,,-0.03543732,,0.00972409,5.12937825,,,0.93155978,13.61128416
000002.XSHE,000002.XSHE,2724.4626,2395.9609,1.364,14.6284,2.7954,10.0398,4.56,5.89091306,9.71,24.98,87.87,2.19,1.72,88.03,0.77517185,132.65,45.47,45.47,9.39,-0.62,367.65,442.23,1.238,1503395844808.3594,7300582912.0,60183982080.0,5844807168.0,,138174054400.0,60183982080.0,8478383440.0,52883398656.0,13405705.49540455,60.69,2.1106017999999995,0.13721266,9.71,0.85,4.57,0.4093,4530729984.0,957421312.0,13.72,0.31,11.54,500.28,311.9,311.9,401.52,7.67,,0.99577118,0.13779538,0.13721266,0.09711566,712306720768.0,0.83860985,0.06361482,1.24521926,0.08449167,11.62680312,0.09479333,0.81478092,0.80601886,4.15514079
000006.XSHE,000006.XSHE,122.4446,122.0052,4.7258,46.9577,2.8266,14.1545,1.21,2.00494547,11.54,41.21,81.98,3.03,3.06,104.02,0.92786602,220.45,-23.24,-23.24,1.65,-3.05,12.35,9.16,4.897,20036391227.8286,87612504.0,486202176.0,56099272.0,,4437853696.0,486202176.0,119004500.0,398589696.0,4671643.51994668,117.65,1.52681421,0.16984243,11.54,0.43,1.19,0.0395,52052608.0,-5034741.5,16.98,7.15,-5.98,652.89,27.12,27.12,41.47,-5.64,,0.98044499,0.17322994,0.16984243,0.1153826,13123005440.0,0.13319009,0.06586155,2.44773453,0.03704961,155.5071791,0.04526955,9.77093463,0.66182638,1.95706119
000008.XSHE,000008.XSHE,254.2608,137.8334,0.9464,161.2893,4.5164,34.1399,0.54,0.2166047,7.55,49.3,90.74,8.81,25.18,93.86,1.04040472,74.35,50.55,50.55,32.03,46.33,164.47,161.78,18.0035,19874901081.2271,37335084.0,403142016.0,30449016.0,,5679803904.0,403142016.0,39135867.5625,365806944.0,-306158.86921364,-19.31,2.88073905,0.09433989,7.55,0.44,0.56,0.011000000000000001,31679300.0,697286.1875,9.43,-0.16,1.75,-208.5,89.57,89.57,783.3,124.38,,0.95609026,0.09867257,0.09433989,0.07552925,6899236864.0,-1.25073652,-0.0638364,2.75797171,0.05843284,0.93431323,0.12559412,0.00580446,0.17674894,0.21469629
000009.XSHE,000009.XSHE,223.7468,220.6988,2.516,30.1103,4.9249,16.2274,0.94,2.5776139,6.57,31.58,99.85,9.98,14.66,1.94,-0.16445166,103.91,29.8,29.6,-17.45,-24.04,-13.1,40.61,3.9223,44673474137.1936,2161553.25,1414612864.0,93541720.0,8667150329.7468,7000017920.0,1424011008.0,180496396.0,1421849472.0,-282281.81688727,-4.46,2.38762129,0.06096659,6.61,0.5,-0.34,0.0266,-15383091.0,84082568.0,6.06,4.83,75.31,-2921.96,2.53,2.52,-22.42,-32.58,0.01191261,0.77248518,0.07840179,0.06056422,0.0656889,18710452224.0,-0.02544435,-0.00539345,1.49523948,0.07610778,0.64334746,0.11937468,0.65350399,0.62587666,1.67291505
000012.XSHE,000012.XSHE,228.9095,143.8391,0.903,25.8401,2.9665,103.4898,3.32,1.16565327,11.43,28.03,86.72,3.03,8.32,97.37,0.8885023000000001,113.82,27.74,27.74,250.39,99.16,27.16,27.93,2.7460000000000004,63873190502.9292,302589184.0,2278743808.0,260465856.0,,7980433920.0,2278743808.0,379104140.0,1976154624.0,3175075.98248398,31.9,3.76273084,0.12128021,11.43,1.62,2.93,0.1263,231424512.0,-26222678.0,12.13,3.0,-8.44,240.2,16.89,16.89,27.12,112.07,,0.88935698,0.13636842,0.12128021,0.11430239,16975221760.0,0.49608788,0.08080292,0.38051282,0.13423941,0.19807338,0.97631681,0.85487805,0.52987746,1.12710504
000021.XSHE,000021.XSHE,148.5972,148.4513,1.0081,56.5792,2.8065,48.2466,1.25,0.97287053,2.02,5.3,97.43,0.16,3.51,72.45,0.85858068,98.38,5.33,5.33,13.95,-20.27,-55.96,-55.96,0.9888,17455333031.3774,84626880.0,3293458944.0,66513316.0,,5321534464.0,3293458944.0,77298348.0,3208832000.0,-852393.5127327,-3.85,1.66675633,0.03374644,2.02,0.6,1.07,0.0452,57107048.0,26515634.0,3.37,-1.2,22.7,-149.67,-7.88,-7.88,-40.79,-21.63,,0.95143794,0.03546888,0.03374644,0.02019558,10472636416.0,0.04582533,-0.02458955,1.31312385,0.31448231,1.46852003,0.50021665,,0.49186296,0.96797305
000027.XSHE,000027.XSHE,262.4493,262.4493,0.2112,16.238,1.2536,-23.2876,3.06,1.62585373,23.33,36.71,76.68,0.75,4.42,78.25,0.91306255,95.52,-0.64,-0.64,2.65,-10.33,224.02,217.49,2.4594,110519703555.3789,702201344.0,3010615808.0,702507840.0,23427777158.4493,24012290048.0,3010615808.0,1108255808.0,2308414464.0,2115444.41614109,18.44,1.90388514,0.27639821,23.33,1.21,3.03,0.1635,641433600.0,129927496.0,27.64,7.01,14.48,79.07,49.1,49.1,236.58,-2.13,0.02392328,0.92731444,0.29806309999999997,0.27639821,0.23334357,58049564672.0,0.10226975,0.01631144,0.89123744,0.05186285,0.15433035,0.19969681,4.23418642,0.58634849,1.4174938999999998
000028.XSHE,000028.XSHE,250.2886,160.9973,0.5366,27.3206,4.2517,28.6568,5.95,1.44066516,4.97,7.32,96.33,1.57,1.71,64.19,0.62129204,111.82,7.37,7.37,72.41,76.88,70.43,72.39,0.9179,51497710181.7532,258478512.0,7035206144.0,349374688.0,,6004785152.0,7035206144.0,412900320.0,6776728064.0,2369646.6430216,8.43,3.5551,0.05656736,4.97,2.44,3.76,0.9461,217063712.0,139484528.0,5.66,0.14,34.64,229.46,-0.26,-0.26,55.75,80.3,,0.98822436,0.05724141,0.05656736,0.0496609,14485586944.0,1.61793142,0.06993391,1.53666495,0.48566939,7.18679438,0.55517766,,0.5854648,1.4123405
000030.XSHE,000030.XSHE,121.5656,117.24,0.9852,20.8257,2.4989,115.5204,4.38,0.61588563,14.83,17.1,95.36,2.52,9.22,29.65,0.931615,78.08,30.68,30.68,52.07,61.71,39.2,35.58,2.5334,25213851519.2749,68442168.0,1474494208.0,218622448.0,,5472248832.0,1474494208.0,230551651.625,1406052096.0,973672.63766149,8.03,2.97739699,0.14776535,14.83,2.61,4.2,0.1643,203671952.0,149436976.0,14.78,-0.02,64.75,172.94,14.24,14.24,40.28,67.94,,0.94399487,0.15653194,0.14776535,0.14826945,8468421120.0,0.02700676,0.03950543,1.88462176,0.17411678,0.8630916,0.36983507,,0.35380533,0.54752125
000031.XSHE,000031.XSHE,169.2212,169.2204,0.9123,24.0939,3.0289,5.8757,-0.5,8.67416686,2.49,29.15,96.93,5.68,2.82,89.65,-0.27931153,191.49,33.73,33.73,-49.69,-26.75,-83.23,-115.51,1.0077,87913025844.7314,92709704.0,3015884288.0,75202224.0,,11013342208.0,3015884288.0,265516096.0,2923174656.0,11176960.93341212,62.71,1.47817114,0.03334843,2.49,0.13,-0.36,-0.0163,-21004848.0,7865304.0,3.33,5.38,7.61,2040.11,-5.23,-5.23,-84.34,-127.23,,0.9725889999999999,0.03428831,0.03334843,0.02493538,59474186240.0,0.11239719,0.03902901,1.92768939,0.05070913,4.7653345,0.05640494,7.38018785,0.81482142,4.40019388
000039.XSHE,000039.XSHE,408.0359,172.7462,0.3733,524.6295,1.5911,54.146,-2.78,2.91202868,-7.8,17.82,106.59,4.49,7.9,106.29,0.78723675,102.25,-27.28,-27.28,-168.28,-191.51,-312.11,-292.1,0.8228,233984212118.3516,-865787008.0,13130427392.0,-1023880000.0,,34353688576.0,13130427392.0,-629014000.0,13996214272.0,1750414.6567223999,5.44,2.03819144,-0.06912067,-7.8,-0.9,-2.84,-0.2647,-806035968.0,-41797000.0,-6.91,1.41,5.13,-82.5,26.1,26.1,-254.19,-177.24,,1.11425353,-0.06203317,-0.06912067,-0.07797766,114799919104.0,0.11192289,0.00887838,0.93580442,0.11437663,0.60861506,0.29193954,2.6911936,0.7007515999999999,2.34170564
000046.XSHE,000046.XSHE,534.1694,467.7284,0.1092,24.285,3.3945,41.7085,4.54,7.48967934,11.09,51.2,83.32,1.32,14.06,88.15,0.85030697,113.12,157.55,308.72,55.71,27.64,316.82,296.55,2.6612,270013435831.5137,1105142656.0,5273699840.0,735169792.0,,21124442112.0,6626712064.0,1843955552.0,5521569280.0,284320.15724252,2.88,1.942784,0.23648863,13.94,0.54,3.9,0.1399,625120000.0,142027424.0,18.82,8.91,11.33,13.74,30.5,29.83,429.8,66.39,,0.99479676,0.18918784,0.18820345,0.11094036,138982735872.0,0.03631347,0.00128862,2.30070235,0.04768011,8.90037703,0.05919305,16.09402305,0.84800673,5.57923827
000049.XSHE,000049.XSHE,79.8603,79.8603,3.6949,42.5211,8.201,111.2455,3.47,1.61537988,2.85,9.48,96.44,1.15,5.24,91.28,0.72828087,96.39,-24.95,-24.95,-41.18,-44.98,-14.62,-13.28,1.0455,14045311285.9497,52677676.0,1481572992.0,42187004.0,,1299803648.0,1481572992.0,50457397.0,1428895360.0,1573835.14588588,8.48,4.88899672,0.03899195,2.85,1.49,3.16,0.1642,30723988.0,5091740.0,3.9,-0.49,8.82,238.6,-2.65,-2.65,-10.12,-39.67,,1.00103934,0.03895146,0.03899195,0.02847447,2872841216.0,493.12706563,0.07990078,1.52650461,0.51571698,8.30655589,0.6172124,,0.5475547,1.21021179
000060.XSHE,000060.XSHE,221.2628,221.1454,1.1577,261.9577,2.9716,171.7216,1.3,1.09593812,3.47,14.1,96.47,2.11,4.97,90.18,0.8310978000000001,105.99,-24.15,-24.12,-20.19,-3.35,290.67,282.3,1.3718,41653366554.1147,104434624.0,2954139392.0,102646336.0,,7999708672.0,2960853248.0,189590579.0,2856418816.0,1178066.8304738002,8.82,2.57756651,0.03675026,3.47,0.64,1.15,0.0436,85309144.0,4130755.25,3.67,2.49,3.57,249.59,0.94,0.86,251.99,-5.27,,0.93747238,0.03911254,0.03666692,0.03466782,16159958016.0,0.21838413,0.03194294,0.88277968,0.18322159,0.60682944,0.57008196,0.299273,0.50496724,1.02006831
000061.XSHE,000061.XSHE,206.6902,206.0279,0.2985,2385.8319,4.3169,49.4683,0.59,2.22481656,8.2,41.88,97.88,6.3,17.55,15.28,0.46164874,103.37,1.61,1.61,-26.08,-46.26,194.55,589.53,11.1934,20986159666.1149,10639552.0,501102176.0,41100448.0,,6161358848.0,501102176.0,120631080.0,490462624.0,1611912.0824371001,66.49,1.2481584,0.11594818,8.2,0.25,0.39,0.0167,18973970.0,47462332.0,11.59,10.18,68.17,3131.3999,5.33,5.33,108.72,-43.13,,0.83451949,0.13894005,0.11594818,0.08202009,16813699072.0,0.14528591,0.03127636,0.44893827,0.02980321,0.15479222,0.15823121,6.36199684,0.63355126,1.72889463
000062.XSHE,000062.XSHE,171.1685,158.2671,0.4295,50.6175,4.6736,-1422.6418,1.92,0.60895593,5.83,19.11,91.28,4.07,4.18,102.36,0.9606601,95.47,289.87,289.87,-23.69,-36.94,19.99,19.33,4.6265,23491918246.625,107142424.0,1229299712.0,71671768.0,,3742833920.0,1229299712.0,112057186.5,1122157312.0,-1064677.74742895,-14.82,3.93295782,0.08399921,5.83,1.21,1.88,0.0974,68852208.0,-3882227.25,8.4,0.6,-3.71,-170.09,19.83,19.83,16.25,-38.65,,0.98646541,0.0851517,0.08399921,0.05830292,5973091840.0,-0.00302671,-0.08171222,1.56108985,0.20580626,3.54287264,0.43791423,0.36051503,0.37338412,0.59587407
000063.XSHE,000063.XSHE,603.2536,492.2144,0.4232,17.9609,1.9475,5.6837,2.68,2.77621361,4.35,32.25,100.99,12.82,2.78,-19.15,0.62461559,115.17,4.01,4.01,179.14,16.09,6.22,-13.97,0.5912,835236072960.0,-255944000.0,25898792960.0,1127202048.0,,43932897280.0,25898792960.0,1089120032.0,26154737664.0,-2636685.38267757,-6.14,6.42903313,0.0069955,4.35,0.85,2.31,0.1966,704067968.0,437119008.0,0.7,-0.96,32.7,621.46,18.48,18.48,-42.35,2.51,,0.13552979,0.05161596,0.0069955,0.04352334,129916280832.0,-0.10529201,-0.01849881,1.37302455,0.19934986,3.47225775,0.24884316,0.38051688,0.66183689,1.95715268
000066.XSHE,000066.XSHE,147.9778,147.9751,0.7889,219.4195,5.6429,111.50200000000001,0.47,10.79116761,0.54,11.34,98.71,3.86,4.9,108.97,1.11704693,104.79,-6.97,-6.97,204.45,223.25,224.28,162.64,0.2072,181869629142.8672,206593824.0,16037885952.0,85870720.0,,8871725056.0,16037885952.0,312413408.0,15831292928.0,-6906022.78599936,-6.37,4.89291875,0.00817443,0.54,0.23,3.71,0.0092,95921624.0,-75493232.0,0.82,0.77,-39.82,-494.66,3.17,3.17,195.08,171.71,,0.69150248,0.01182126,0.00817443,0.00535424,37169967104.0,-0.20737741,-0.03611313,1.16343373,0.43147431,4.51698455,0.57006011,0.19820667,0.76132013,3.18971157
000069.XSHE,000069.XSHE,557.9863,416.284,0.3012,11.6102,1.4506,27.0414,2.55,2.04339655,17.96,44.97,82.1,4.08,7.27,77.34,0.91326278,153.47,-0.86,-0.86,-4.91,2.05,67.22,62.92,1.6639,268015773460.2031,1066633536.0,5959879168.0,1070219904.0,39027820173.9863,43203678208.0,5959879168.0,1458768424.0,4893245440.0,1089046.55431606,10.2,2.20040953,0.23074184,17.96,0.89,2.54,0.1193,977392000.0,308559936.0,23.07,1.34,22.37,56.97,8.35,8.35,48.59,8.97,0.0177905,0.99715306,0.23140062,0.23074184,0.17957074,121802678272.0,0.04315909,0.00773131,1.64720528,0.04893061,0.41154517,0.06796134,6.52347649,0.64529776,1.8192663
000078.XSHE,000078.XSHE,181.2149,125.8363,1.7896,34.867,3.6792,12.4954,1.79,1.94078774,2.35,13.25,97.26,5.25,3.15,96.63,0.88307414,91.08,18.7,18.7,376.24,83.85,57.74,54.46,1.4999,42817850304.0,88553704.0,3231535872.0,75869240.0,,5287851520.0,3231535872.0,149828776.0,3142982144.0,-1113514.49947912,-6.24,2.88790508,0.02917832,2.35,0.54,1.98,0.023,66998164.0,5737089.5,2.92,1.8,6.26,-227.87,3.3,3.3,32.04,120.33,,1.02886579,0.028359699999999998,0.02917832,0.02347777,14826612736.0,-0.61735978,-0.02115426,1.42461524,0.21795509999999998,8.06540336,0.24266605,,0.64335401,1.80390101
000088.XSHE,000088.XSHE,135.954,135.9489,0.2721,31.0503,2.399,43.4303,1.48,0.30702048,148.11,55.64,62.89,0.07,25.42,22.92,0.87762522,101.66,6.97,6.97,6.12,6.43,11.04,11.25,53.8049,3473269096.2994,23166886.0,62423960.0,92458984.0,,6247433216.0,62423960.0,95893117.0,39257072.0,165325.08692495,36.01,0.43484604,1.57193898,148.11,1.17,1.44,0.0429,81144336.0,74959768.0,157.19,-8.3,74.16,97.02,0.42,0.42,8.35,2.36,,0.97080839,1.61920622,1.57193898,1.48114577,7987353600.0,-0.06982917,0.01291818,5.73964042,0.00781535,0.39636314,0.04195226,49.07118282,0.21783442,0.27850166
000090.XSHE,000090.XSHE,118.461,76.5033,2.7552,33.9019,1.979,6.0641,2.26,1.7131740000000002,11.2,18.73,94.47,0.72,2.95,34.88,0.26904557,95.08,-24.27,-24.27,-10.81,-22.22,221.32,219.47,1.9748,22567317938.0518,66596252.0,1204875520.0,134999808.0,,6030182400.0,1204875520.0,233417460.0,1138279296.0,2996305.25142552,29.46,1.38577593,0.15700726,11.2,0.84,0.61,0.1128,36321100.0,122577960.0,15.7,3.53,64.2,532.98,-0.77,-0.77,174.02,-22.13,,0.99072862,0.15847656,0.15700726,0.11204461,16284968960.0,0.1271156,0.03461265,1.66510313,0.07398697,7.73988544,0.08936871,2.01450491,0.6297086999999999,1.70057651
