code,code,MC,CMC,TR,PE,PB,PR,ROE,DER,NPTTR,GPM,ETTR,OETTR,GETTR,OPTP,APTP,GSASTR,ITRYOY,IRYOY,IOPYOY,INPYOY,INPA,INPTSA,PS,GP,OP,OR,NP,EV,TOE,TOR,EBIT,TOC,NOCF/MC,OTR,GPOA,OPM,NPM,ROA,INC,EPS,AP,VCP,OPTTR,FETTR,IPTP,OTOP,ITRA,IRA,IOPA,INPTSYOY,ROIC,OPTT,TP/TOR,OP/TOR,NP/TOR,TA,FCFF/TNCL,NOCF/TL,TCA/TCL,TOR/TA,TOR/FA,TOR/TCA,LTL/OC,TL/TA,TL/TOE
000001.XSHE,000001.XSHE,773.6259,468.9092,0.374,6.843,1.0071,1.5565,4.57,16.78113255,35.95,,,,38.18,93.26,0.97846537,,67.22,67.22,45.92,45.51,32.13,32.32,2.3058,,4175546880.0,9723880448.0,3495485952.0,,78957420544.0,9723880448.0,,5258866176.0,99308746.63063756,790.09,,0.45918024,35.95,0.27,4.56,0.6693,3420211968.0,289467008.0,45.92,,6.47,1839.95,8.75,8.75,34.74,42.74,,0.99724454,0.46044899,0.45918024,0.35947439,1368005017600.0,,0.05960045,,0.00710807,2.83837407,,,0.94228283,16.32585803
000002.XSHE,000002.XSHE,942.2895,828.0365,0.3473,9.0848,1.7102,16.6102,4.26,4.72900334,14.75,34.97,82.24,3.22,1.66,90.71,0.77219377,131.93,69.55,69.55,43.57,45.69,96.33,66.85,1.1419,712586505760.125,3619725824.0,20377079808.0,3004930816.0,,69833973760.0,20377079808.0,4284930432.0,16757353472.0,1633335.70919348,7.55,2.15673108,0.19509344,14.75,0.94,4.24,0.2118,2320388864.0,355708800.0,19.51,1.44,8.91,42.52,96.96,96.96,95.17,31.39,,0.99621735,0.19583421,0.19509344,0.14746621,330401185792.0,0.05139688,0.00590663,1.45665805,0.06167375,13.00839643,0.06443506,2.77236538,0.78863883,3.73123839
000006.XSHE,000006.XSHE,53.2284,52.3863,0.3805,9.3903,1.7031,126.3042,6.12,1.65093311,17.56,40.45,74.79,1.45,1.12,99.81,0.99340698,104.15,85.66,85.66,126.31,132.96,119.81,133.34,1.7542,42726366300.2747,266268912.0,1056276032.0,185456752.0,,3212378880.0,1056276032.0,270057639.25,790007104.0,11724659.20668368,59.08,5.10339562,0.25208270000000005,17.56,2.22,6.1,0.1867,184234032.0,,25.21,0.31,,234.38,130.91,130.91,124.18,136.13,,0.99806035,0.25257260000000004,0.25208270000000005,0.17557603,8372144640.0,0.72043651,0.12095216,1.63847098,0.12616553,171.11716089,0.15015937,1.28409742,0.61630159,1.6062134
000009.XSHE,000009.XSHE,102.3124,101.2513,1.4498,51.3197,3.823,-47.4416,1.23,2.93591708,10.52,39.51,92.56,10.95,12.24,54.37,0.11687524,97.42,12.0,12.0,-44.61,-47.97,125.85,-16.9,2.4687,29181065718.4077,54930656.0,738574208.0,77663000.0,,4191273216.0,738574208.0,143977188.0,683643520.0,-1102965.34044668,-15.28,2.42198919,0.13096016,10.52,0.65,0.34,0.03,9076882.0,41793144.0,13.1,5.81,41.36,-205.44,-54.14,-54.14,42.1,-68.3,,0.95731395,0.13679960000000002,0.13096016,0.10515260000000001,12048388096.0,-0.00340795,-0.014362399999999999,1.88469742,0.06130067,0.74660674,0.08288633,6.821117299999999,0.65212994,1.87463671
000012.XSHE,000012.XSHE,170.5926,107.0075,0.6274,19.2945,2.5621,-26.0962,1.74,1.01015184,9.43,19.18,96.7,3.06,7.97,29.35,0.07409439999999999,114.51,-27.31,-27.31,-78.19,-68.12,36.13,77.91,2.2159,29212307836.3213,50291040.0,1523060864.0,143684128.0,,7501553664.0,1523060864.0,233193852.0,1472769792.0,1508194.32711593,16.89,2.00019536,0.07389299,9.43,0.96,0.15,0.0584,10646189.0,62252488.0,7.39,4.06,36.33,511.6,-13.68,-13.68,50.66,-70.81,,0.65687162,0.11249229,0.07389299,0.09433906,14604727296.0,0.21999276,0.03622138,0.55569362,0.10428547,0.16241484,0.68609906,0.63342195,0.48636130000000005,0.94689373
000021.XSHE,000021.XSHE,68.4705,68.3987,0.2442,26.9645,1.7272,15.0855,1.12,1.55089882,0.72,2.31,99.97,0.42,1.97,3.17,1.57494206,92.7,-18.97,-18.97,-19.68,-20.2,-45.72,-31.83,0.3872,9329366092.1045,1152325.5,4038686720.0,29087592.0,,4342055424.0,4038686720.0,24802163.5,4037534464.0,368086.15470767,0.62,0.87232218,0.00903956,0.72,0.28,1.12,0.0346,45811272.0,35355632.0,0.9,-0.29,97.36,2187.1499,-7.66,-7.66,-29.51,5.6,,1.0053825,0.00899117,0.00903956,0.00720224,10694862848.0,2.23001898,0.00396723,1.25846648,0.37762866,2.85220799,0.50832993,,0.59400555,1.46308771
000024.XSHE,000024.XSHE,357.1985,142.3299,0.8199,15.2407,1.6773,3.8089,3.75,2.90023476,17.59,51.39,74.72,1.88,1.46,98.54,0.69558673,141.99,23.12,23.12,1.6,-9.44,99.91,84.22,2.0888,332706400922.7344,1636532736.0,6474146816.0,1138649984.0,,25898045440.0,6474146816.0,1775865096.0,4837614080.0,7426579.28724579,40.97,3.79534192,0.25695022,17.59,1.33,3.76,0.4607,792029824.0,27000704.0,25.7,1.78,1.63,162.1,79.52,79.52,97.87,-12.78,,1.00165149,0.25652657,0.25695022,0.17587645,87661772800.0,0.15939231,0.04295018,1.84809158,0.07385371,15.255270300000001,0.07908288,5.51921749,0.70456849,2.38487972
000028.XSHE,000028.XSHE,89.4704,72.4273,0.3453,24.517,6.2558,135.1915,8.65,4.44563285,2.87,9.22,96.57,2.7,1.79,94.47,0.9854385,88.42,20.94,20.94,36.43,38.14,55.15,44.91,0.5637,39412652825.3057,146515360.0,4274691072.0,122802728.0,,1545210368.0,4274691072.0,200524674.0,4128175616.0,-3033825.0664097997,-6.35,4.8839498,0.03594374,2.87,1.56,8.59,0.4228,121014536.0,7133029.5,3.59,1.06,4.6,-185.26,6.65,6.65,88.11,39.71,,0.99065753,0.03628271,0.03594374,0.02872786,8069831680.0,-0.84809614,-0.04160204,1.09936547,0.52971254,7.20663383,0.62075977,0.03355439,0.80852012,4.22248093
000029.XSHE,000029.XSHE,34.5988,30.4948,0.1437,34.5205,2.2309,-23.7399,1.43,1.15008082,9.47,29.94,87.47,1.23,6.44,99.9,0.99704408,83.3,-7.41,-7.41,-7.74,-4.22,52.63,51.97,3.4333,6984238055.782,29231312.0,233274480.0,22087228.0,,1422725888.0,233274480.0,31498867.75,204043168.0,-469614.94879705,-6.97,2.17824543,0.12530866,9.47,0.69,1.43,0.0218,22021940.0,,12.53,0.96,,-55.58,1.27,1.27,57.49,-4.23,,0.99898247,0.12543629,0.12530866,0.09468343,3206359552.0,-0.04857614,-0.00910956,1.72609615,0.07275369,3.82834583,0.0914066,1.80065514,0.55627999,1.25367344
000031.XSHE,000031.XSHE,72.91199999999999,72.9115,0.1945,17.3463,1.6383,2.7961,1.18,5.77039494,13.45,36.7,96.85,3.68,6.66,15.03,-0.54479194,116.51,116.12,116.12,22.81,29.72,-75.04,-82.32,1.2168,30802682925.1428,26461850.0,839310144.0,112871288.0,8611939163.911999,7220017152.0,839310144.0,288214764.0,812848320.0,-874374.88696731,-7.6,0.9273731,0.20870837,13.45,0.34,-1.37,0.0291,-61491368.0,148709200.0,20.87,13.37,84.49,-240.92,-74.76,-74.76,-72.42,-3.06,0.01402835,0.99524214,0.20970613,0.20870837,0.13448102,33214984192.0,0.0293176,-0.00245249,1.61823907,0.02526902,4.93495455,0.02753253,10.81201577,0.78262771,3.60040239
