code,code,MC,CMC,TR,PE,PB,PR,ROE,DER,NPTTR,GPM,ETTR,OETTR,GETTR,OPTP,APTP,GSASTR,ITRYOY,IRYOY,IOPYOY,INPYOY,INPA,INPTSA,PS,GP,OP,OR,NP,EV,TOE,TOR,EBIT,TOC,NOCF/MC,OTR,GPOA,OPM,NPM,ROA,INC,EPS,AP,VCP,OPTTR,FETTR,IPTP,OTOP,ITRA,IRA,IOPA,INPTSYOY,ROIC,OPTT,TP/TOR,OP/TOR,NP/TOR,TA,FCFF/TNCL,NOCF/TL,TCA/TCL,TOR/TA,TOR/FA,TOR/TCA,LTL/OC,TL/TA,TL/TOE
000001.XSHE,000001.XSHE,818.1991,495.9258,0.3658,7.2373,1.0652,1.6462,4.57,16.78113255,35.95,,,,38.18,93.26,0.97846537,,67.22,67.22,45.92,45.51,32.13,32.32,2.4386,,4175546880.0,9723880448.0,3495485952.0,,78957420544.0,9723880448.0,,5258866176.0,93898685.96014464,790.09,,0.45918024,35.95,0.27,4.56,0.6693,3420211968.0,289467008.0,45.92,,6.47,1839.95,8.75,8.75,34.74,42.74,,0.99724454,0.46044899,0.45918024,0.35947439,1368005017600.0,,0.05960045,,0.00710807,2.83837407,,,0.94228283,16.32585803
000002.XSHE,000002.XSHE,990.6684,870.5307,0.6031,10.0927,1.8717,16.2208,2.6,4.43935444,14.79,41.79,81.42,5.63,4.9,93.38,0.88882146,205.69,29.81,29.81,23.53,28.62,-79.57,-76.89,1.3359,432355642531.8047,1921925376.0,10345911296.0,1530546816.0,,69120704512.0,10345911296.0,2187454016.0,8423986176.0,1292178.80490966,12.37,1.39273458,0.19687925,14.79,0.5,2.54,0.127,1360382848.0,114969784.0,19.69,1.25,5.59,66.61,-75.64,-75.64,-79.95,15.83,,0.98967632,0.19893297,0.19687925,0.14793736,310436495360.0,0.03818027,0.00530475,1.45903008,0.03332698,6.55195387,0.03487099,5.19071416,0.7773435000000001,3.49122296
000006.XSHE,000006.XSHE,58.8459,57.586999999999996,0.8551,12.7812,2.0489,-11.777999999999999,2.77,1.82627828,18.44,44.31,74.03,3.08,2.49,99.99,0.93766291,96.62,-8.48,-8.48,66.58,56.85,-46.51,-50.47,2.3105,20268777100.1862,118775024.0,457431200.0,84372376.0,,3007182336.0,457431200.0,124162979.0,338656160.0,1549488.77818865,19.93,2.43478971,0.25965659,18.44,1.01,2.77,0.08,79112848.0,,25.97,1.18,,76.77,-47.5,-47.5,-41.67,50.2,,0.99991736,0.25967805,0.25965659,0.18444823,8324652032.0,0.15903269,0.01714745,1.47432334,0.05494899,70.51949622,0.06540471,2.05944447,0.6387618,1.76825649
000009.XSHE,000009.XSHE,122.3822,121.1129,1.1936,61.3867,4.573,-56.7478,1.23,2.93591708,10.52,39.51,92.56,10.95,12.24,54.37,0.11687524,97.42,12.0,12.0,-44.61,-47.97,125.85,-16.9,2.9530000000000003,29181065718.4077,54930656.0,738574208.0,77663000.0,,4191273216.0,738574208.0,143977188.0,683643520.0,-922086.95397659,-15.28,2.42198919,0.13096016,10.52,0.65,0.34,0.03,9076882.0,41793144.0,13.1,5.81,41.36,-205.44,-54.14,-54.14,42.1,-68.3,,0.95731395,0.13679960000000002,0.13096016,0.10515260000000001,12048388096.0,-0.00340795,-0.014362399999999999,1.88469742,0.06130067,0.74660674,0.08288633,6.821117299999999,0.65212994,1.87463671
000012.XSHE,000012.XSHE,190.5158,118.4066,1.035,21.5478,2.8614,-29.1439,1.74,1.01015184,9.43,19.18,96.7,3.06,7.97,29.35,0.07409439999999999,114.51,-27.31,-27.31,-78.19,-68.12,36.13,77.91,2.4747,29212307836.3213,50291040.0,1523060864.0,143684128.0,,7501553664.0,1523060864.0,233193852.0,1472769792.0,1350474.91945749,16.89,2.00019536,0.07389299,9.43,0.96,0.15,0.0584,10646189.0,62252488.0,7.39,4.06,36.33,511.6,-13.68,-13.68,50.66,-70.81,,0.65687162,0.11249229,0.07389299,0.09433906,14604727296.0,0.21999276,0.03622138,0.55569362,0.10428547,0.16241484,0.68609906,0.63342195,0.48636130000000005,0.94689373
000021.XSHE,000021.XSHE,78.2332,78.1512,0.2291,30.8091,1.9735,17.2364,1.12,1.55089882,0.72,2.31,99.97,0.42,1.97,3.17,1.57494206,92.7,-18.97,-18.97,-19.68,-20.2,-45.72,-31.83,0.4424,9329366092.1045,1152325.5,4038686720.0,29087592.0,,4342055424.0,4038686720.0,24802163.5,4037534464.0,322152.76859958,0.62,0.87232218,0.00903956,0.72,0.28,1.12,0.0346,45811272.0,35355632.0,0.9,-0.29,97.36,2187.1499,-7.66,-7.66,-29.51,5.6,,1.0053825,0.00899117,0.00903956,0.00720224,10694862848.0,2.23001898,0.00396723,1.25846648,0.37762866,2.85220799,0.50832993,,0.59400555,1.46308771
000024.XSHE,000024.XSHE,413.8694,164.9129,1.5411,16.8265,2.0185,5.7541,2.08,2.83478206,15.79,47.36,76.67,3.04,2.23,100.17,0.75571325,155.72,27.3,27.3,9.41,1.27,-0.89,-15.34,2.6054,170797263328.8281,841245888.0,3606361088.0,569577984.0,,24944922624.0,3606361088.0,892428976.0,2765115136.0,-561662.5354679,-6.45,2.03224979,0.233119,15.79,0.7,2.09,0.2501,430437632.0,-534613.0,23.31,1.46,-0.06,-27.63,36.65,36.65,19.44,-23.53,,1.00104157,0.23287644,0.233119,0.15793704,84043440128.0,-0.00772522,-0.00393335,1.8993247,0.04291068,8.41789983,0.04601914,9.34869727,0.70319013,2.36916019
000027.XSHE,000027.XSHE,172.3232,172.3232,0.1716,16.1016,1.1704,7.2246,1.55,1.08891338,9.92,14.16,93.56,0.39,2.76,49.28,0.7535099000000001,124.83,2.03,2.03,-43.18,-10.83,388.36,61.51,1.1928,42975883190.0127,195319216.0,3035020032.0,301013312.0,,17165528064.0,3035020032.0,497696656.0,2839700736.0,2234627.07296394,12.69,1.29451337,0.06196367,9.92,0.93,1.55,0.0856,226816512.0,-7258219.5,6.2,3.34,-1.83,197.15,-15.77,-15.77,568.73,-19.38,,0.47445874,0.13059866,0.06196367,0.09918001,33198485504.0,0.0952812,0.02401791,1.31709202,0.09142044,0.21714107,0.27270278,1.12793193,0.48294244,0.93402064
000028.XSHE,000028.XSHE,71.7204,58.0582,0.4743,19.6531,5.0148,108.3709,8.65,4.44563285,2.87,9.22,96.57,2.7,1.79,94.47,0.9854385,88.42,20.94,20.94,36.43,38.14,55.15,44.91,0.4519,39412652825.3057,146515360.0,4274691072.0,122802728.0,,1545210368.0,4274691072.0,200524674.0,4128175616.0,-3784662.99353484,-6.35,4.8839498,0.03594374,2.87,1.56,8.59,0.4228,121014536.0,7133029.5,3.59,1.06,4.6,-185.26,6.65,6.65,88.11,39.71,,0.99065753,0.03628271,0.03594374,0.02872786,8069831680.0,-0.84809614,-0.04160204,1.09936547,0.52971254,7.20663383,0.62075977,0.03355439,0.80852012,4.22248093
000029.XSHE,000029.XSHE,40.9722,36.1122,0.529,40.8796,2.6419,-28.113000000000003,1.43,1.15008082,9.47,29.94,87.47,1.23,6.44,99.9,0.99704408,83.3,-7.41,-7.41,-7.74,-4.22,52.63,51.97,4.0658,6984238055.782,29231312.0,233274480.0,22087228.0,,1422725888.0,233274480.0,31498867.75,204043168.0,-396564.36804146,-6.97,2.17824543,0.12530866,9.47,0.69,1.43,0.0218,22021940.0,,12.53,0.96,,-55.58,1.27,1.27,57.49,-4.23,,0.99898247,0.12543629,0.12530866,0.09468343,3206359552.0,-0.04857614,-0.00910956,1.72609615,0.07275369,3.82834583,0.0914066,1.80065514,0.55627999,1.25367344
000031.XSHE,000031.XSHE,83.0689,83.0684,0.273,19.7627,1.8665,3.1856,1.18,5.77039494,13.45,36.7,96.85,3.68,6.66,15.03,-0.54479194,116.51,116.12,116.12,22.81,29.72,-75.04,-82.32,1.3863,30802682925.1428,26461850.0,839310144.0,112871288.0,8611939174.0689,7220017152.0,839310144.0,288214764.0,812848320.0,-767464.39624148,-7.6,0.9273731,0.20870837,13.45,0.34,-1.37,0.0291,-61491368.0,148709200.0,20.87,13.37,84.49,-240.92,-74.76,-74.76,-72.42,-3.06,0.01402835,0.99524214,0.20970613,0.20870837,0.13448102,33214984192.0,0.0293176,-0.00245249,1.61823907,0.02526902,4.93495455,0.02753253,10.81201577,0.78262771,3.60040239
000039.XSHE,000039.XSHE,402.0218,185.963,0.6378,14.8458,2.1225,38.3715,2.0,2.22262782,3.32,15.56,95.05,3.89,5.67,95.57,0.84373678,108.72,-27.58,-27.58,-64.02,-68.42,47.12,1.57,0.6766,192195993908.835,611708992.0,12351927296.0,410217984.0,15766237234.0218,21273061376.0,12351927296.0,744152984.0,11740218368.0,1308075.88461216,4.26,3.03284563,0.05025961,3.32,0.64,1.84,0.141,346116000.0,9094000.0,5.03,0.84,1.42,85.97,-5.93,-5.93,157.12,-72.37,0.01731994,0.96991983,0.05181831,0.05025961,0.03321085,63371505664.0,0.13547485,0.01249156,1.40508426,0.19491295,1.14400502,0.31280984,0.84699218,0.66431185,1.97895552
