code,code,MC,CMC,TR,PE,PB,PR,ROE,DER,NPTTR,GPM,ETTR,OETTR,GETTR,OPTP,APTP,GSASTR,ITRYOY,IRYOY,IOPYOY,INPYOY,INPA,INPTSA,PS,GP,OP,OR,NP,EV,TOE,TOR,EBIT,TOC,NOCF/MC,OTR,GPOA,OPM,NPM,ROA,INC,EPS,AP,VCP,OPTTR,FETTR,IPTP,OTOP,ITRA,IRA,IOPA,INPTSYOY,ROIC,OPTT,TP/TOR,OP/TOR,NP/TOR,TA,FCFF/TNCL,NOCF/TL,TCA/TCL,TOR/TA,TOR/FA,TOR/TCA,LTL/OC,TL/TA,TL/TOE
000001.XSHE,000001.XSHE,581.9973,518.5964,0.6366,10.1174,1.9131,4.6495,5.54,19.52516218,32.98,,,,43.19,89.28,0.96216771,,18.27,18.27,28.54,22.34,-7.8,-7.8,3.6105,,1673667968.0,4411858944.0,1455000960.0,,30421108736.0,4411858944.0,,2602181888.0,-20005375.06077745,-263.9,,0.41018469999999996,32.98,0.23,5.33,0.4175,1399954944.0,136008992.0,41.02,,7.25,-695.66,8.02,8.02,-9.3,22.34,,0.96530215,0.42492882,0.41018469999999996,0.32979317,624398172160.0,,-0.01960189,,0.00706578,2.0675465,,,0.95127934,19.52516218
000002.XSHE,000002.XSHE,887.3135,779.2456,0.4681,15.7946,2.2309,-9.9911,4.28,2.81831856,21.43,40.71,76.74,3.38,2.74,82.97,0.79347548,177.93,-32.12,-32.12,-12.94,-10.26,68.79,49.65,2.024,377030004018.8906,2154213888.0,9261361152.0,1984865792.0,,48419807232.0,9261361152.0,2752263808.0,7107146752.0,-3058893.01097392,-29.31,2.34891115,0.27818336,21.43,1.29,4.0,0.1533,1574942336.0,422142784.0,27.82,1.68,16.26,-125.99,23.4,23.4,67.08,-3.97,,0.99223086,0.28036153,0.27818336,0.21431685,160512671744.0,-0.13557694,-0.02421383,1.77635287,0.05769863,6.92983808,0.06070575,3.57433219,0.69834272,2.31502071
000005.XSHE,000005.XSHE,39.5906,39.5651,0.7916,-63.0796,5.7681,219.3985,-1.32,0.91752411,-78.85,34.29,178.57,4.21,52.76,99.64,,36.17,37.59,37.59,-49.2,-52.76,-32.22,-32.22,84.5393,396361995.3527,-9082128.0,11559113.0,-9114733.0,,686369024.0,11559113.0,,20641240.0,-296231.30941284,-101.46,0.30115737,-0.7857115,-78.85,-0.69,,-0.01,,,-78.57,52.91,,129.13,4.3,4.3,-31.75,-52.76,,0.99642282,-0.78853222,-0.7857115,-0.78853222,1316129152.0,-18.09819718,-0.01862292,0.32024117,0.00878266,0.15252176,0.05735244,,0.47849417,0.91752411
000006.XSHE,000006.XSHE,54.2432,52.8266,2.373,17.1263,2.6934,156.3268,2.93,2.69857438,12.35,42.99,84.8,2.41,3.1,96.74,0.98926161,117.31,71.71,71.71,58.17,30.6,60.41,59.48,2.5235,21137119048.9406,74735416.0,491675232.0,60710384.0,,2098182272.0,491675232.0,100287198.0,416939808.0,3206944.22799292,35.38,2.80592681,0.15708971,12.35,0.8,2.89,0.0799,60058452.0,2501702.25,15.71,4.68,3.24,232.76,70.93,70.93,72.64,30.36,,0.99975344,0.15712845,0.15708971,0.1234766,7533025792.0,0.04486994,0.03200735,4.23276366,0.06526929,50.36397482,0.07382747,13.66427359,0.72146881,2.59026263
000009.XSHE,000009.XSHE,123.9093,121.7957,1.2573,42.5445,5.6568,-38.5167,4.98,2.61839179,18.91,45.66,82.02,11.27,8.85,75.82,0.43314788,114.12,-15.91,-15.91,16.09,9.2,15.66,37.15,3.9515,34100424984.2822,134244240.0,746833664.0,141207968.0,,3201202432.0,746833664.0,208588618.0,612589440.0,-3677457.57207667,-61.01,3.77359218,0.22846242,18.91,1.54,2.72,0.1027,61163932.0,36379192.0,22.85,4.22,20.55,-339.43,-15.04,-15.04,2.16,23.57,,0.9637181999999999,0.23706351,0.22846242,0.18907553,9036595200.0,-0.11610937,-0.07808749,2.14724467,0.08264547,0.83157798,0.11454480000000002,6.7131212,0.64575129,1.82287536
000012.XSHE,000012.XSHE,338.9209,160.1376,3.322,28.0858,6.1086,410.5704,6.03,0.9423017,19.96,34.37,77.11,3.65,6.21,97.19,0.88465945,120.0,54.51,54.51,85.92,68.07,10.9,12.52,5.1207,63525546601.8188,423159936.0,1848284800.0,368964000.0,,5822300672.0,1848284800.0,464960530.0,1425124864.0,2158530.61694544,39.58,5.74868045,0.22894737,19.96,3.31,5.84,0.162,326407488.0,0.0,22.89,1.6,0.0,172.88,18.72,18.72,11.71,68.9,,0.9719252,0.23556068,0.22894737,0.19962508,11050457088.0,0.99327945,0.13992908,0.37559101,0.16725867,0.23346373,1.19697483,0.85757035,0.47311676,0.8979537000000001
000016.XSHE,000016.XSHE,64.1717,31.9752,4.8877,52.7456,1.6376,-13.6787,0.39,2.3527854,0.56,16.47,100.04,12.72,3.41,-4.47,0.54549989,129.23,43.45,43.45,-109.59,-46.11,-48.02,-57.16,0.4004,60500765825.8418,-1350569.875,3673392128.0,20696820.0,,4155143168.0,3673392128.0,30543772.0625,3674742784.0,-1001642.72532684,-1.75,4.52346969,-0.00118873,0.56,0.15,0.29,0.0127,11290113.0,-3016107.0,-0.12,0.01,-9.99,4759.2598,-13.91,-13.91,-111.86,-61.91,,-0.14468135,0.0082162,-0.00118873,0.00563425,13374858240.0,1.28624311,-0.0069717,1.25160809,0.27464905,2.59962692,0.32181459999999995,,0.6893318,2.21886821
000021.XSHE,000021.XSHE,191.5591,191.3583,1.2981,56.9617,5.1003,411.2185,2.8,0.48953061,2.17,2.57,98.37,0.15,1.17,67.02,0.95494041,106.48,89.92,89.92,78.33,78.64,35.55,38.6,1.0123,12859425027.8892,81363928.0,5003667456.0,108553504.0,,4087717376.0,5003667456.0,119049731.0,4922303488.0,71452.71716997,0.27,2.16988757,0.02402433,2.17,1.85,2.78,0.0793,103662128.0,38845832.0,2.4,-0.05,32.0,16.82,-4.89,-4.89,37.17,68.56,,0.99020785,0.02426191,0.02402433,0.02169479,5926309376.0,1.29508063,0.00744451,2.11079528,0.84431425,3.98689473,1.30280572,,0.31024237,0.44978458
000024.XSHE,000024.XSHE,284.7284,107.1788,1.8118,12.8984,1.6574,16.2361,3.93,1.84768036,20.12,41.11,74.13,1.25,1.1,97.02,0.72974204,74.67,122.01,122.01,201.74,192.66,90.33,72.84,1.9991,187343100739.8438,1178703360.0,4557117440.0,917083648.0,,20043452416.0,4557117440.0,1219525771.0,3378414336.0,-4231015.25267664,-26.44,3.61766464,0.26651205,20.12,1.85,3.95,0.3874,669234496.0,35823304.0,26.65,0.1,2.95,-102.2,88.0,88.0,97.38,110.35,,0.99963601,0.2666091,0.26651205,0.20124205,51785646080.0,-0.12473769,-0.03795233,2.09820086,0.08799963,24.39336355,0.09844372,3.54571604,0.61295347,1.58366887
000027.XSHE,000027.XSHE,229.0595,62.2603,0.9224,12.515999999999998,1.7374,44.3089,3.36,1.0881284,15.92,17.5,87.66,0.2,2.01,60.81,0.76560592,113.58,31.52,31.52,-49.07,-45.73,0.87,4.45,1.725,56754548480.0,400210336.0,3243117056.0,516367040.0,,15810316288.0,3243117056.0,731996728.0,2842906880.0,2394026.06885869,16.91,1.88199393,0.14374673,15.92,1.68,2.97,0.2033,395333664.0,65977156.0,14.37,2.28,10.03,137.02,12.09,12.09,-3.34,-47.75,,0.70836395,0.20292779,0.14374673,0.15921937,30156605440.0,0.1679618,0.03822413,0.84227822,0.10754251,0.24893419,0.39565001,1.40907434,0.47572623,0.90740045
000028.XSHE,000028.XSHE,100.9099,81.6868,0.3513,46.7889,11.0227,113.6619,6.4,5.18421256,1.82,8.87,97.77,3.13,2.23,88.67,0.87920693,103.0,19.85,19.85,4.86,1.03,-11.28,-9.83,0.8327,28641412991.1079,72057152.0,3229020672.0,58856756.0,,995016832.0,3229020672.0,103088452.0,3156963584.0,2800715.41861217,8.75,4.98890742,0.02409601,1.82,1.05,5.74,0.2001,51747268.0,5749372.0,2.41,0.68,7.08,392.22,8.1,8.1,-4.25,6.35,,0.9574971,0.02516563,0.02409601,0.01822743,5741019136.0,3.77058263,0.05954904,1.04774192,0.56244729,7.29697068,0.66365207,0.01019469,0.82668291,4.7697709999999995
000029.XSHE,000029.XSHE,53.3145,46.9905,0.5074,69.5711,4.1239,97.1284,4.64,1.52550391,14.73,39.05,82.08,0.85,4.52,99.77,0.9989995,66.22,169.58,169.58,757.36,755.62,975.05,975.05,5.4503,15553038630.5325,71383864.0,398285248.0,58682440.0,,1279792256.0,398285248.0,86378480.0,326901376.0,60101.56366522,0.8,4.78262641,0.17966334,14.73,1.78,4.64,0.057999999999999996,58623728.0,173390.1562,17.97,3.72,0.24,4.49,230.41,230.41,992.45,753.74,,1.00008106,0.17964877,0.17966334,0.14733772,3251986944.0,0.00361944,0.00162473,2.13354477,0.12247443,6.24919153,0.15837458,3.23023662,0.60645837,1.54102721
000031.XSHE,000031.XSHE,123.5151,123.5141,0.3943,27.4145,2.4054,-11.8238,0.67,1.5861286,30.82,44.84,136.97,8.94,38.94,-119.49,1.0398785,547.96,-17.01,-17.01,167.35,222.32,8.38,-0.16,5.5801,4893730718.0931,-40344612.0,109137616.0,33635672.0,6697280576.5151,5649845248.0,109137616.0,55597920.6016,149482224.0,-8383957.03824194,-948.84,0.35475957,0.30895170000000005,30.82,0.24,0.64,0.0203,34977012.0,74062864.0,30.9,20.01,219.36,2566.75,-67.75,-67.75,-24.08,263.45,0.00490238,0.99865122,0.30936897,0.30895170000000005,0.30819504,13794499584.0,-0.38351907,-0.12714417,1.82008959,0.00791168,0.42310281,0.01102843,16.27838294,0.59042768,1.44157123
000039.XSHE,000039.XSHE,349.0401,161.4228,0.7622,33.3795,2.4292,77.2996,3.86,2.57028146,4.94,16.77,94.2,2.82,4.05,97.29,0.77954686,77.24,159.73,159.73,24.55,43.07,58.68,57.51,1.0816,225781197331.0547,780734976.0,13463398400.0,665646976.0,,17648076800.0,13463398400.0,941484960.0,12682662912.0,-3581591.45510855,-9.29,4.136707100000001,0.05384294,4.94,1.29,3.59,0.2097,518903008.0,-55826000.0,5.38,1.03,-6.96,-160.12,73.17,73.17,79.25,37.19,,0.90330434,0.05960665,0.05384294,0.04944123,54579933184.0,-0.14245224,-0.03384934,1.12275617,0.24667305,1.37099883,0.38050779,0.43511603,0.67665628,2.09268436
000040.XSHE,000040.XSHE,25.7337,23.8916,0.7617,21.0657,3.3157,6.4192,2.42,1.91163441,12.61,46.74,125.62,6.91,29.29,-152.74,-0.95317486,113.13,25.01,25.01,273.26,171.87,-51.81,83.25,2.866,5029885271.1868,-27567808.0,107614144.0,13565022.0,,794304896.0,107614144.0,22712547.5,135181952.0,12782210.50896458,305.66,2.20805581,0.43299647,12.61,0.51,-1.53,0.0435,-12929838.0,74164352.0,43.3,4.33,410.92,-1193.1801,-57.3,-57.3,38.58,220.04,,2.58176056,0.16771364,0.43299647,0.12605241,2277970176.0,1.09374805,0.22170333,1.15182163,0.04724124,0.96588081,0.0771693,3.57644432,0.65131029,1.86787897
