code,code,MC,CMC,TR,PE,PB,PR,ROE,DER,NPTTR,GPM,ETTR,OETTR,GETTR,OPTP,APTP,GSASTR,ITRYOY,IRYOY,IOPYOY,INPYOY,INPA,INPTSA,PS,GP,OP,OR,NP,EV,TOE,TOR,EBIT,TOC,NOCF/MC,OTR,GPOA,OPM,NPM,ROA,INC,EPS,AP,VCP,OPTTR,FETTR,IPTP,OTOP,ITRA,IRA,IOPA,INPTSYOY,ROIC,OPTT,TP/TOR,OP/TOR,NP/TOR,TA,FCFF/TNCL,NOCF/TL,TCA/TCL,TOR/TA,TOR/FA,TOR/TCA,LTL/OC,TL/TA,TL/TOE
000001.XSHE,000001.XSHE,1591.6971,1568.2976,0.278,6.9677,0.8928,-0.6027,3.3,13.08094693,23.63,,26.45,,25.49,462.9,0.99782175,,10.67,10.67,4.37,4.42,3.56,3.56,1.4879,,38911000576.0,27199000576.0,6426999808.0,,198228000768.0,27199000576.0,,18809999360.0,-75230394.53886275,-440.25,,0.30843046,23.63,0.23,3.29,0.37,6413000192.0,1092999936.0,30.84,,13.0,-307.74,-0.14,-0.14,3.03,4.42,,0.99797764,0.30905548,0.30843046,0.23629544,2791238008832.0,,-0.04617954,,0.00974442,3.67206701,,,0.92898203,13.08094693
000002.XSHE,000002.XSHE,2284.0005,2008.8062,0.1641,11.6964,2.2748,8.2031,2.94,6.09934785,9.93,26.91,88.22,3.03,2.35,83.25,0.65720583,185.2,44.09,44.09,61.85,52.62,-28.22,-35.57,0.9802,1137203277192.0312,4978926080.0,42259505152.0,4195622400.0,,143533588480.0,42259505152.0,6210749968.0,37280579584.0,7525690.91652637,40.67,1.50437714,0.13920407,9.93,0.57,2.79,0.26,2757387520.0,903769536.0,13.92,0.54,15.11,345.23,-29.78,-29.78,-28.76,44.96,,0.9835919,0.14152625,0.13920407,0.09928234,755929645056.0,0.41976482,0.02806792,1.2027241000000002,0.05590402,7.76599777,0.06351978,1.0257084,0.81012306,4.26656957
000006.XSHE,000006.XSHE,115.4246,114.9876,0.5298,45.3693,2.6565,10.4417,0.29,2.18763048,4.96,37.46,91.73,6.22,5.45,108.96,0.91679672,420.08,-2.06,-2.06,-17.68,-28.48,-75.5,-76.73,4.6271,10377035888.4639,22916542.0,277016448.0,13743040.0,,4452352000.0,277016448.0,52965657.5,254099920.0,3641715.79331127,151.74,0.74346619,0.0756201,4.96,0.1,0.29,0.0092,12599574.0,-1968529.25,7.56,11.53,-9.36,1834.24,-43.02,-43.02,-74.63,-33.85,,0.99597919,0.07592538,0.0756201,0.04961092,13957643264.0,0.09838826,0.04422206,2.20588133,0.01984694,92.30307932,0.02400152,15.98419932,0.68100976,2.13489213
000008.XSHE,000008.XSHE,243.828,129.7858,0.2193,79.4862,4.0278,23.3181,3.06,0.2251911,45.27,54.01,82.69,7.64,25.64,29.35,0.33237473,86.41,48.02,48.02,616.93,592.06,482.13,476.53,15.8402,21146029109.2456,67755504.0,391520640.0,177252944.0,,5858993664.0,391520640.0,230756964.9375,323765152.0,-194214.78842057,-12.1,2.95064114,0.54885689,45.27,2.52,1.03,0.0221,58914400.0,147133296.0,54.89,-0.03,63.73,-69.89,-2.88,-2.88,465.02,576.92,,0.93081623,0.58965118,0.54885689,0.4527295,7166587904.0,-7.57422555,-0.03621537,3.02388607,0.05463139,2.34242256,0.10351573,0.00517735,0.18245702,0.22317727
000009.XSHE,000009.XSHE,203.1131,200.3462,0.632,63.5644,4.4761,-45.4691,3.04,2.69187981,11.76,30.62,100.2,10.39,13.91,-1.28,-0.09989396,115.48,23.06,22.72,-75.08,-72.93,76.64,225.29,3.4035,42702302387.6653,-2803803.75,1394588544.0,165235616.0,9191039275.1131,7281818112.0,1404672000.0,290765196.0,1407475840.0,22442.40298455,0.33,2.19022404,0.14647511,11.85,0.86,-0.36,0.064,-16506040.0,207076304.0,14.54,5.09,94.45,-162.58,-1.36,-1.42,136.85,-75.45,0.01840259,0.93172155,0.15608058,0.14542364,0.11763288,19496773632.0,0.25600025,0.00037318,1.46866132,0.07204638,0.58479619,0.11498074,0.70227835,0.62651161,1.67745951
000012.XSHE,000012.XSHE,234.928,147.1746,1.4295,24.8448,2.9513,185.6788,3.16,1.09166092,11.04,27.93,88.42,3.31,8.97,89.27,0.87442212,115.28,11.68,11.68,40.43,34.51,-2.73,-5.35,2.7394,64070752167.5859,265599328.0,2293976064.0,253358880.0,,8238394880.0,2293976064.0,371846080.0,2028376576.0,2321896.94908725,23.78,3.78487801,0.11578121,11.04,1.49,2.83,0.12,221542608.0,0.0,11.58,3.24,0.0,205.38,0.67,0.67,-3.9,31.71,,0.89266033,0.12970355,0.11578121,0.1104453,16928089088.0,0.26365673,0.06277304,0.35523494,0.13551300000000002,0.20306662,1.08207797,0.77317087,0.51332993,1.05478007
000021.XSHE,000021.XSHE,139.1811,139.0449,0.4123,40.4761,2.5915,28.4904,1.61,0.92154256,2.27,5.7,98.5,0.25,3.25,45.14,0.25705328,118.8,-7.78,-7.78,1112.7,4785.3599,26.3,29.3,0.9456,21100092580.3433,55672144.0,3701770752.0,84009400.0,,5395410432.0,3701770752.0,147821684.0,3646098688.0,754059.53141484,2.84,2.03970968,0.03056368,2.27,0.81,0.4,0.0584,21594892.0,57467600.0,3.06,0.66,46.59,188.52,12.4,12.4,1.8,4900.9102,,0.91731742,0.03331855,0.03056368,0.02269438,10344654848.0,4.12622874,0.02120543,1.25974437,0.35784381,1.51440963,0.60914375,,0.47843495,0.91730638
000025.XSHE,000025.XSHE,150.811,98.3561,0.7797,299.8886,16.862000000000002,-656.1803,0.95,0.29265212,10.14,28.36,90.74,4.66,14.64,83.64,0.8997999,102.78,14.03,14.03,-27.79,-23.04,-28.04,-26.92,48.233999999999995,2370957535.5067,7742662.5,83602168.0,8480585.0,,905038464.0,83602168.0,8848195.6562,75859504.0,70084.0301762,12.64,2.03204852,0.11062762,10.14,0.73,0.86,0.0285,7630829.5,1506046.125,11.06,-0.49,16.27,136.51,7.98,7.98,-23.28,-23.34,,0.99907554,0.11072999,0.11062762,0.10143977,1166781952.0,2.66250451,0.04038092,1.38781805,0.07165192,0.63896795,0.24719726,,0.22432939,0.28920703
000027.XSHE,000027.XSHE,270.7748,270.7748,0.1212,19.2387,1.2531,28.2034,2.29,1.67657486,14.43,31.28,82.9,0.83,5.88,79.42,0.93635603,112.05,12.78,12.78,-5.28,-19.74,-26.17,-25.04,2.3694,112459003566.8931,614879040.0,3595236608.0,518670336.0,23318312142.7748,24551467008.0,3595236608.0,1011207920.0,2980357632.0,3647007.2423471003,27.47,1.86023729,0.20609303,14.43,0.88,2.29,0.1225,485660096.0,126074184.0,20.61,6.59,16.28,160.6,19.42,19.42,-10.96,-13.63,0.02092254,0.95701071,0.21535081,0.20609303,0.14426598,60454117376.0,0.10479074,0.02750542,0.96925683,0.0594705,0.18521494,0.2229913,4.07018435,0.59388267,1.46234245
000028.XSHE,000028.XSHE,293.0529,159.6677,0.1086,32.2018,3.0636,27.0381,3.02,1.44563262,2.55,6.65,97.02,1.64,1.6,93.44,0.93052967,104.3,6.79,6.79,-3.71,-2.7,-46.46,-47.34,1.0566,48760325358.4702,218398768.0,7332379648.0,187071744.0,,6190841344.0,7332379648.0,253646510.0,7113980928.0,127641.60212739,0.51,3.25892319,0.03092062,2.55,1.27,2.91,0.498,174075808.0,8322920.5,3.09,0.27,3.56,17.13,4.22,4.22,-43.03,-3.25,,0.97005775,0.03187503,0.03092062,0.025513099999999997,14962097152.0,0.15093835,0.00426458,1.53834829,0.49006363,7.56899541,0.55805374,,0.58623168,1.41681151
